Rating,Number Of Ratings,Address
4.9/5,33 ratings,"10590 Old Olive St, Creve Coeur, MO, 63141"
The Original BBQ Chicken Pizza,$14.99,Most Loved,Favorites.
Pepperoni,$13.99,Most Loved, 
Five Cheese + Fresh Tomato,$12.79,Most Popular,Vegetarian.
Mushroom Pepperoni Sausage,$14.99,Most Popular, 
California Veggie,$14.49,Most Popular,Vegetarian. Suggested on wheat whole grain crust.
Roasted Garlic Chicken,$13.99,Most Popular,Favorites.
Coca-cola (12 oz Cans),$1.99,Most Popular, 
The Works,$15.69,Most Popular, 
Thai Chicken,$13.99,Most Popular,Favorites.
Hawaiian,$13.99,Most Popular, 
Wild Mushroom,$13.99,Most Popular,Vegetarian.
Carne Asada,$15.99,Most Popular, 
Spinach Artichoke Dip,$29.99,Appetizers,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Szechwan Chicken Dumplings,$25.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Avocado Club Egg Rolls,$29.99,Appetizers,"Favorites. Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and Nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Lettuce Wraps,$32.99,Appetizers,"Fresh shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy sauce."
Charred Shishito Peppers,$29.99,Appetizers,"New, vegetarian, gluten-free. East Asian shishito peppers pan-sautéed with soy sauce, garlic and red chili."
White Corn Guacamole + Chips,$18.99,Appetizers,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with house-made blue & white corn tortilla chips."
Tortilla Spring Rolls,$28.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
The Original BBQ Chicken Chopped Salad,$41.99,Salads,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips and Monterey jack. Topped with BBQ chicken, tomatoes and scallions, served with our legendary BBQ sauce and house-made herb ranch. Suggested with fresh avocado."
Quinoa + Arugula,$46.99,Salads,"Favorites, vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and feta served with our house-made champagne vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
California Cobb,$48.99,Salads,"Gluten-free. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$44.99,Salads,"Gluten-free. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Roasted Veggie,$43.99,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served with cool romaine, avocado and house-made Dijon balsamic vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
