Rating,Number Of Ratings,Address
4.6/5,2598 ratings,"16101 Ventura Blvd, Encino, CA 91436, USA"
Curly Mac ‘n' Cheese,$5.79,Most Loved, 
The Original BBQ Chicken Chopped Salad (Half),$11.99,Most Loved,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
The Original BBQ Chicken Pizza,$15.49,Most Loved,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Classic Caesar (Half),$8.69,Most Loved,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
Garlic Cream Fettuccine,$13.79,Most Loved,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Traditional Cheese,$5.49,Most Loved,Vegetarian. Tomato sauce and mozzarella.
Thai Crunch (Half),$12.59,Most Loved,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Served with Thai peanut dressing. Suggested with fresh avocado."
California Cobb (Half),$12.29,Most Loved,"Gluten-free ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped (Half),$11.99,Most Loved,"Gluten-free ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Pepperoni,$14.99,Most Loved,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Bolognese Spaghetti,$14.99,Most Popular,Our slowly simmered traditional meat sauce sprinkled with parmesan and fresh Italian parsley.
Avocado Club Egg Rolls,$12.29,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Chicken Tequila Fettuccine,$15.99,Most Popular,"Favorites. Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Sedona Tortilla,$5.99,Most Popular,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, southwestern spices and crispy tortillas."
Spinach Artichoke Dip,$11.69,Most Popular,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
The Original BBQ Chicken Chopped Salad (Full),$15.99,Most Popular,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
12 oz Cans,$1.99,Most Popular,"Coca-cola, Diet Coke, Sprite."
Kung Pao Spaghetti,$12.99,Most Popular,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
Spinach Artichoke Dip,$11.69,Appetizers,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Avocado Club Egg Rolls,$12.29,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Lettuce Wraps,$11.59,Appetizers,"Fresh shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy sauce."
Szechwan Chicken Dumplings,$9.49,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Choose Two),$10.49,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Choose Three),$12.49,Appetizers,"Baked in our hearth oven and sprinkled with herbs. Mediterranean veggie (vegetarian): cremini mushrooms, eggplant, sun-dried tomatoes, caramelized onions, mozzarella and parmesan. Served with marinara. Baja chicken: Monterey jack and cheddar, corn, black beans, poblanos, red onions and fresh cilantro. Served with house-made guacamole. Thai chicken: peanut sauce, bean sprouts, scallions, carrots, fresh cilantro and mozzarella. Served with Thai peanut sauce."
Charred Shishito Peppers,$7.69,Small Plates + California Flatbreads,"New, vegetarian, gluten-free ingredients. East Asian shishito peppers pan-sautéed with soy sauce, garlic and red chili."
Petite Wedge,$5.99,Small Plates + California Flatbreads,"Gluten-free ingredients. Nueske’s applewood smoked bacon, chopped egg and roma tomatoes served with bleu cheese dressing."
Crispy Mac ‘n' Cheese,$5.49,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with house-made blue & white corn tortilla chips."
