Rating,Number Of Ratings,Address
4.2/5,1266 ratings,"440 Park Avenue South, New York, NY 10016, USA"
The Original BBQ Chicken Chopped Salad (Half),$13.99,Most Loved,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
The Original BBQ Chicken Pizza,$17.99,Most Loved,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Classic Caesar (Half),$11.99,Most Loved,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
Garlic Cream Fettuccine,$15.99,Most Loved,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Thai Crunch (Half),$14.99,Most Loved,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Served with Thai peanut dressing. Suggested with fresh avocado."
California Cobb (Half),$14.99,Most Loved,"Gluten-free ingredients. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped (Half),$13.99,Most Loved,"Gluten-free ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Pepperoni,$16.99,Most Loved,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Curly Mac ‘n' Cheese,$5.79,Most Popular, 
Kung Pao Spaghetti,$15.99,Most Popular,"Our twist on a Chinese classic with garlic, scallions, peanuts and hot red chilies."
12 oz Cans,$1.99,Most Popular,"Coca-cola, Diet Coke, Sprite."
Sedona Tortilla,$6.99,Most Popular,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, southwestern spices and crispy tortillas."
Spinach Artichoke Dip,$12.99,Most Popular,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Traditional Cheese,$5.49,Most Popular,Vegetarian. Tomato sauce and mozzarella.
Avocado Club Egg Rolls,$13.99,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Crispy Mac ‘n' Cheese,$6.49,Most Popular,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
The Original BBQ Chicken Chopped Salad (Full),$17.99,Most Popular,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey jack and our house-made herb ranch. Topped with BBQ chicken, tomatoes and scallions. Suggested with fresh avocado."
Salted Caramel Pudding,$7.29,Most Popular,"Vegetarian. Rich caramel pudding, black cocoa cookie crumbs, house-made whipped cream, caramel sauce and natural flaked maldon sea salt."
Spinach Artichoke Dip,$12.99,Appetizers,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Avocado Club Egg Rolls,$13.99,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Lettuce Wraps,$12.79,Appetizers,"Fresh shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy sauce."
Szechwan Chicken Dumplings,$11.49,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Choose Two),$11.49,Appetizers,Baked in our hearth oven and sprinkled with herbs.
