Rating,Number Of Ratings,Address
4.7/5,28 ratings,"575 E. University Pkwy, B-28, Orem, UT, 84097"
The Original BBQ Chicken,$14.99,Most Loved,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Garlic Cream Fettuccine,$11.99,Most Loved,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Pepperoni,$13.99,Most Loved,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Curly Mac 'n' Cheese,$5.79,Most Popular, 
Traditional Cheese Pizza,$5.49,Most Popular,Vegetarian. Tomato sauce and Mozzarella.
Avocado Club Egg Rolls,$10.99,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Margherita,$13.99,Most Popular,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Crispy Mac 'n' Cheese,$4.99,Most Popular,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
Sicilian,$15.29,Most Popular,"CPK Favorite! Spicy marinara, Italian sausage, spicy Capicola ham, salami, Mozzarella, shaved Parmesan, fresh basil and oregano. Rustic meets refined."
Butter Cake,$7.69,Most Popular,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Soda (Can),$1.99,Most Popular,12oz. can.
Lemongrass Chicken,$19.99,Seasonal Offerings,"Pan roasted chicken in a lemongrass ginger glaze, over a stir-fry of baby bok choy, roasted farro, Shiitake mushrooms and red chili."
California Fields Salad,$10.19,Seasonal Offerings,"Fresh watermelon, strawberries and field greens with our housemade Champagne vinaigrette, Feta, basil and California pistachios."
Strawberry Shortcake,$6.99,Seasonal Offerings,"Our fresh shortcake biscuit piled high with seasonal strawberries, whipped cream and housemade candied lemon zest."
Bahn Mi Bowl,$14.99,Seasonal Offerings,"Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radishes, fresh avocado, cucumbers, carrots, bean sprouts, scallions and sesame seeds. Served with hoursemade chili-lime vinaigrette and serrano peppers."
