Rating,Number Of Ratings,Address
4.7/5,426 ratings,"10945 Oval Park Dr. Las Vegas, NV 89135"
The Original BBQ Chicken Pizza,$14.50,Most Loved,"Favorites. Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
Pepperoni,$14.00,Most Loved,A combination of rustic and spicy pepperoni with fresh mozzarella and wild Greek oregano.
Traditional Cheese,$5.49,Most Popular,Vegetarian. Tomato sauce and mozzarella.
Pepperoni,$5.69,Most Popular,"Pepperoni, tomato sauce and mozzarella."
Margherita,$16.00,Most Popular,"Vegetarian. Italian tomatoes with fresh mozzarella, fresh basil and parmesan."
Garlic Cream Fettuccine,$13.00,Most Popular,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Mexican Street Corn,$6.00,Most Popular,"Vegetarian. Creamy sweet corn removed from the cob and roasted with smoked paprika, feta and parmesan. Served with fresh cilantro, lime and house-made ranchito sauce."
Crispy Chicken,$6.29,Most Popular,"Served with herb ranch, ketchup and your choice of baby broccoli or fresh fruit."
Sedona Tortilla,$5.00,Most Popular,"Vegetarian. Vine-ripened tomatoes, tomatillos and corn with mild green chilies, southwestern spices and crispy tortillas."
Bolognese,$14.00,Most Popular,"Our slowly simmered rustic meat sauce over casarecce noodles with cremini mushrooms, sprinkled with scallions."
Curly Mac ‘n' Cheese,$5.79,Most Popular, 
Classic Caesar (Half),$8.00,Most Popular,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp, steak or sautéed salmon."
White Corn Guacamole + Chips,$5.00,Small Plates + California Flatbreads,"Favorites, vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with house-made blue & white corn tortilla chips."
Mexican Street Corn,$6.00,Small Plates + California Flatbreads,"Vegetarian. Creamy sweet corn removed from the cob and roasted with smoked paprika, feta and parmesan. Served with fresh cilantro, lime and house-made ranchito sauce."
Charred Shishito Peppers,$6.00,Small Plates + California Flatbreads,"Vegetarian, gluten-free ingredients. East Asian shishito peppers pan-sautéed with soy sauce, garlic and red chili."
Spicy Buffalo Cauliflower,$7.00,Small Plates + California Flatbreads,"Favorites, vegetarian. Fresh cauliflower florets buttermilk-battered and fried to a golden brown, then tossed in house-made sriracha buffalo sauce and topped with a salad of celery, cilantro, scallions and Gorgonzola."
Crispy Potatoes,$6.00,Small Plates + California Flatbreads,"Vegetarian. Smashed fingerling potatoes cooked to a golden brown, topped with parmesan and cilantro. Served with chimichurri rojo."
Bianco Flatbread,$7.50,Small Plates + California Flatbreads,"Favorites, vegetarian. Whipped truffle cream, Gorgonzola, mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.50,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California olive ranch extra virgin olive oil with romano and parmesan."
