Rating,Number Of Ratings,Address
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Mexican Street Corn,$4.99,Seasonal Offerings,"Creamy sweet corn removed from the cob and roasted with smoked paprika, feta and parmesan.  Served with fresh cilantro, lime and housemade ranchito sauce. Vegetarian."
Citrus Adobo Pizza,$14.99,Seasonal Offerings,"Slow-cooked pork carnitas tossed in our house-made ancho chili adobo sauce with sweet white corn, roasted peppers, quesadilla & Monterey Jack cheeses, fresh cilantro & lime, served with a side of spicy chili de arbol salsa."
Chile-Braised Short Ribs + Chipotle Mac 'n' Cheese,$21.99,Seasonal Offerings,"Tender, boneless beef short ribs braised in Pinot Noir and smokey ancho chile, served over spicy chipotle mac 'n' cheese with grilled shishito peppers, fresh cilantro & scallions."
Shrimp Scampi Pizza,$13.99,Seasonal Offerings,"Housemade lemon-garlic shrimp with caramelized onions, Mozzarella, Parmesan and red chili, topped with fresh arugula and wild Greek oregano"
Spinach Artichoke Dip,$10.99,Appetizers,CPK Favorite! Vegetarian. Served hot with housemade blue & white corn tortilla chips.
Avocado Club Egg Rolls,$10.99,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Lettuce Wraps,$10.49,Appetizers,"Fresh Shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy."
Szechuan Chicken Dumplings,$8.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Tortilla Spring Rolls (Any Two),$8.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Any Three),$10.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
New! Charred Shishito Peppers,$6.79,Small Plates + California Flatbreads,"East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Petite Wedge,$5.39,Small Plates + California Flatbreads,"Gluten-Free Ingredients. Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and Roma tomatoes."
Crispy Mac 'n' Cheese,$4.99,Small Plates + California Flatbreads,"Our classic mac ‘n’ cheese lightly fried with panko, served on creamy cheese sauce."
White Corn Guacamole + Chips,$4.99,Small Plates + California Flatbreads,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with housemade blue & white corn tortilla chips."
Bianco Flatbread,$7.49,Small Plates + California Flatbreads,"CPK Favorite! Vegetarian. Whipped truffle cream, Gorgonzola, Mozzarella and fresh sage."
Shaved Mushroom + Spinach Flatbread,$7.49,Small Plates + California Flatbreads,"Vegetarian. Cremini mushrooms, sautéed spinach and California Olive Ranch extra virgin olive oil with Romano and Parmesan."
