Rating,Number Of Ratings,Address
N/A,Newly Added,"9105 Mendenhall Mall Rd, Juneau, AK"
Baconator,$8.11,Cheeseburgers,Here's to the carnivores. Two 1/4 lb patties with six strips of bacon. There's not a single veggie to get in the way.
Son of Baconator,$5.89,Cheeseburgers,"Two juicy patties of 100% fresh, never frozen beef topped with strips of oven-cooked applewood smoked bacon. Without a single veggie to get in the way, it's a perfectly-sized meaty masterpiece."
Dave's Double,$6.87,Cheeseburgers,"Oh yeah, you're seeing double. That's two fresh, never frozen beef patties with the freshest toppings on a warm toasted bun."
Double Stack,$2.93,Cheeseburgers,"Two fresh, never-frozen patties with melty cheese, ketchup, mustard, pickle and onion. Double the meat, double the satisfaction."
Dave's Single,$5.65,Cheeseburgers,"It's our classic the way dave intended! A juicy quarter pound of fresh, never frozen beef decorated with premium toppings all between a warm toasted bun."
Dave's Triple,$8.09,Cheeseburgers,"When hunger strikes, this is where you turn. With three quarter pound fresh, never-frozen beef patties and our premium toppings, there's no way you can walk away hungry."
Jr. Bacon Cheeseburger,$2.56,Cheeseburgers,"Topped with melting American cheese, applewood smoked bacon, lettuce, tomato and mayo, this is a simple hamburger with a big taste."
Jr. Cheeseburger,$1.60,Cheeseburgers,"The simple, yet delicious option. 100% fresh, North American beef with cheese, pickles and onions. Made right when you order it."
Jr. Cheeseburger Deluxe,$2.07,Cheeseburgers,"Our delicious 100% fresh, pure beef patty topped with all the essentials: cheese, pickles, onions, tomatoes and lettuce."
Spicy Asiago Club,$7.10,"Chicken, Wraps & More","These aren't some boring ol' chicken sandwiches. Meet wendy's spicy Asiago ranch chicken club, tender, all-white meat spicy chicken breast topped with thick-cut applewood smoked bacon, Asiago cheese, creamy ranch sauce, hand-leafed lettuce and hand-sliced tomatoes."
Grilled Asiago Club,$7.10,"Chicken, Wraps & More","These aren't some boring ol' chicken sandwiches. Meet wendy's grilled Asiago ranch chicken club, tender, all-white meat chicken breast topped with thick-cut applewood smoked bacon, Asiago cheese, creamy ranch sauce, hand-leafed lettuce and hand-sliced tomatoes."
