Rating,Number Of Ratings,Address
4.6/5,138 ratings,"20502 N Rand Rd, Deer Park, IL 60010, USA"
The Original BBQ Chicken,$14.99,Most Loved,"CPK Favorite! Created here in 1985. Our legendary BBQ sauce, smoked Gouda, red onions and fresh cilantro transform this original to iconic."
The Original BBQ Chicken Chopped,$11.99,Most Loved,"CPK Favorite! Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips, Monterey Jack and our housemade herb ranch. Topped with BBQ chicken, tomatoes and scallions."
Classic Caesar,$8.49,Most Loved,Crisp Romaine with shaved Parmesan and housemade garlic butter croutons.
Garlic Cream Fettuccine,$12.99,Most Loved,Vegetarian. Our garlic Parmesan cream sauce with fresh Italian parsley.
Thai Crunch,$11.99,Most Loved,"CPK Favorite! Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Tossed in Thai peanut dressing."
Italian Chopped,$11.79,Most Loved,"Gluten-Free Ingredients. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, Mozzarella and fresh basil tossed in mustard herb vinaigrette."
Pepperoni,$13.99,Most Loved,A combination of rustic and spicy pepperoni with fresh Mozzarella and wild Greek oregano.
Curly Mac 'n' Cheese,$5.79,Most Popular, 
Traditional Cheese Pizza,$5.49,Most Popular,Tomato sauce and Mozzarella.
Avocado Club Egg Rolls,$11.69,Most Popular,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Chicken Tequila Fettuccine,$14.99,Most Popular,"CPK Favorite! Our creamy jalapeño lime sauce with spinach fettuccine, red onions, bell peppers and fresh cilantro."
Margherita,$14.49,Most Popular,"Vegetarian. The classic. Italian tomatoes with fresh Mozzarella, fresh basil and Parmesan."
Bolognese Spaghetti,$13.99,Most Popular,Our slowly simmered traditional meat sauce sprinkled with Parmesan and fresh Italian parsley..
Spinach Artichoke Dip,$11.69,Most Popular,CPK Favorite! Vegetarian. Served hot with housemade blue and white corn tortilla chips.
Butter Cake,$7.69,Most Popular,CPK Favorite! Vegetarian. Trust us...just try it! Served warm with housemade whipped cream.
Lemongrass Chicken,$19.99,Seasonal Offerings,"Pan-roasted chicken in a lemongrass ginger glaze, over a stir-fry of baby bok choy, roasted farro, Shiitake mushrooms and red chili."
Banh Mi Bowl,$14.99,Seasonal Offerings,"Quinoa, baby kale, fresh cilantro & mint topped with grilled chicken, watermelon radishes, fresh avocado, cucumbers, carrots, bean sprouts, scallions and sesame seeds. Served with housemade chili-lime vinaigrette and serrano peppers."
Santa Fe Bowl,$14.99,Seasonal Offerings,"Cilantro farro and spinach topped with lime chicken, tomatoes, sweet corn, black beans, red cabbage, fresh avocado, poblano peppers and toasted pepitas. Served with housemade poblano ranch."
Spinach Artichoke Dip,$11.69,Appetizers,CPK Favorite! Vegetarian. Served hot with housemade blue and white corn tortilla chips.
Avocado Club Egg Rolls,$11.69,Appetizers,"Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey Jack and Nueske’s applewood smoked bacon. Served with housemade ranchito sauce and herb ranch."
Lettuce Wraps,$10.69,Appetizers,"Fresh Shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy."
Szechwan Chicken Dumplings,$9.49,Appetizers,Chinese dumplings topped with sesame seeds and scallions. Served with our soy-ginger-chili sauce.
Tortilla Spring Rolls (Any Two),$8.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
Tortilla Spring Rolls (Any Three),$10.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
New! Charred Shishito Peppers,$7.49,Small Plates + California Flatbreads,"East Asian shishito peppers pan-sautéed with soy, garlic and red chili."
Petite Wedge,$5.49,Small Plates + California Flatbreads,"Gluten-Free Ingredients. Topped with bleu cheese dressing, Nueske’s applewood smoked bacon, chopped egg and Roma tomatoes."
