Rating,Number Of Ratings,Address
4.3/5,81 ratings,"1550 E Golf Rd, Schaumburg, IL 60173, USA"
The Original BBQ Chicken Chopped Salad,$47.99,Most Loved,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips and Monterey jack. Topped with BBQ chicken, tomatoes and scallions, served with our legendary BBQ sauce and house-made herb ranch. Suggested with fresh avocado."
The Original BBQ Chicken Pizza,$14.99,Most Loved,Favorites.
California Cobb,$50.99,Most Loved,"Gluten-free. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$46.99,Most Loved,"Gluten-free. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Pepperoni,$13.99,Most Loved, 
Thai Crunch,$46.99,Most Loved,"Favorites. Crisp veggies and fresh cilantro with chicken and the crunch of peanuts, wontons and rice sticks. Served with Thai peanut dressing. Suggested with fresh avocado."
Garlic Cream Fettuccine,$41.99,Most Loved,Vegetarian. Our garlic parmesan cream sauce with fresh Italian parsley.
Classic Caesar,$35.99,Most Loved,"Crisp romaine with shaved parmesan and house-made garlic butter croutons. Suggested with grilled chicken, shrimp or sautéed salmon."
Five Cheese + Fresh Tomato,$12.99,Most Popular,Vegetarian.
Thai Chicken,$14.49,Most Popular,Favorites.
Coca-cola (12 oz Cans),$1.99,Most Popular, 
Mushroom Pepperoni Sausage,$15.49,Most Popular, 
Hawaiian,$14.49,Most Popular, 
California Veggie,$14.99,Most Popular,Vegetarian. Suggested on wheat whole grain crust.
Carne Asada,$16.89,Most Popular, 
Wild Mushroom,$14.49,Most Popular,Vegetarian.
Roasted Garlic Chicken,$14.49,Most Popular,Favorites.
The Works,$15.79,Most Popular, 
Spinach Artichoke Dip,$33.99,Appetizers,"Favorites, vegetarian. Served hot with house-made blue & white corn tortilla chips."
Szechwan Chicken Dumplings,$27.99,Appetizers,"Chinese dumplings topped with fresh cilantro, sesame seeds and scallions. Served with our soy-ginger chili sauce."
Avocado Club Egg Rolls,$37.99,Appetizers,"Favorites. Hand-wrapped crispy wonton rolls filled with avocado, chicken, tomato, Monterey jack and Nueske’s applewood smoked bacon. Served with house-made ranchito sauce and herb ranch."
Lettuce Wraps,$34.99,Appetizers,"Fresh shiitake mushrooms, water chestnuts and scallions tossed in spicy ginger soy sauce."
Charred Shishito Peppers,$32.99,Appetizers,"New, vegetarian, gluten-free. East Asian shishito peppers pan-sautéed with soy sauce, garlic and red chili."
White Corn Guacamole + Chips,$26.99,Appetizers,"Vegetarian. Diced avocado, sweet corn, black beans, jicama, bell peppers, fresh cilantro and serrano peppers. Served with house-made blue & white corn tortilla chips."
Tortilla Spring Rolls,$31.99,Appetizers,Baked in our hearth oven and sprinkled with herbs.
The Original BBQ Chicken Chopped Salad,$47.99,Salads,"Favorites. Black beans, sweet corn, jicama, fresh cilantro & basil, crispy corn tortilla strips and Monterey jack. Topped with BBQ chicken, tomatoes and scallions, served with our legendary BBQ sauce and house-made herb ranch. Suggested with fresh avocado."
Quinoa + Arugula,$48.99,Salads,"Favorites, vegetarian. Our super-grain salad with asparagus, sun-dried tomatoes, red onions, toasted pine nuts and feta served with our house-made champagne vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
California Cobb,$50.99,Salads,"Gluten-free. Nueske’s applewood smoked bacon, avocado, chicken, tomatoes, chopped egg, fresh basil and Gorgonzola with house-made herb ranch or bleu cheese dressing. Try it with fresh beets."
Italian Chopped,$46.99,Salads,"Gluten-free. Roasted turkey breast, julienned salami, garbanzo beans, tomatoes, mozzarella and fresh basil served with house-made mustard herb vinaigrette."
Roasted Veggie,$45.99,Salads,"Vegetarian. Warm artichoke hearts, asparagus, eggplant, red & yellow peppers, corn and sun-dried tomatoes served with cool romaine, avocado and house-made Dijon balsamic vinaigrette. Suggested with grilled chicken, shrimp or sautéed salmon."
