Title,Interview Date,Employee Type,Offer,Experience,Interview Type,Application,Interview,Question
Server,"Nov 5, 2017",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at BJ's Restaurants.,"Applied online. Had one interview, very basic. I was asked questions that demonstrated my experience in service and willingness to learn the specific service model. Very common service industry interview.","Tell me about your relevant experience in the service industry   ,Answer Question"
Hostess,"Oct 25, 2017",Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied online. The process took 2 weeks. I interviewed at BJ's Restaurants.,Simple process. Applied online and was called in for an interview the next week. Brought in for initial interview with assistant manager and then brought back for a second interview with general manager.,"Why do you want to work in the hospitality industry?   ,Answer Question"
"Hostess, Food Runner, Busser, Takeout Cashier","Oct 23, 2017",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. I interviewed at BJ's Restaurants.,"Interviews are quick. Usually have to interview with 2 managers then the general manager, but I only interviewed with the general manager and got the job. Didn't really ask that many questions. Also look nice for the interview, managers are impressed with professional attire.","How do you handle pressure.   ,Answer Question"
Server Assistant,"Sep 10, 2017",Anonymous Interview Candidate,No Offer,Negative Experience,Easy Interview,I applied online. The process took 1 day. I interviewed at BJ's Restaurants.,"I applied and got called the next day to come in for an interview. The manager was about 20 mins late for the interview, and it appeared that one of the SA's walked out. Tables everywhere weren't clear and the employees seemed like they did not want to be there. The GM was bussing all the tables., And a server walked up to me and told me the workers there were lazy. It was honestly pretty pathetic to see and spoke volumes about how the restaurant was managed. The interview wasn't anything out of the ordinary. He just asked about my experience, availability, and he also showed me the kitchen. I was scheduled to come in for a second interview but later declined due to receiving a better job offer.","Tell me about yourself   ,Answer Question"
Dishwasher,"Sep 23, 2017","Anonymous Employee in Tallahassee, FL",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 1 day. I interviewed at BJ's Restaurants (Tallahassee, FL) in September 2017.",I'm like working it's a hobby around good people keep pushing yourself to the top And Grind is the best way u know how to grind be quite an listen to the manger,"what would u do if you was in a worse situation   ,Answer Question"
Server,"Jul 26, 2017",Anonymous Employee,Accepted Offer,Neutral Experience,Easy Interview,I applied through an employee referral. I interviewed at BJ's Restaurants.,"pretty causal type of interview, they asked you some typical questions testing your knowldege of your skills and the ocupation. followed up by me asking some questions of how they manged the place",
Hostess,"Jun 6, 2017","Anonymous Employee in Elk Grove, CA",Accepted Offer,Neutral Experience,Difficult Interview,"I applied in-person. I interviewed at BJ's Restaurants (Elk Grove, CA) in June 2017.","it went by pretty fast, i was interviewed by sammy. He was very weird. I felt like he was putting me down in some way. Just be friendly and smile a lot, do not be too serious. you want to give off friendly vibes, do not have a complete serious face, he wants people who seem welcoming.","Where do you see your self in one year and in Three years?   ,Answer Question, What is hospitality to you?   ,Answer Question, What Is your school schedule ?   ,Answer Question, Why should i hire you   ,Answer Question, If i have a Follower host and a Leader host, who do you think I'm going to give more hours too?   ,Answer Question, Why do you think a host is important?   ,Answer Question"
Hostess,"Aug 10, 2017","Anonymous Employee in Fredericksburg, VA",Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at BJ's Restaurants (Fredericksburg, VA) in June 2017.","went in for 2 short interviews, each with someone different. i applied when they first opened so it was pretty quick and to the point and easy and i got it","how did you react in a situation that involved someone you didn't work well with?   ,Answer Question"
Service Assistant,"Aug 8, 2017","Anonymous Employee in Hurst, TX",Accepted Offer,Positive Experience,Easy Interview,"I applied online. I interviewed at BJ's Restaurants (Hurst, TX) in April 2017.",They give you a call and they set up a date and you head to the restaurant. They set up the interview in the back of the restaurant and ask general questions.,"Why did you choose BJ's?,How would you say you are under pressure?   ,Answer Question"
Corporate Recruiter,"Jun 23, 2017","Anonymous Employee in Huntington Beach, CA",Accepted Offer,Positive Experience,Difficult Interview,"I applied online. I interviewed at BJ's Restaurants (Huntington Beach, CA) in April 2017.","Long, detailed, good energy. The questions that they asked really allowed me to provide my entire skill set and past experience. They were very open to answering the questions that I had.","Tell them about my background.   ,Answer Question"
Server,"Oct 5, 2017","Anonymous Interview Candidate in Bakersfield, CA",No Offer,Neutral Experience,Average Interview,"I applied in-person. The process took 5 days. I interviewed at BJ's Restaurants (Bakersfield, CA) in April 2017.","It was an open interview starting on Monday. It was a three interview process with 3 different managers. After the first I was scheduled the next day, after that I was scheduled Friday for the final interview with the restaurant manager. Finished and she said that to expect a phone call by Monday for a position.","What would your previous managers say about you?   ,Answer Question"
Hostess,"Mar 2, 2017","Anonymous Employee in Sacramento, CA",Accepted Offer,Positive Experience,Easy Interview,"I applied in-person. The process took a week. I interviewed at BJ's Restaurants (Sacramento, CA).",I walked in and received an on the spot interview who then recommended me to the general manager. I came in for a second interview and was hired on the spot.,"How would you handle an upset guest?   ,Answer Question, What is an example of a time you went above and beyond your job role?   ,Answer Question, Why do you think a hostess is so important?   ,Answer Question"
Team Member Talent Developer,"Sep 7, 2017","Anonymous Interview Candidate in Huntington Beach, CA",No Offer,Negative Experience,Easy Interview,"I applied online. I interviewed at BJ's Restaurants (Huntington Beach, CA) in March 2017.","I participated in a phone interview. When I talked to the hiring manager, she appeared to be somewhat distracted by other things. She may have been driving. I just didn't get the sense that I had her full attention from the start. The questions were standard surface-level questions. I was a bit surprised by how simple they were given the nature of the position they were looking to fill. They mentioned that no has been in that position for quite sometime...so, they were still trying to work out how that role would fit in and support the organization. I didn't get a whole lot of clarity on any of the job responsibilities and expectations beyond what is written in the job description. Her answers were either vague or she said the person in the role will determine what that looks like. It was a red flag to me that the role wasn't clearly defined. Do you really need the position if it hasn't been filled in a while and you're not clear on what value that role can bring to the team?","How would you get the restaurants to be consistent and compliant with training?   ,1 Answer"
Food Server,"Dec 9, 2017","Anonymous Employee in Woodland, CA",Accepted Offer,Positive Experience,Average Interview,"I applied online. The process took 4+ weeks. I interviewed at BJ's Restaurants (Woodland, CA) in February 2017.","It was an easy one on one with the manager. Getting to him, though, was not easy--it took two weeks for him to find a good time (he cancelled several times).","How do you like working with people?   ,1 Answer"
Server,"Jan 21, 2017","Anonymous Employee in Tucson, AZ",Accepted Offer,Positive Experience,Average Interview,"I applied online. I interviewed at BJ's Restaurants (Tucson, AZ).",Very professional and courteous. Very up front about job expectations. The manager was very personable and made me feel comfortable. She was light hearted and not too intimidating. It made me feel good about where I was applying and what her managing style would be like. Being comfortable and layed back helped enormously so I wasn't stuttering and nervous.,"Have you ever dealt with difficult customers or had a difficult situation, how did you handle it?   ,Answer Question"
Server,"Feb 11, 2017","Anonymous Interview Candidate in Los Angeles, CA",No Offer,Positive Experience,Average Interview,"I applied online. The process took 5 days. I interviewed at BJ's Restaurants (Los Angeles, CA) in January 2017.",I applied online on the company's website. It took about a week and I got a phone call to go for an interview. The questions were basic server questions like: What do you know about BJ? How would you contribute to the restaurant? What is a good server? Describe a time you had to deal with an angry customer...,"What sets you apart from anybody else?   ,Answer Question"
Bartender,"Dec 9, 2016",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 days. I interviewed at BJ's Restaurants.,"We took an online...personality test essentially, it's designed to see if you have certain character traits that the corporation believes valuable. After that, you are called in for an interview and that's usually with 2 or 3 managers.","Name 3 bourbons   ,1 Answer"
Server Assistant,"Dec 12, 2016","Anonymous Employee in Puyallup, WA",Accepted Offer,Positive Experience,Easy Interview,"I applied online. The process took 2 days. I interviewed at BJ's Restaurants (Puyallup, WA).",I went in had a first interview with GM asked my questions about why I like Bjs. Had 2 interview then hired that day. They both asked different questions and where very easy to talk to which made me feel comfortable and confident.,"What I liked about Bjs.   ,3 Answers"
Host,"Sep 11, 2017","Anonymous Employee in Stockton, CA",Accepted Offer,Positive Experience,Easy Interview,"I applied through an employee referral. I interviewed at BJ's Restaurants (Stockton, CA) in December 2016.","Went in 3 different times for interviews with 3 different managers. All asked very basic questions. No interview lasted more than 3 minutes. First time was with a very low scale manager, he basically sat and got to know my personality, which is happy and bright. Second interview was with a higher manager, he asked about my work ethic and how I could thrive here and he asked why I left my old job. Straight forward questions. He told me I would be passed along to be interviewed by the hiring manager. When I went in for that interview, she sat with me for maybe 30 seconds and told me I was hired and to come back in another week for orientation. No questions asked.","Why did you choose BJ's to work?   ,1 Answer"
Line Cook,"Oct 14, 2017","Anonymous Employee in Round Rock, TX",Accepted Offer,Negative Experience,Easy Interview,"I applied in-person. The process took 2 weeks. I interviewed at BJ's Restaurants (Round Rock, TX) in December 2016.","It took 3 interviews, the AGM, GM, then Kitchen Manager. A total of 2 weeks. I was not given a tour or general overview of what I was getting into. It was the basic can you breathe and function questions.","work experience   ,Answer Question"
Staff RN,"Jan 14, 2017","Anonymous Employee in Hayward, CA",Accepted Offer,Neutral Experience,Easy Interview,"I applied online. The process took 4+ months. I interviewed at BJ's Restaurants (Hayward, CA) in October 2016.","Applied online and called in for interview. Interviewed in October, got a call in december and started working in January. Applied online a few times before getting a call for an interview.","Why do you want to be a Nurse?   ,Answer Question"
Hostess,"Jun 18, 2017","Anonymous Employee in Vienna, VA",Accepted Offer,Negative Experience,Easy Interview,"I applied online. I interviewed at BJ's Restaurants (Vienna, VA) in October 2016.","There was no real interview. I was asked my availability and what I'd like my hourly rate to be then hired on the spot. They were hiring all candidates on the spot without an interview because they were short staffed. Only recently have they started a 2 interview process of hiring. Once I was hired, I understood why. That place is a wreck.","My availability and what I'd like my hourly rate to be.   ,Answer Question"
Dishwasher,"Sep 25, 2016","Anonymous Interview Candidate in Burbank, CA",No Offer,Positive Experience,Easy Interview,"I applied online. The process took 3 days. I interviewed at BJ's Restaurants (Burbank, CA) in September 2016.",First interview at different location was a two step interview first was with kitchen manager and called back for interview with general manger Both went well though the interview with the general manager seemed more casual it did seem like I would have gotten the job but I guess someone else was a better candidate as I never worked in a kitchen,"Have you ever worked in a restaurant kitchen and have you ever done dishwashing at a restaurant   ,2 Answers"
Dishwasher,"Oct 11, 2016","Anonymous Interview Candidate in Roseville, CA",No Offer,Neutral Experience,Easy Interview,"I applied online. The process took 1 day. I interviewed at BJ's Restaurants (Roseville, CA) in September 2016.","Called in for interview. Member of mgmt came out from kitchen and sat me down at table and we talked for literally 3-5 minutes. She asked me what hours I was available and asked if I understood the kitchen was a hot, busy place.","What hours/shifts I could work.   ,Answer Question, Have you ever worked in a busy kitchen?   ,Answer Question"
Host/Hostess,"Aug 7, 2016",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took 2 weeks. I interviewed at BJ's Restaurants.,"I applied online and called the restaurant a week later asking for the status of my application. The next day I was granted an interview for the following Monday with the general manager at 2PM. When I arrived, the restaurant was surprisingly busy for a Monday because there were a lot of graduations going on so I had to wait about 15-30 minutes before my interview started. The interview was very easy going and didn't take too long. The manager asked me very standard questions and said she definitely wanted me on the team but wasn't sure how she was going to fit me in the schedule just yet. Two days later I called and was officially offered the hostess position and gave my SSN. Orientation and training was the next week, which was all paid.","How would your mother describe you?   ,Answer Question"
Server,"Jun 16, 2017","Anonymous Employee in San Bruno, CA",Accepted Offer,Positive Experience,Easy Interview,"I applied through an employee referral. I interviewed at BJ's Restaurants (San Bruno, CA) in August 2016.","Very Relaxed, interviewed with the GM (Best part about working there, he is very professional and always looks out for his employees). The interview was very relaxed, in person, basically just went over why I am applying for the position and for how long do I plan to stay.","What do you plan to accomplish here?   ,Answer Question"
Server,"Jul 21, 2016",Anonymous Employee,Accepted Offer,Positive Experience,Easy Interview,I applied online. The process took a week. I interviewed at BJ's Restaurants.,"I applied online for a server position, called them back a couple of days later and was asked to come in the next day for an interview. It was the best interview ever however instead of getting the server job I was offered the hostess position which was fine because I really needed a job. The manager was so nice, the interview was basically to get to know my personality more and schedule availability. The interview lasted about 30 minutes and I was told to wait until Monday for a response (the interview was on wednesday). I got a response on Sunday saying I was hired, I gave the manager my SSN to be put in the system, she told me I had orientation Wednesday at 8:30am. Orientation was paid, I was there for about 3 hours, was taught how to clock in and out, it was A LOT of computer stuff to get you to know all about BJ's. Then I was asked to come in for hostess training for the next four days!","What made you choose BJ's?   ,Answer Question"
