Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 10:00 pm,Takes Reservations,No,Dairy Queen,https://www.yelp.com/adredir?ad_business_id=78WdYqDfFzIC2VMRLgKSXw&campaign_id=momXv6cRnwGGC9IpzheLCA&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fdairy-queen-san-antonio-26&request_id=fe1653a2424080e6&signature=3271971b57dd77f53e92d54ff322b0791aefb28431a39159861b21acce85ae28&slot=0,54th Street Restaurant & Drafthouse,https://www.yelp.com/biz/54th-street-restaurant-and-drafthouse-live-oak?page_src=related_bizes
Tue,11:00 am - 10:00 pm,Delivery,No,Grady’s BBQ,https://www.yelp.com/adredir?ad_business_id=WehFFVT441JrNZ7ASQjNmQ&campaign_id=4nGgnTbuPxkxcbCEKw82Vg&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fgradys-bbq-converse&request_id=fe1653a2424080e6&signature=a70e79da9e2d4fe07d946dc9161b5ca4c68ba8b6c50ecc61481d1cc769e95d40&slot=1,Bubba’s 33,https://www.yelp.com/biz/bubbas-33-universal-city-2?page_src=related_bizes
Wed,11:00 am - 10:00 pm,Take-out,Yes,,,Biff Buzby’s Burgers,https://www.yelp.com/biz/biff-buzbys-burgers-live-oak?page_src=related_bizes
Thu,11:00 am - 10:00 pm,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 11:00 pm,Accepts Apple Pay,No,,,,
Sat,11:00 am - 11:00 pm,Good For,"Lunch, Dinner",,,,
Sun,11:00 am - 10:00 pm,Parking,Private Lot,,,,
,,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,No,,,,
,,Has TV,Yes,,,,
,,Caters,No,,,,
