name,bad,da,good,da2
food,23,NOUN,89.0,NOUN
order,19,NOUN,30.0,NOUN
minutes,14,NOUN,8.0,NOUN
service,10,NOUN,64.0,NOUN
table,10,NOUN,18.0,NOUN
chicken,10,NOUN,27.0,NOUN
one,9,NOUN,28.0,NOUN
time,9,NOUN,41.0,NOUN
hour,9,NOUN,3.0,NOUN
check,8,NOUN,5.0,NOUN
manager,8,NOUN,12.0,NOUN
location,8,NOUN,32.0,NOUN
plates,8,NOUN,2.0,NOUN
while,8,NOUN,8.0,NOUN
bread,7,NOUN,23.0,NOUN
pizza,7,NOUN,70.0,NOUN
pasta,7,NOUN,14.0,NOUN
lunch,6,NOUN,18.0,NOUN
place,6,NOUN,32.0,NOUN
tables,6,NOUN,8.0,NOUN
half,6,NOUN,10.0,NOUN
wait,5,NOUN,23.0,NOUN
drinks,5,NOUN,25.0,NOUN
who,5,NOUN,4.0,NOUN
experience,5,NOUN,20.0,NOUN
people,5,NOUN,19.0,NOUN
salad,4,NOUN,32.0,NOUN
sauce,4,NOUN,8.0,NOUN
nothing,4,NOUN,3.0,NOUN
sorry,4,NOUN,0.0,0
kitchen,4,NOUN,3.0,NOUN
waiter,4,NOUN,12.0,NOUN
server,4,NOUN,27.0,NOUN
dinner,4,NOUN,16.0,NOUN
visit,4,NOUN,7.0,NOUN
party,4,NOUN,3.0,NOUN
home,4,NOUN,3.0,NOUN
seat,4,NOUN,0.0,0
what,4,NOUN,20.0,NOUN
restaurant,3,NOUN,26.0,NOUN
phone,3,NOUN,3.0,NOUN
someone,3,NOUN,4.0,NOUN
anything,3,NOUN,6.0,NOUN
stars,3,NOUN,7.0,NOUN
round,3,NOUN,0.0,0
friends,3,NOUN,2.0,NOUN
lot,3,NOUN,12.0,NOUN
dessert,3,NOUN,8.0,NOUN
soup,3,NOUN,11.0,NOUN
 I,3,NOUN,22.0,NOUN
mins,3,NOUN,2.0,NOUN
hold,3,NOUN,0.0,0
bartender,3,NOUN,2.0,NOUN
day,3,NOUN,13.0,NOUN
chocolate,2,NOUN,1.0,NOUN
glass,2,NOUN,1.0,NOUN
staff,2,NOUN,6.0,NOUN
closing,2,NOUN,0.0,0
coke,2,NOUN,0.0,0
hostess,2,NOUN,2.0,NOUN
spill,2,NOUN,0.0,0
napkins,2,NOUN,1.0,NOUN
shoes,2,NOUN,2.0,NOUN
kids,2,NOUN,5.0,NOUN
point,2,NOUN,7.0,NOUN
way,2,NOUN,11.0,NOUN
thing,2,NOUN,9.0,NOUN
years,2,NOUN,6.0,NOUN
everything,2,NOUN,14.0,NOUN
customers,2,NOUN,2.0,NOUN
ice,2,NOUN,1.0,NOUN
cream,2,NOUN,5.0,NOUN
person,2,NOUN,3.0,NOUN
mind,2,NOUN,2.0,NOUN
employees,2,NOUN,0.0,0
help,2,NOUN,0.0,0
bowl,2,NOUN,6.0,NOUN
parking,2,NOUN,8.0,NOUN
reason,2,NOUN,3.0,NOUN
cleanliness,2,NOUN,0.0,0
portions,2,NOUN,3.0,NOUN
business,2,NOUN,2.0,NOUN
salads,2,NOUN,2.0,NOUN
lemongrass,2,NOUN,0.0,0
places,2,NOUN,6.0,NOUN
fan,2,NOUN,4.0,NOUN
night,2,NOUN,12.0,NOUN
money,2,NOUN,0.0,0
taste,2,NOUN,3.0,NOUN
something,2,NOUN,6.0,NOUN
items,2,NOUN,4.0,NOUN
water,2,NOUN,5.0,NOUN
call,2,NOUN,0.0,0
apology,2,NOUN,1.0,NOUN
family,2,NOUN,5.0,NOUN
minute,2,NOUN,4.0,NOUN
menu,2,NOUN,19.0,NOUN
