name,bad,da,good,da2
in,1450,NOUN,5592.0,NOUN
food,1324,NOUN,4823.0,NOUN
out,961,NOUN,2247.0,NOUN
service,881,NOUN,3894.0,NOUN
no,862,NOUN,595.0,NOUN
get,731,NOUN,1801.0,NOUN
back,701,NOUN,1815.0,NOUN
time,697,NOUN,2664.0,NOUN
order,673,NOUN,979.0,NOUN
minutes,669,NOUN,415.0,NOUN
manager,660,NOUN,684.0,NOUN
table,624,NOUN,803.0,NOUN
up,605,NOUN,1401.0,NOUN
one,586,NOUN,2037.0,NOUN
server,568,NOUN,1959.0,NOUN
what,444,NOUN,967.0,NOUN
go,421,NOUN,1725.0,NOUN
restaurant,420,NOUN,1467.0,NOUN
will,408,NOUN,1615.0,NOUN
over,406,NOUN,616.0,NOUN
BJ,398,NOUN,2961.0,NOUN
place,387,NOUN,2770.0,NOUN
pizza,358,NOUN,2274.0,NOUN
waitress,357,NOUN,743.0,NOUN
wait,337,NOUN,1103.0,NOUN
experience,331,NOUN,1316.0,NOUN
waiter,301,NOUN,710.0,NOUN
drinks,299,NOUN,1138.0,NOUN
off,297,NOUN,759.0,NOUN
take,294,NOUN,495.0,NOUN
who,279,NOUN,595.0,NOUN
check,279,NOUN,285.0,NOUN
wrong,261,NOUN,211.0,NOUN
good,253,NOUN,4026.0,NOUN
down,244,NOUN,421.0,NOUN
waiting,238,NOUN,251.0,NOUN
right,233,NOUN,773.0,NOUN
location,228,NOUN,881.0,NOUN
salad,218,NOUN,994.0,NOUN
can,211,NOUN,1338.0,NOUN
left,208,NOUN,241.0,NOUN
drink,204,NOUN,639.0,NOUN
bill,204,NOUN,121.0,NOUN
people,202,NOUN,621.0,NOUN
meal,198,NOUN,771.0,NOUN
way,193,NOUN,527.0,NOUN
cold,191,NOUN,127.0,NOUN
being,191,NOUN,460.0,NOUN
hour,189,NOUN,661.0,NOUN
customer,180,NOUN,473.0,NOUN
times,179,NOUN,828.0,NOUN
rude,178,NOUN,0.0,0
night,177,NOUN,1159.0,NOUN
something,169,NOUN,562.0,NOUN
while,168,NOUN,444.0,NOUN
3,165,NOUN,321.0,NOUN
around,165,NOUN,570.0,NOUN
orders,157,NOUN,209.0,NOUN
anything,156,NOUN,305.0,NOUN
