name,bad,da,good,da2
in,1023,NOUN,1496.0,NOUN
food,763,NOUN,1302.0,NOUN
had,762,NOUN,0.0,0
time,388,NOUN,651.0,NOUN
service,385,NOUN,1052.0,NOUN
minutes,380,NOUN,117.0,NOUN
get,379,NOUN,429.0,NOUN
order,364,NOUN,328.0,NOUN
one,360,NOUN,381.0,NOUN
back,354,NOUN,472.0,NOUN
table,342,NOUN,304.0,NOUN
manager,335,NOUN,193.0,NOUN
up,314,NOUN,346.0,NOUN
Chili,312,NOUN,0.0,0
got,289,NOUN,0.0,0
go,267,NOUN,475.0,NOUN
server,250,NOUN,543.0,NOUN
place,248,NOUN,485.0,NOUN
by,248,NOUN,0.0,0
waitress,225,NOUN,212.0,NOUN
what,222,NOUN,278.0,NOUN
will,211,NOUN,0.0,0
experience,209,NOUN,396.0,NOUN
restaurant,193,NOUN,340.0,NOUN
wait,179,NOUN,238.0,NOUN
chicken,170,NOUN,413.0,NOUN
drinks,160,NOUN,346.0,NOUN
meal,160,NOUN,214.0,NOUN
good,139,NOUN,970.0,NOUN
wrong,138,NOUN,39.0,NOUN
bar,134,NOUN,301.0,NOUN
location,132,NOUN,323.0,NOUN
drink,132,NOUN,160.0,NOUN
who,131,NOUN,174.0,NOUN
people,131,NOUN,154.0,NOUN
tables,130,NOUN,63.0,NOUN
waiter,130,NOUN,164.0,NOUN
left,127,NOUN,0.0,0
while,120,NOUN,100.0,NOUN
way,119,NOUN,148.0,NOUN
cold,119,NOUN,29.0,NOUN
check,118,NOUN,80.0,NOUN
right,118,NOUN,194.0,NOUN
chips,117,NOUN,286.0,NOUN
waiting,110,NOUN,51.0,NOUN
take,109,NOUN,114.0,NOUN
being,107,NOUN,107.0,NOUN
husband,99,NOUN,132.0,NOUN
dirty,99,NOUN,0.0,0
customer,99,NOUN,160.0,NOUN
later,98,NOUN,0.0,0
$,98,NOUN,280.0,NOUN
around,97,NOUN,0.0,0
rude,96,NOUN,10.0,NOUN
kitchen,93,NOUN,30.0,NOUN
eating,90,NOUN,58.0,NOUN
hour,89,NOUN,136.0,NOUN
well,89,NOUN,306.0,NOUN
bill,87,NOUN,45.0,NOUN
times,84,NOUN,169.0,NOUN
3,84,NOUN,0.0,0
dinner,84,NOUN,214.0,NOUN
salad,80,NOUN,158.0,NOUN
salsa,80,NOUN,203.0,NOUN
point,79,NOUN,57.0,NOUN
burger,79,NOUN,149.0,NOUN
anything,79,NOUN,71.0,NOUN
something,78,NOUN,101.0,NOUN
family,77,NOUN,190.0,NOUN
fries,75,NOUN,137.0,NOUN
thought,74,NOUN,59.0,NOUN
water,74,NOUN,37.0,NOUN
staff,73,NOUN,302.0,NOUN
hostess,72,NOUN,64.0,NOUN
nothing,71,NOUN,32.0,NOUN
lunch,71,NOUN,200.0,NOUN
steak,71,NOUN,130.0,NOUN
night,70,NOUN,229.0,NOUN
area,68,NOUN,158.0,NOUN
someone,66,NOUN,39.0,NOUN
cheese,66,NOUN,123.0,NOUN
menu,66,NOUN,285.0,NOUN
kids,64,NOUN,118.0,NOUN
work,64,NOUN,101.0,NOUN
plate,62,NOUN,42.0,NOUN
look,61,NOUN,51.0,NOUN
appetizer,61,NOUN,137.0,NOUN
tip,60,NOUN,45.0,NOUN
bartender,60,NOUN,106.0,NOUN
disgusting,60,NOUN,0.0,0
chili,60,NOUN,134.0,NOUN
things,59,NOUN,96.0,NOUN
thing,59,NOUN,101.0,NOUN
half,58,NOUN,53.0,NOUN
wife,57,NOUN,74.0,NOUN
care,56,NOUN,143.0,NOUN
little,55,NOUN,154.0,NOUN
chilis,55,NOUN,114.0,NOUN
customers,55,NOUN,67.0,NOUN
attitude,54,NOUN,38.0,NOUN
problem,54,NOUN,35.0,NOUN
old,54,NOUN,0.0,0
meals,53,NOUN,66.0,NOUN
day,52,NOUN,133.0,NOUN
years,52,NOUN,71.0,NOUN
orders,51,NOUN,58.0,NOUN
name,51,NOUN,142.0,NOUN
visit,51,NOUN,152.0,NOUN
business,50,NOUN,23.0,NOUN
floor,49,NOUN,10.0,NOUN
min,48,NOUN,21.0,NOUN
fajitas,48,NOUN,110.0,NOUN
big,48,NOUN,0.0,0
