name,bad,da,good,da2
in,1159,NOUN,3020.0,NOUN
food,893,NOUN,2213.0,NOUN
out,588,NOUN,1194.0,NOUN
no,571,NOUN,0.0,0
minutes,527,NOUN,270.0,NOUN
order,509,NOUN,665.0,NOUN
time,508,NOUN,1366.0,NOUN
's,508,NOUN,0.0,0
get,485,NOUN,1135.0,NOUN
service,477,NOUN,1977.0,NOUN
table,461,NOUN,567.0,NOUN
burger,451,NOUN,2304.0,NOUN
Red,440,NOUN,0.0,0
back,438,NOUN,855.0,NOUN
one,430,NOUN,966.0,NOUN
up,421,NOUN,780.0,NOUN
manager,400,NOUN,440.0,NOUN
fries,394,NOUN,2194.0,NOUN
place,335,NOUN,1276.0,NOUN
server,331,NOUN,1015.0,NOUN
restaurant,316,NOUN,666.0,NOUN
what,308,NOUN,562.0,NOUN
go,278,NOUN,946.0,NOUN
over,276,NOUN,347.0,NOUN
waitress,257,NOUN,553.0,NOUN
will,251,NOUN,863.0,NOUN
off,221,NOUN,267.0,NOUN
wait,213,NOUN,496.0,NOUN
drinks,212,NOUN,550.0,NOUN
come,211,NOUN,0.0,0
location,201,NOUN,720.0,NOUN
experience,200,NOUN,724.0,NOUN
wrong,192,NOUN,113.0,NOUN
down,191,NOUN,262.0,NOUN
take,180,NOUN,253.0,NOUN
who,179,NOUN,314.0,NOUN
tables,169,NOUN,130.0,NOUN
burgers,167,NOUN,1222.0,NOUN
cold,162,NOUN,61.0,NOUN
left,157,NOUN,143.0,NOUN
dirty,156,NOUN,10.0,NOUN
good,155,NOUN,1867.0,NOUN
worst,149,NOUN,0.0,0
right,146,NOUN,483.0,NOUN
way,144,NOUN,318.0,NOUN
people,144,NOUN,273.0,NOUN
drink,143,NOUN,303.0,NOUN
$,141,NOUN,239.0,NOUN
while,140,NOUN,248.0,NOUN
meal,139,NOUN,453.0,NOUN
know,138,NOUN,354.0,NOUN
waiting,136,NOUN,135.0,NOUN
bar,132,NOUN,439.0,NOUN
kids,131,NOUN,438.0,NOUN
staff,130,NOUN,595.0,NOUN
check,130,NOUN,154.0,NOUN
times,129,NOUN,391.0,NOUN
salad,126,NOUN,235.0,NOUN
waiter,117,NOUN,305.0,NOUN
something,114,NOUN,228.0,NOUN
bill,114,NOUN,86.0,NOUN
night,112,NOUN,352.0,NOUN
family,111,NOUN,447.0,NOUN
being,104,NOUN,253.0,NOUN
husband,103,NOUN,253.0,NOUN
eating,102,NOUN,162.0,NOUN
hostess,100,NOUN,108.0,NOUN
chicken,100,NOUN,381.0,NOUN
well,100,NOUN,657.0,NOUN
red,99,NOUN,312.0,NOUN
else,99,NOUN,110.0,NOUN
someone,96,NOUN,64.0,NOUN
anything,95,NOUN,141.0,NOUN
customer,93,NOUN,307.0,NOUN
am,93,NOUN,256.0,NOUN
A,93,NOUN,181.0,NOUN
rude,92,NOUN,0.0,0
point,90,NOUN,120.0,NOUN
pay,89,NOUN,118.0,NOUN
thing,89,NOUN,204.0,NOUN
orders,88,NOUN,139.0,NOUN
half,86,NOUN,91.0,NOUN
care,85,NOUN,245.0,NOUN
visit,84,NOUN,353.0,NOUN
kitchen,83,NOUN,62.0,NOUN
side,80,NOUN,239.0,NOUN
sitting,80,NOUN,44.0,NOUN
leave,78,NOUN,0.0,0
nothing,78,NOUN,53.0,NOUN
day,77,NOUN,221.0,NOUN
robin,76,NOUN,220.0,NOUN
beer,75,NOUN,210.0,NOUN
cheese,74,NOUN,334.0,NOUN
management,74,NOUN,67.0,NOUN
servers,73,NOUN,245.0,NOUN
review,73,NOUN,196.0,NOUN
customers,73,NOUN,114.0,NOUN
old,72,NOUN,0.0,0
hour,71,NOUN,117.0,NOUN
water,70,NOUN,49.0,NOUN
call,70,NOUN,69.0,NOUN
appetizer,69,NOUN,135.0,NOUN
menu,69,NOUN,529.0,NOUN
disgusting,69,NOUN,0.0,0
lettuce,67,NOUN,143.0,NOUN
attitude,67,NOUN,70.0,NOUN
try,66,NOUN,292.0,NOUN
dinner,66,NOUN,302.0,NOUN
