name,bad,da,good,da2
food,60,NOUN,53.0,NOUN
time,35,NOUN,35.0,NOUN
burger,33,NOUN,65.0,NOUN
fries,30,NOUN,65.0,NOUN
table,30,NOUN,16.0,NOUN
service,30,NOUN,55.0,NOUN
one,28,NOUN,21.0,NOUN
back,27,NOUN,0.0,0
waitress,25,NOUN,10.0,NOUN
minutes,23,NOUN,5.0,NOUN
manager,23,NOUN,8.0,NOUN
place,21,NOUN,37.0,NOUN
order,20,NOUN,18.0,NOUN
what,18,NOUN,10.0,NOUN
people,14,NOUN,3.0,NOUN
staff,13,NOUN,8.0,NOUN
restaurant,13,NOUN,10.0,NOUN
experience,13,NOUN,15.0,NOUN
attitude,12,NOUN,0.0,0
way,12,NOUN,9.0,NOUN
who,12,NOUN,13.0,NOUN
burgers,11,NOUN,35.0,NOUN
server,11,NOUN,34.0,NOUN
needs,10,NOUN,0.0,0
while,10,NOUN,10.0,NOUN
drinks,10,NOUN,12.0,NOUN
family,10,NOUN,8.0,NOUN
waiting,10,NOUN,4.0,NOUN
tables,10,NOUN,2.0,NOUN
anything,10,NOUN,3.0,NOUN
work,10,NOUN,6.0,NOUN
kids,9,NOUN,8.0,NOUN
times,9,NOUN,12.0,NOUN
customers,9,NOUN,3.0,NOUN
$,9,NOUN,0.0,0
cheese,8,NOUN,8.0,NOUN
reviews,8,NOUN,3.0,NOUN
drink,8,NOUN,7.0,NOUN
bill,8,NOUN,6.0,NOUN
meal,8,NOUN,16.0,NOUN
pay,7,NOUN,0.0,0
customer,7,NOUN,9.0,NOUN
something,7,NOUN,5.0,NOUN
hour,7,NOUN,4.0,NOUN
sugar,7,NOUN,1.0,NOUN
name,7,NOUN,2.0,NOUN
help,6,NOUN,0.0,0
birthday,6,NOUN,7.0,NOUN
visit,6,NOUN,4.0,NOUN
point,6,NOUN,3.0,NOUN
location,6,NOUN,20.0,NOUN
smell,6,NOUN,0.0,0
lunch,6,NOUN,13.0,NOUN
phone,6,NOUN,2.0,NOUN
sauce,6,NOUN,12.0,NOUN
salad,6,NOUN,5.0,NOUN
someone,6,NOUN,1.0,NOUN
check,6,NOUN,8.0,NOUN
tea,6,NOUN,4.0,NOUN
water,6,NOUN,3.0,NOUN
top,6,NOUN,4.0,NOUN
price,6,NOUN,5.0,NOUN
home,6,NOUN,3.0,NOUN
dinner,6,NOUN,7.0,NOUN
station,5,NOUN,0.0,0
glass,5,NOUN,1.0,NOUN
situation,5,NOUN,1.0,NOUN
stars,5,NOUN,6.0,NOUN
appetizer,5,NOUN,0.0,0
waitresses,5,NOUN,1.0,NOUN
patty,5,NOUN,2.0,NOUN
refill,5,NOUN,0.0,0
quality,5,NOUN,9.0,NOUN
patio,5,NOUN,0.0,0
night,5,NOUN,3.0,NOUN
locations,5,NOUN,3.0,NOUN
today,5,NOUN,4.0,NOUN
money,5,NOUN,3.0,NOUN
lettuce,5,NOUN,2.0,NOUN
hostess,5,NOUN,10.0,NOUN
friend,5,NOUN,2.0,NOUN
kitchen,4,NOUN,1.0,NOUN
look,4,NOUN,0.0,0
menus,4,NOUN,0.0,0
tip,4,NOUN,9.0,NOUN
waiter,4,NOUN,5.0,NOUN
side,4,NOUN,5.0,NOUN
refills,4,NOUN,2.0,NOUN
attention,4,NOUN,4.0,NOUN
Food,4,NOUN,11.0,NOUN
front,4,NOUN,1.0,NOUN
raspberry,4,NOUN,0.0,0
husband,4,NOUN,5.0,NOUN
milkshake,4,NOUN,1.0,NOUN
dressing,4,NOUN,1.0,NOUN
garlic,4,NOUN,6.0,NOUN
review,4,NOUN,1.0,NOUN
reason,4,NOUN,3.0,NOUN
Wish,4,NOUN,0.0,0
door,4,NOUN,0.0,0
seating,4,NOUN,1.0,NOUN
everyone,4,NOUN,3.0,NOUN
group,4,NOUN,2.0,NOUN
area,4,NOUN,2.0,NOUN
try,4,NOUN,5.0,NOUN
care,4,NOUN,2.0,NOUN
onion,3,NOUN,9.0,NOUN
everybody,3,NOUN,1.0,NOUN
bacon,3,NOUN,1.0,NOUN
train,3,NOUN,0.0,0
menu,3,NOUN,13.0,NOUN
end,3,NOUN,0.0,0
checking,3,NOUN,0.0,0
orders,3,NOUN,8.0,NOUN
sister,3,NOUN,0.0,0
Service,3,NOUN,9.0,NOUN
feel,3,NOUN,0.0,0
person,3,NOUN,3.0,NOUN
line,3,NOUN,0.0,0
silverware,3,NOUN,0.0,0
experiences,3,NOUN,0.0,0
town,3,NOUN,0.0,0
pm,3,NOUN,1.0,NOUN
wife,3,NOUN,2.0,NOUN
job,3,NOUN,5.0,NOUN
game,3,NOUN,1.0,NOUN
TO,3,NOUN,0.0,0
members,3,NOUN,1.0,NOUN
employees,3,NOUN,1.0,NOUN
management,3,NOUN,0.0,0
daughter,3,NOUN,7.0,NOUN
bar,3,NOUN,10.0,NOUN
taste,3,NOUN,6.0,NOUN
everything,3,NOUN,4.0,NOUN
cause,3,NOUN,1.0,NOUN
Thanks,3,NOUN,1.0,NOUN
plenty,3,NOUN,1.0,NOUN
RR,3,NOUN,0.0,0
restaurants,3,NOUN,2.0,NOUN
Waitress,3,NOUN,0.0,0
training,3,NOUN,1.0,NOUN
shake,3,NOUN,0.0,0
mess,3,NOUN,2.0,NOUN
thought,3,NOUN,0.0,0
eye,3,NOUN,0.0,0
cooks,3,NOUN,0.0,0
onions,3,NOUN,2.0,NOUN
thanks,3,NOUN,0.0,0
ladies,3,NOUN,0.0,0
mac,3,NOUN,0.0,0
meals,3,NOUN,0.0,0
reward,3,NOUN,2.0,NOUN
doors,3,NOUN,0.0,0
half,3,NOUN,4.0,NOUN
pick,3,NOUN,0.0,0
start,3,NOUN,1.0,NOUN
bottom,3,NOUN,3.0,NOUN
things,3,NOUN,8.0,NOUN
evening,3,NOUN,2.0,NOUN
Server,2,NOUN,0.0,0
entrance,2,NOUN,1.0,NOUN
beverage,2,NOUN,1.0,NOUN
computer,2,NOUN,0.0,0
day,2,NOUN,3.0,NOUN
napkins,2,NOUN,0.0,0
restroom,2,NOUN,0.0,0
sides,2,NOUN,2.0,NOUN
ice,2,NOUN,3.0,NOUN
son,2,NOUN,2.0,NOUN
fun,2,NOUN,2.0,NOUN
sandwich,2,NOUN,9.0,NOUN
notice,2,NOUN,2.0,NOUN
steak,2,NOUN,6.0,NOUN
salty,2,NOUN,0.0,0
Daughters,2,NOUN,0.0,0
guys,2,NOUN,0.0,0
serving,2,NOUN,0.0,0
rags,2,NOUN,0.0,0
child,2,NOUN,0.0,0
hand,2,NOUN,4.0,NOUN
face,2,NOUN,1.0,NOUN
cup,2,NOUN,2.0,NOUN
blame,2,NOUN,0.0,0
apologies,2,NOUN,0.0,0
fat,2,NOUN,0.0,0
tabletop,2,NOUN,1.0,NOUN
flavorless,2,NOUN,0.0,0
potato,2,NOUN,7.0,NOUN
air,2,NOUN,1.0,NOUN
afternoon,2,NOUN,0.0,0
business,2,NOUN,2.0,NOUN
kind,2,NOUN,0.0,0
movie,2,NOUN,0.0,0
expo,2,NOUN,0.0,0
couple,2,NOUN,2.0,NOUN
stand,2,NOUN,0.0,0
problem,2,NOUN,1.0,NOUN
boyfriend,2,NOUN,4.0,NOUN
hope,2,NOUN,0.0,0
piece,2,NOUN,0.0,0
pie,2,NOUN,0.0,0
Fairfield,2,NOUN,0.0,0
visits,2,NOUN,1.0,NOUN
nothing,2,NOUN,4.0,NOUN
waiters,2,NOUN,2.0,NOUN
attempt,2,NOUN,0.0,0
girl,2,NOUN,4.0,NOUN
girlfriend,2,NOUN,0.0,0
salads,2,NOUN,1.0,NOUN
chicken,2,NOUN,16.0,NOUN
bunch,2,NOUN,0.0,0
fingers,2,NOUN,1.0,NOUN
yelp,2,NOUN,2.0,NOUN
coke,2,NOUN,0.0,0
payment,2,NOUN,0.0,0
Today,2,NOUN,1.0,NOUN
robin,2,NOUN,2.0,NOUN
fail,2,NOUN,0.0,0
fact,2,NOUN,0.0,0
sense,2,NOUN,0.0,0
contact,2,NOUN,0.0,0
guess,2,NOUN,0.0,0
dog,2,NOUN,0.0,0
finish,2,NOUN,0.0,0
thing,2,NOUN,8.0,NOUN
employee,2,NOUN,0.0,0
days,2,NOUN,3.0,NOUN
cleaning,2,NOUN,0.0,0
lemonade,2,NOUN,1.0,NOUN
chance,2,NOUN,0.0,0
flavor,2,NOUN,3.0,NOUN
families,2,NOUN,1.0,NOUN
week,2,NOUN,1.0,NOUN
options,2,NOUN,4.0,NOUN
years,2,NOUN,7.0,NOUN
medium,2,NOUN,0.0,0
tonight,2,NOUN,2.0,NOUN
turn,2,NOUN,0.0,0
paper,2,NOUN,0.0,0
receipt,2,NOUN,0.0,0
mother,2,NOUN,5.0,NOUN
bits,2,NOUN,0.0,0
container,2,NOUN,0.0,0
host,2,NOUN,2.0,NOUN
rudest,2,NOUN,0.0,0
malt,2,NOUN,0.0,0
hair,2,NOUN,0.0,0
request,2,NOUN,0.0,0
hype,2,NOUN,0.0,0
Everything,2,NOUN,2.0,NOUN
system,2,NOUN,0.0,0
atleast,2,NOUN,0.0,0
RED,2,NOUN,1.0,NOUN
plate,2,NOUN,1.0,NOUN
Manager,2,NOUN,0.0,0
cheeseburger,2,NOUN,2.0,NOUN
doubt,2,NOUN,0.0,0
fee,2,NOUN,2.0,NOUN
path,2,NOUN,0.0,0
fork,1,NOUN,0.0,0
voila,1,NOUN,0.0,0
baskets,1,NOUN,0.0,0
changes,1,NOUN,0.0,0
ways,1,NOUN,0.0,0
note,1,NOUN,0.0,0
places,1,NOUN,2.0,NOUN
artery,1,NOUN,0.0,0
discovery,1,NOUN,0.0,0
cheddar,1,NOUN,0.0,0
kingdom,1,NOUN,0.0,0
juice,1,NOUN,0.0,0
