entity,best,da,worst,da2
the,191,GPE,0.0,0
Cheesecake,106,ORG,24.0,PERSON
The,68,PERSON,8.0,GPE
CF,35,ORG,6.0,PERSON
Chicken,22,ORG,4.0,PERSON
Waikiki,20,ORG,2.0,ORG
San,16,PERSON,0.0,0
Best,14,GPE,0.0,0
Brandon,13,PERSON,0.0,0
 ,13,PERSON,0.0,0
Oreo,12,PERSON,0.0,0
Diane,12,ORG,0.0,0
Macy,11,PERSON,0.0,0
This,10,ORG,0.0,0
Santa,9,PERSON,0.0,0
Maria,9,PERSON,0.0,0
Chris,9,ORG,0.0,0
Kapolei,9,GPE,3.0,GPE
Kelly,9,PERSON,0.0,0
Carmel,9,PERSON,0.0,0
Fried,8,PERSON,0.0,0
Yelp,8,PERSON,3.0,ORG
Jackie,7,PERSON,0.0,0
Cajun,7,ORG,0.0,0
Louisiana,7,GPE,0.0,0
Rice,7,ORG,0.0,0
Stephanie,7,PERSON,0.0,0
Cobb,7,PERSON,0.0,0
California,6,ORG,2.0,GPE
Godiva,6,GPE,0.0,0
Willy,6,PERSON,0.0,0
Madeira,6,PERSON,0.0,0
Bacon,6,PERSON,0.0,0
America,6,ORG,0.0,0
Reese,6,PERSON,0.0,0
Ka,6,ORG,0.0,0
Buffalo,5,ORG,0.0,0
Caesar,5,PERSON,0.0,0
Shannon,5,PERSON,0.0,0
Food,5,PERSON,0.0,0
Fresh,5,PERSON,0.0,0
John,5,PERSON,0.0,0
Michelle,5,PERSON,0.0,0
Ok,5,GPE,0.0,0
Tip,5,GPE,1.0,PERSON
Lemon,5,PERSON,0.0,0
Crazy,4,ORG,0.0,0
Steak,4,PERSON,0.0,0
Strawberry,4,PERSON,0.0,0
Miso,4,PERSON,0.0,0
Anissa,4,PERSON,0.0,0
White,4,ORG,0.0,0
Medi,4,PERSON,0.0,0
Tiramisu,4,GPE,0.0,0
Town,4,PERSON,0.0,0
Las,4,GPE,0.0,0
Jeffrey,4,PERSON,0.0,0
New,4,GPE,0.0,0
Carlos,4,ORG,0.0,0
Romano,4,GPE,0.0,0
Shane,4,GPE,0.0,0
FOOD,4,ORG,0.0,0
Server,4,ORG,0.0,0
