,Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management,roll25,roll100,roll250,Final_Rating,Final_Work Life Balance,Final_Culture Values,Final_Career Opportunities,Final_Comp Benefits,Final_Senior Management
502,"""Great opportunity""",4.0,4.0,4.0,5.0,4.0,3.0,2012-06-22,Current,Line Cook,South Daytona,Yes,Yes,Yes,Full-time,More than a year,Great pay good culinary skills very rewarding,Management. Between front and back of house needs communication,Communicate,,,,3.0,3.192435135979994,2.8887350534927627,3.0134920634920634,2.8322632423756025,2.4162698412698407
499,"""Great place to work!""",5.0,5.0,5.0,5.0,5.0,5.0,2012-07-09,Current,Server,Phoenix,Yes,Yes,Yes,Full-time,More than a year,"Very professional. Great Management team. Hot schedules online scheduling makes scheduling , swapping shifts, changing, and requesting off very easy. We are always busy!","Can get crazy with very large parties, especially walk ins when we are already slammed! Big parties of kids with pizza and baloons everywhere!hehe gets crazy!",Management rocks here!,,,,3.0142857142857142,3.2638637074085657,2.903020767778477,2.8992063492063496,2.8465489566613167,2.5591269841269844
501,"""Not the worst job, but the restaurant management definitely needs some work!""",2.0,3.0,1.0,1.0,1.0,1.0,2012-07-10,Past,Server,Norman,Yes,Neutral,Neutral,Part-time,More than a year,"Good money, company does well, as a server you are always busy, easy to switch to different restaurant locations","a lot of bureaucratic measures, incompetent restaurant management, stand-by or on-call shifts",Consult the servers or people who actually work with the food before running promotions or adding new menu items,,,,2.6571428571428575,3.011972491403564,2.4537759597230964,2.4419047619047625,2.384430176565008,2.09755291005291
500,"""Poor managment""",2.0,4.0,3.0,2.0,1.0,1.0,2012-07-17,Past,Server,Chino Hills,No,Neutral,Neutral,Part-time,More than a year,easy money but doesn't pay the bills,awful management; They need to improve,Learn some people skills with your employees,,,,2.685714285714286,3.111972491403564,2.6823473882945246,2.5704761904761906,2.4415730337078654,2.1261243386243387
498,"""Experience is a just reward""",4.0,5.0,5.0,5.0,5.0,4.0,2012-07-31,Current,Trainer,Waco,Yes,Yes,Yes,Full-time,More than a year,"Tips, food, the wonderful people you meet. The atmosphere. The people u make your regulars will make your time at Bjs a great one.",Menu knowledge. Kitchen cook speed.,,,,,2.8857142857142857,3.2405439199749924,2.8823473882945243,2.870476190476191,2.8701444622792938,2.4546957671957674
497,"""Decent restaurant to work at""",4.0,3.0,3.0,3.0,2.0,2.0,2012-08-13,Past,Cocktail Server,Irvine,Yes,Neutral,Neutral,Part-time,More than 3 years,"You work at a microbrewery, helps increase sales compared to other restaurants.","Becoming increasingly more corporate. This means less tables and freedom to develop your own style. You have to say and do everything that is flowed down from corporate, and they make you wear white now. Stupid.",,,,,2.8857142857142857,2.9834010628321357,2.6823473882945246,2.6133333333333333,2.4558587479935796,2.19755291005291
495,"""It was good restaurant experience, but it was a high stress environment.""",4.0,3.183807439824945,3.276431718061674,2.9944444444444445,2.8258426966292136,2.8449074074074074,2012-09-14,Past,Server,Sacramento,Yes,Yes,Yes,Part-time,Less than a year,-Good tips. -You get to work with a lot of different people,"-Bad manager. -Stressful environment, fast paced, understaffed at times",Be positive and encouraging.,,,,2.8857142857142857,3.00178180681463,2.7099905601006924,2.612777777777778,2.5384430176565007,2.282043650793651
494,"""Upper management dont have your back""",2.0,1.0,1.0,2.0,3.0,1.0,2012-10-01,Past,Bar Manager,Sugar Land,Yes,Yes,Neutral,Full-time,More than 3 years,It was a very fun place to work mainly during football season do to all the tv are inside. over 10 different games playing at one time.,"If you were not liked by your GM you will not get any training or advanvancement. You will get all of the worst shifts to work and you would always be short staff and out of glasses, silverware on weekends when you are very busy. We would always run out of product on the night shift, and the GM and EKM who make all of the orders would be at home while you are dealing with upset customers because we dont have what they order. When you would called them at home they would not answer their phones. The GM at the sugarland location was more concerned with selling real estate. When you would bring it to the area mgr attention he would get upset with you and ask what are you doing to change the out of product situation.",Please listen to the management team when they bring concerns to you all attention!,,,,2.6571428571428575,2.7210065645514225,2.4744493392070486,2.484920634920636,2.5036918138041733,2.101984126984127
496,"""Never have I worked for such a unorganized, unprofessional company and their management.""",1.0,1.0,2.0,1.0,1.0,1.0,2012-10-19,Current,Server,Mesquite,No,No,Neutral,Full-time,Less than a year,"Originally, when I started I loved all of the staff and I genuinely felt like we were a family. It was so awesome to go to work and just have a good time, not your typical ""dramatic restaurant"" atmosphere.. Our sales were high, as well as tips!","Randomly one day I came in for a shift and I was told out GM was gone and our new one will be here in a month. No one knew that this was his first store he had managed. A month later we had all new management, excluding out AGM who has been there for a very long time.. Along with this came the most stressful, unhappy, work environment I have ever been in, and the reason I believe that it is all so frustrating is that it could completely be avoided,","I honestly can say I have never been more disappointed with any management. There is not one employee that knows 100% what is expected of them because, the rules change and are applied only to certain people at certain times. I also don't think I have ever felt as disrespected by a manager as I have working here.",,,,2.6142857142857143,2.77814942169428,2.660163624921334,2.4420634920634923,2.3322632423756025,2.187698412698413
506,"""Great place to work and eat""",4.0,3.0,4.0,2.9944444444444445,2.8258426966292136,2.8449074074074074,2012-10-24,Past,Server,np.nan,No,Neutral,Neutral,Full-time,More than 5 years,"Great food and atmosphere. Its a busy place so time flys by. Depending on location, tips can be really good.",Such a busy place it's hard to connect with each table or to be present on the floor.,"Focus on the things tha impact the customer experience. Managers should be walking he floor, but are often times distracted or concerned with back of the house activities.",,,,3.0,3.0352922788371366,2.9458779106356197,2.7557936507936516,2.629133226324238,2.457903439153439
507,"""Interpersonal Skills Need Improvement""",2.0,1.0,2.0,3.0,3.0,1.0,2012-10-27,Current,Anonymous Employee,np.nan,Neutral,Neutral,Neutral,Part-time,,Great opportunities to expand beyond the company and meet people that know the ends and outs of the business.,Work environment changes throughout the day(i.e. during lunch it may be slow and then suddenly pick up out of nowhere)...clash of communication at times and things get pretty hectic.,,,,,2.771428571428572,2.835292278837137,2.717306482064191,2.813650793650794,2.6800963081861964,2.2492724867724867
492,"""The best restaurant I've worked for""",4.0,5.0,4.0,2.0,2.0,3.0,2012-10-29,Past,Front of House Server Trainer,San Antonio,No,No,Neutral,Full-time,More than 3 years,This corporate restaurant is committed to quality. The atmosphere and clientele make it easy to support yourself while pursuing other dreams such as education.,There are certain rules you have to adhere to such as specific language at the tables and certain uniform standards. The upper management is more focused on the numbers than the people.,Don't forget your business depends on its employees to help you meet your numbers and make your bonuses. A little positive reinforcement goes a long way.,,,,2.9714285714285715,3.321006564551422,2.9173064820641907,2.685079365079366,2.580096308186196,2.4778439153439153
493,"""Working here does not pay your bills!""",1.0,3.183807439824945,3.276431718061674,2.9944444444444445,2.8258426966292136,2.8449074074074074,2012-11-08,Past,Server,Orlando,No,No,Yes,Part-time,Less than a year,"The only unique thing about this is restaurant is that they brew their own beers, ciders, and root beer. As far as food, they do make great pizza.","The kitchen is very small and not organized! There are so many items on the menu that the kitchen gets weeded on a daily basis. Ticket times are very long and mistakes are abundant. The manager cuts the floor so quickly that most of the time you go to work, you are cut after 2 tables.","Try practicing fairness on a daily basis. Instead of scheduling the same employees for the closing stations or the bar tops, rotate sections to all employees. Also, don't cut the floor as soon as others walk in the front door, since it does not even pay for the gas to get to work. Add a tip out system so it is calculated on your cash out and not handed out to each bus boy, bartender, and food runner. This creates favorites and ones drinks or food is not priority unless you ""pay' extra money to each support staff!",,,,2.6714285714285717,3.08224445139106,2.873521082441787,2.8416666666666672,2.7198234349919748,2.4909060846560847
