,Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management,roll25,roll100,roll250,Final_Rating,Final_Work Life Balance,Final_Culture Values,Final_Career Opportunities,Final_Comp Benefits,Final_Senior Management
528,"""MY PLEASURE""",4.0,3.174518201284797,3.3086021505376344,3.0301724137931036,2.807439824945295,2.8903803131991053,2012-06-15,Current,Anonymous Employee,np.nan,Neutral,Neutral,Neutral,Part-time,More than a year,Flexible scheduling and convenient location,"Daytona Beach itself is seasonal, but location is busier that most restaurants in the area",,,,,3.048275862068966,3.2380750203056934,2.911357063403783,2.789937574316291,2.5990115445559496,2.5911594538301315
522,"""Great opportunity""",4.0,4.0,4.0,5.0,4.0,3.0,2012-06-22,Current,Line Cook,South Daytona,Yes,Yes,Yes,Full-time,More than a year,Great pay good culinary skills very rewarding,Management. Between front and back of house needs communication,Communicate,,,,3.020689655172414,3.315808904969357,2.9443974786800147,2.958501783590964,2.723579566890515,2.577559206973694
519,"""Great place to work!""",5.0,5.0,5.0,5.0,5.0,5.0,2012-07-09,Current,Server,Phoenix,Yes,Yes,Yes,Full-time,More than a year,"Very professional. Great Management team. Hot schedules online scheduling makes scheduling , swapping shifts, changing, and requesting off very easy. We are always busy!","Can get crazy with very large parties, especially walk ins when we are already slammed! Big parties of kids with pizza and baloons everywhere!hehe gets crazy!",Management rocks here!,,,,3.093103448275862,3.388222698072805,2.9616388579903603,2.8757431629013084,2.8235795668905155,2.7223867931805907
521,"""Not the worst job, but the restaurant management definitely needs some work!""",2.0,3.0,1.0,1.0,1.0,1.0,2012-07-10,Past,Server,Norman,Yes,Neutral,Neutral,Part-time,More than a year,"Good money, company does well, as a server you are always busy, easy to switch to different restaurant locations","a lot of bureaucratic measures, incompetent restaurant management, stand-by or on-call shifts",Consult the servers or people who actually work with the food before running promotions or adding new menu items,,,,2.710344827586207,3.1882226980728054,2.506466444197257,2.3929845422116536,2.34082094620086,2.2396281724909355
520,"""Poor managment""",2.0,4.0,3.0,2.0,1.0,1.0,2012-07-17,Past,Server,Chino Hills,No,Neutral,Neutral,Part-time,More than a year,easy money but doesn't pay the bills,awful management; They need to improve,Learn some people skills with your employees,,,,2.7655172413793103,3.2882226980728055,2.8168112717834637,2.5481569560047572,2.34082094620086,2.2672143793874877
518,"""Experience is a just reward""",4.0,5.0,5.0,5.0,5.0,4.0,2012-07-31,Current,Trainer,Waco,Yes,Yes,Yes,Full-time,More than a year,"Tips, food, the wonderful people you meet. The atmosphere. The people u make your regulars will make your time at Bjs a great one.",Menu knowledge. Kitchen cook speed.,,,,,3.020689655172414,3.360636491176254,3.016811271783464,2.8757431629013084,2.7684071530974115,2.594800586284039
517,"""Decent restaurant to work at""",4.0,3.0,3.0,3.0,2.0,2.0,2012-08-13,Past,Cocktail Server,Irvine,Yes,Neutral,Neutral,Part-time,More than 3 years,"You work at a microbrewery, helps increase sales compared to other restaurants.","Becoming increasingly more corporate. This means less tables and freedom to develop your own style. You have to say and do everything that is flowed down from corporate, and they make you wear white now. Stupid.",,,,,2.993103448275862,3.050291663590046,2.76163885799036,2.5929845422116538,2.358062325511204,2.3672143793874874
515,"""Server""",4.0,4.0,4.0,4.0,3.0,4.0,2012-08-28,Current,Server,Chandler,Yes,Yes,Yes,Full-time,More than a year,"Great staff, Great management, fun atmosphere, easy job, room to move around company, management cares about their employees","Some minor issues with management, does not always ensure enough hours, some coworker drama, uniforms are awful",,,,,2.993103448275862,3.1502916635900466,2.889225064886912,2.7205707491082047,2.513234739304308,2.6223867931805906
516,"""A Bad Experience""",2.0,3.0,3.0,3.0,3.0,1.0,2012-09-12,Current,Hostess,Modesto,No,No,Neutral,Part-time,More than a year,"I loved most of my coworkers. The customers were good for the most part as well. Hotschedules makes it very easy to manage your work schedule. The uniform is great. Hostesss are able to wear black dress pants, any kind of black shirt (or white during lunch), jewelry, and hair accessories. We also get free meals and drinks.","The management at this particular restaurant was poor. In order to save money, they make hostesses work like slaves. We are constantly running around the restaurant making sure everything is taken care of, yet the managers still find something to complain about. Recently we were yelled at for losing three parties one day. The guests thought that the wait was too long and decided to eat somewhere else, so of course the managers blamed us. Also, expect to be doing work well beyond what hostesses at most restaurants do. They refuse to keep enough staff working to make the restaurant run smoothly, so in order to pick up the slack we are made to clean the bathrooms, clear off tables, and wash silverware on top of seating people. On busy days it is impossible to complete everything while trying to keep up with the large amount of guests that need to be seated. So expect to be scolded for not being able to keep up with their ridiculous demands.. . Some of my coworkers also made working here very unpleasant. Two of the girls up front are constantly rude to guests; I was always apologizing to angry customers because of them. These two are also very unorganized. Don't be surprised if they tell you to take a party to a certain table and then get mad at you for taking them there when you get back. It happened to me and other hostesses several times.. . In addition, don't expect to get any hours your first few months of working. There were some weeks that I wasn't scheduled to work at all, yet the girls with seniority would work six days every week. Hostesses are also the only ones who don't get tipped; a five hour shift of working like a slave amounts to $40 before taxes are taken out. If you still decided that this is a place you want to work, expect to wait over an hour for an interview to then have a manager tell you to come back another day. This has also happened numerous time to applicants.",Please learn to be realistic about your expectations and treat your employees with respect.,,,,2.793103448275862,3.0227054566934948,2.8168112717834637,2.6481569560047573,2.5684071530974117,2.3223867931805913
514,"""Good Serving Job""",3.0,3.0,2.0,2.0,1.0,3.0,2012-09-16,Past,Server,Temecula,Yes,Yes,Neutral,Full-time,More than 5 years,Nights were always busy.Work hard then you usually made money.,Managent needs some work. Felt like we were always short a manager.,Follow through with what your promise. For example promotions and company appreciation party.,,,,2.9206896551724144,3.0227054566934948,2.716811271783464,2.603329369797861,2.3959933599939633,2.5499730000771423
