Day,Hours Opened,Business Info,Detail,Also-Considered,Link,Also-Viewed,Link
Mon,11:00 am - 12:00 am,Takes Reservations,Yes,Marri’s Pizza & Italian Restaurants,https://nz.yelp.com/adredir?ad_business_id=qT2saeKhVvgZKGMne8F7LA&campaign_id=9LmhCIR6CSMSDELuqiHGzw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fnz.yelp.com%2Fbiz%2Fmarris-pizza-and-italian-restaurants-anaheim&request_id=e0c7dfa96282af55&signature=ed94d9eca73d21aeba367cb3dec35cd70807938a164ad746d19b585669e6fd84&slot=0,Lazy Dog Restaurant & Bar,https://nz.yelp.com/biz/lazy-dog-restaurant-and-bar-westminster?page_src=related_bizes
Tue,11:00 am - 12:00 am,Delivery,Yes,Valentino’s Pizza,https://nz.yelp.com/adredir?ad_business_id=YQWvtc9ubeM93V2ZzN67ng&campaign_id=s_b011VolhDU6n7q7pstgw&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fnz.yelp.com%2Fbiz%2Fvalentinos-pizza-orange&request_id=e0c7dfa96282af55&signature=c43c9a3626ae6d68d589ee5087112edf5550e5bf0f3aa2c35093b47115706918&slot=1,The Cheesecake Factory,https://nz.yelp.com/biz/the-cheesecake-factory-huntington-beach?page_src=related_bizes
Wed,11:00 am - 12:00 am,Take Away,Yes,,,Eureka!,https://nz.yelp.com/biz/eureka-huntington-beach?page_src=related_bizes
Thu,11:00 am - 12:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 1:00 am,Accepts Apple Pay,No,,,,
Sat,10:00 am - 1:00 am,Accepts Android Pay,No,,,,
Sun,10:00 am - 12:00 am,Good For,"Lunch, Dinner, Dessert",,,,
,,Parking,On-Site,,,,
,,Bike Parking,Yes,,,,
,,Good for Children,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,Yes,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Caters,Yes,,,,
