,Username,location,friend_count,review_count,photo_count,rating,date,review,Url
0,Gianna O.,"Sugar Land, TX",57,465,642,4,1/05/18,"We have been here a few times now and each time the service has been very friendly and the food consistently good. It looks clean and the wait, with the exception of weekend nights, has never been very long.  The menu is pretty big and covers most food categories. On our latest visit, we began with fried cheese curds and spinach stuffed mushrooms. Both were quite good. I especially liked that the mushrooms contained artichokes as well as spinach. The cheese curds were soft and squeaky and very tasty. The drink I ordered was the Blood Orange Pom Sangria. The orange slice served on it was not a blood orange but it was still very good. The neat thing about this drink was it contained Fireball Cinnamon Whiskey which I had never had before. It was sweet with a bit of cinnamony heat and cooling citrus. I recommend this as a drink to try.  I ordered the Parmesan Crusted Chicken. It's light but flavorful and is served with cheesy mashed potatoes, broccoli and a Chardonnay lemon butter sauce. Also ordered was the Spicy Pig Tavern Cut Pizza. It's like a thin flatbread and very crisp. This one has ham, applewood smoked bacon, pineapple and jalapeÌ±o. The other dish ordered was the Southern Comfort chicken sandwich which has crisp fried chicken breast, applewood smoked bacon, sliced ham, alfredo sauce and a Dijon mayonnaise.  My extreme sweet tooth kind of demands dessert so I got the chocolate chunk cookie Pizookie, a sizable chocolate chunk cookie served in a round pan like a deep dish pizza and topped with vanilla bean ice cream. Very enjoyable! The meal was good and we never felt rushed. We left quite full and satisfied.  If you don't want much of a wait make sure to get there from 5-5:30 PM or at least before 6PM on weekends.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
1,Victoria M.,"Houston, TX",887,556,4025,3,12/12/17,"Setup: family dinner The better: large portions, lots of options, good chain restaurant food, family friendly The lesser: as with many chain restaurants, the food is really heavy. Boxing half is like standard procedure.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
2,Kristen U.,"Los Fresnos, TX",284,33,1,4,11/24/2017,"Was very satisfied with the food and the customer service was amazing. I ordered the California chicken club with sweet potato fries and a bowl of tomato bisque soup. My fiancÌ© ordered a BBQ burger with fries. Both were extremely delicious. We also ordered a Cookies & Cream Pazookie, and it was HEAVENLY.  We left our server a large tip because he was excellent. The staff at the front were excellent as well.  Highly recommend this facility for all! It was a tad bit pricey, which is why I did 4 stars instead of 5.  Overall-- a wonderful experience.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
3,Diana A.,"Houston, TX",71,328,346,3,11/11/17,Better experience today than previously. Ordered tomatoes with mozzarella & clam chowder soup. Both were good. It was not packed when we arrived at 11:30 am. There is plenty of parking near the front and also some spots get shade. Two person booths are comfortable. You can bring a light sweater if you get cold easily.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
4,Ema E.,"Houston, TX",177,82,4,4,10/28/2017,Best turkey burgers I have ever tasted.  Pizookies are SINFUL. åÊOMG. Best salad bar ever.  Great pizzas!!!! Large portions.  Pasta dishes are incredibly tasty.  Chicken tenders and fries are yummy too.,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
5,Steph C.,"Sugar Land, TX",264,227,970,5,9/29/2017,"BJ's is one of my favs! Great food and great service. I love getting the Mediterranean Chicken Pita Tacos, the roasted portobello & asparagus salad, the chicken tortilla soup, clam chowder in a bread bowl, fried Calamari, stuffed mushrooms, and so much more! They have lots of delicious food on the menu. You will not be disappointed.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
6,Nathan W.,"Austin, TX",325,64,143,4,6/25/2017,"If you've never had the pazookie, you haven't lived  Food: 3.5/5 There's a wide selection here. 75% of the time I go for the pizzas because they're great for sharing at a good price point. My dad always gets a chicken salad. Their chips and dip are a little disappointing, mainly because the chips are sometimes stale. But the deep dish pizzas are pretty solid. Crunch crust with a chewy, bready middle with plenty of toppings and Parmesan/chili flakes on the side. Can't go wrong with that.  If I was just eating their pazookies, it'd be 5/5. Those things are fresh and melt in your mouth. Chocolate chunk is your classic, but I really really love their monkey bread as well. It's AMAZING!!! Service: 4/5 Today we had a really awesome waiter, who I'm sorry I can't for the life of me remember his name. He was an older gentleman who calls himself the biggest clown in the restaurant, but he cracked jokes, made us feel welcome, and we loved him. Had a great experience! I don't think I've ever been disappointed with service. They're timely and attentive. Atmosphere: 4/5 It's clean, it feels a little classier than your typical dining experience with your darker ambience and wood furniture. There's a bar with sports on the tvs scattered around. A little something for everyone. Bathrooms: 3.5/5 Gendered communal bathrooms. Not dirty! Pretty standard, and they match the aesthetic of the restaurant. Price: 3/5 It depends what you get. I'll admit, a lot of their main dishes cost upwards of $12, which is a bit much for me. But like I said before, I always get the pizzas for sharing so I end up paying around $8-10 per meal. What's great is they always have a lot of deals going around (check their social media). Today we used a BOGO entree coupon from their Facebook as well as the Father's Day VIP card that gives 20% off every visit from when you pick it up on Father's Day to July 9. Pretty amazing if you ask me. I've been coming here more and more in the recent years, just because of their amazing deals. Makes it all worth it.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
7,Ray S.,"Houston, TX",294,298,2021,4,4/26/2017,"Walked in and the people here were very friendly. The place for lunch was not packed as expected it to be. I walked in and was seated. As I waited for my mother to arrive I ran into old friend so this visit is starting off good.  My mom and ordered the Tortillia soup; which was ok.. it needed more flavor/seasoning and it needed to be hot. I was disappointed. For lunch my mother ordered the Grilled Cheeses and I the Santa Fe Salad.  My mom's grilled cheeses was gooood and cheesy. The bread was toasted just right. All over!!! I know my mom ordered it but she's my mom so she gave me a bite. I wanted to take two but it was not my food.  My Asante Fe salad looked like a national treasure but I had to take it down. The blackened chicken was moist and plenteous in my salad. The avocado was cut in nice size chunks. The salad hosted plenty of all its ingredients. However, maybe too much corn. My mom was satisfied so I'm happy. Now my mom is a Yelper. She just befriended me.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
8,Allen T.,"Sugar Land, TX",2071,293,2546,2,1/02/17,Saw a BOGO coupon for this place and decided to visit it after many years! åÊNow I know why I haven't been back. I guess a lot of people must have had the same coupon as there was a bit of a wait. By the time we were seated we were placed right in front of the kitchen doors. Not the best view but whatever. åÊWhat I found kind of annoying was how long it took before anyone came up to wait on us. Hmmmm not starting off well. I ordered my favorite drink an Arnold Palmer but once served found the drink way too tart! åÊYuck! åÊFinally ordered! åÊBummer was it took forever before the food arrived. Assessment? åÊFood was meh..certainly not worth what we paid. Glad I had a coupon. åÊEven with that it was meh at best.  Better choices in mom and pop joints. Food much better and so is the service. Guess it will be another 10 years before we go back. åÊProbably with another coupon! åÊLol!,https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
9,Walter A.,"Houston, TX",0,3,,1,9/09/17,"Stupidity to the fullest, got there at 11 pm and walked out at 12:05 without food. The sever ordered the food (supposedly) and came back after 50 minutes asking my friend and I what we ordered again because the order didn't go åÊthrough, after that the manager talked to us and said that the food will be ready in 10 minutes max , and guess what they food was not still ready. We decided to walk out and we waited for more than an hour for them and they still didn't make right. This is not the way you treat people, customers service will keep your business rolling. I was very embarrassed because I took my friend there. Now I won't recommend anyone and i won't go back to that place.  PEOPLE DON'T WASTE YOUR TIME THERE.",https://www.yelp.com/biz/bjs-restaurant-and-brewhouse-sugar-land
