Title,Rating,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Great environment and friendly people""",4.0," Dec 13, 2017",Past,Team Member,"Duluth, GA",Yes,Neutral,Yes,Part-time,More than a year,"Teamwork was always the most valued, pay, health benefits, college benefits, flexibility.","Rush hours, training, organization, slow promotion.",
"""Good fast food""",4.0," Dec 12, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Great hours sometimes , even better experience and great manager",Sometime it’s hard to keep up with,Don’t talk to any miners
"""Great place to work!""",4.0," Dec 11, 2017",Past,Grill Cook,"Bel Air, MD",Yes,Neutral,Yes,Full-time,Less than a year,"Room for growth, flexible scheduling","High turnaround rate, lazy coworkers",Remain dedicated to the vision of the company and your store.
"""Chipotle""",4.0," Dec 11, 2017",Current,Cashier and Crew Member,"Overland Park, KS",Yes,Neutral,Neutral,Part-time,More than 3 years,Great co-workers and friendly managers.,"Bigger bosses are tough, customers can be very rude and hard to deal with.",
"""Good""",4.0," Dec 10, 2017",Past,Service Manager,"Voorhees, NJ",No,Neutral,Neutral,Full-time,More than a year,"Free food, free food, free food.",Schedules were never made on time,Treat your employees with respect
"""Good Company with Benefits""",4.0," Dec 11, 2017",Past,Crew Member,"Clemson, SC",No,No,Neutral,Part-time,More than 3 years,Benefits<br>Tuition Reimbursement<br>Good pay for food service,Hard Work depending on location and position<br>Never ending rule changes - hard to keep up<br>Pyramid Scheme<br>Company won't last much longer<br>Values and culture changed from people-oriented to business-oriented - made employees feel less important,Stop changing the rules every month
"""Manager""",5.0," Dec 10, 2017",Past,"Manager, Kitchen",,Yes,Yes,Yes,Full-time,More than 3 years,Sick time and vacation time,didn’t have much days off,
"""Work experience""",4.0," Dec 9, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Fast paced, dynamic, encouraging atmosphere","Sometimes frantic/stressful, physically tasking, can be difficult to coordinate proper teamwork amongst the crew",
"""Crew Member""",4.0," Dec 10, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,3 free meals per shift,always have to do fast paced work,expect less
"""cashier""",5.0," Dec 7, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,great staff and nice customers,terrible management and super uptight about tardiness,
"""Don't Let the Public Fool You""",4.0," Dec 8, 2017",Past,Service Manager,"Allentown, PA",Yes,Yes,Neutral,Full-time,More than 3 years,- Free good<br>- Tuition Reimbursement<br>- Advancement Opportunities<br>- Great Team<br>- Cares about Employees,- Corporate tends to do things that don't make sense and force it on their employees<br>- Field leadership can be lacking depending on area<br>- Store leadership follows the same principle as above<br>- Expectations can be unrealistic at times,"You are the president, and your employees are your constituents. No, you should not cater to them in every possible way, but you should listen to them and adjust accordingly, because you are not perfect, and sometimes employees give you a perspective you never had."
"""Service Manager""",4.0," Dec 5, 2017",Current,Service Manager,"Mokena, IL",Yes,Yes,Yes,Full-time,More than a year,Great pay and culture,Bad work and social life,None
"""Great experience""",5.0," Dec 4, 2017",Past,Burrito Maker,"Chicago, IL",Yes,Yes,Neutral,Full-time,More than a year,I loved getting to eat burritos I had made myself!,"I don't eat meat, so I would love more tofu.",
"""Stay Focused""",4.0," Dec 4, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Chipotle offers flexibility in some roles, especially those in support functions. The pay and benefits aren't awful, but in some cases aren't comparable to competitors.",After the incidents of 2014 it seems as though no one at Chipotle can stay focused and knows what they are doing. The poor leadership was exposed and the company cant act swift enough.,Pick one thing and stick with it - constant change is hard when you have 2000+ units.
"""Great place to work""",4.0," Dec 4, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Full-time,,Great support from management<br>Flexible scheduling,Long hours<br>Hard work and life balance,
"""Crew Member""",4.0," Dec 5, 2017",Past,Crew Member,"Spotsylvania, VA",Yes,Neutral,Neutral,Full-time,More than a year,They were extremely attentive and made sure customer satisfaction was first,Scheduling was hectic at times,
"""Great Management""",4.0," Dec 5, 2017",Past,Anonymous Employee,,Yes,No,Neutral,Part-time,,Worked with school schedule,"strict policies, sometimes seen as overwhelming",
"""Great company to work for, however many issues that need to be solved""",4.0," Dec 3, 2017",Current,General Manager,,Yes,Yes,Yes,Full-time,More than 5 years,Free Food<br>Advancement<br>Encouragement of the company to be the best that you can be,12-15 hour shifts<br>Poor leadership<br>Sales Plans not getting met due to lack of customer trust,Work together using the training guides and make sure you have the proper leader/mentors behind you to succeed.
"""Service Manager""",4.0," Dec 4, 2017",Current,Anonymous Employee,"New Orleans, LA",Yes,Neutral,Yes,Full-time,More than 3 years,"Great company, works with your schedule, and wants to see you move up in the company.",you don't get a lot of hours,
"""great""",5.0," Dec 2, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,good leadership at top and at franchise,"poor pay, scheduling is inflexible",
"""Decent Job""",4.0," Dec 3, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Fun and friendly with staff and managers,Busyness and rude customers. Learning exact cut sizes,
"""Awesome Company""",5.0," Dec 1, 2017",Current,Cashier and Crew Member,"Reno, NV",Yes,Neutral,Neutral,Part-time,,This company has wonderful co-workers and an amazing atmosphere to work in.,There are no cons to report,
"""Restaurant Crew""",5.0," Nov 30, 2017",Current,Crew Member,"New York, NY",No,No,Neutral,Part-time,,• the experience<br>• enthusiastic community,"Extremely busy for most of the day, everything is frantic",
"""Cooker""",4.0," Nov 29, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Great place to work<br><br>Good atmosphere<br><br>Great people,I don't have a bad perspective,
"""General Manager""",3.0," Dec 13, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Great Team<br>Good Employee Benefits Package,"Terrible District/Area Managers<br>Salaried overtime, with no days/extra hours cut for commitment<br>Long hours for the pay you get",
"""I love working there""",5.0," Nov 27, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Great work environment, food safety is a high expectation",Can't really think of any,Work better at training crew members to push them into a new position
"""Good""",4.0," Nov 27, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,More than a year,"Fun environment, quite an easy first job.",Extremely busy work environment. Lots of rushes and ransom activities,
"""chipotle review""",4.0," Nov 27, 2017",Current,Crew Member/Grill Cook,"Alexandria, VA",Yes,Neutral,Yes,Part-time,More than a year,great people and great benefits,Stressful if not good under pressure,
"""Chipotle""",5.0," Nov 27, 2017",Current,Cashier,"Sandusky, OH",No,Neutral,Neutral,Full-time,More than 3 years,"Free Food, Good Pay, And Benefits",I have nothing bad to say.,
"""chipotle review""",5.0," Nov 27, 2017",Past,Cashier,,Yes,Yes,Yes,Full-time,Less than a year,~while working one free meal<br>~ when dinning out 50% off,if your not use to moving at a fast pace you will not enjoy your job,
"""Not worth the benefits""",2.0," Dec 11, 2017",Past,Cashier,"New Carrollton, MD",No,Neutral,Neutral,,Less than a year,"Free meal, 50% employee discount, paid sick days, benefits","Shifts too long or too short, lack of proper training, lack of teamwork, too few employees with too many responsibilities, coworkers talk about each other poorly",Train your employees for the job they were hired for and make the environment less clique-y. Don't treat new hires like they're incapable of learning.
"""Great company, great people""",4.0," Nov 26, 2017",Past,Cashier,"Solon, OH",Yes,Neutral,Yes,Full-time,,"great place,good hours, great food","really none, I enjoyed working there and the people",yes I received a raise.
"""Not to bad""",4.0," Nov 26, 2017",Current,Crew Member,,Yes,Yes,Yes,Part-time,More than a year,the pay and other benefits,"the strict rules, not being able to hear customers over the glass",
"""Horrible place to work""",2.0," Dec 9, 2017",Current,Cashier and Crew Member,,No,Yes,Yes,Part-time,More than a year,"Great food, free employee meals, interesting people","Managers are very lazy. Managers play favoritism. Very biased work place, and very tiring , strenuous, and stressful. When it is busy there is no break it can be straight lines of customers for hours. You have no time to get yourself a drink, or to really relax and breathe. Customers are always impatient and rude. Other employees are also rude and will talk bad about you to make themselves look better, to the managers.","Give more breaks. Hire new management. Monitor what managers are doing, and help boost worker's morale."
"""Hope you like getting yelled at for no reason whatsoever.""",3.0," Dec 9, 2017",Current,Anonymous Employee,,No,Neutral,Yes,Part-time,,Free food if they let you go on break.,"If they let you go on break its super early into your shift and sometimes you work during your break hours. Also, if you don't make the right call backs at the right time you're going to get yelled at by a grill person with attitude issues. Closing takes forever and they expect everything to be done within a half an hour. They expect you to interact with customers and at the same time be done with their orders in 30 seconds which aggravates customers more than anything. Last but not least like any other business with incompetent management, they have inefficient business practices.","Fix the call back system! Figure out some way for me to communicate with the grill without shouting! Also, be nicer to your employees. We work really hard and make Chipotle a lot of money to have to deal with mean bosses and inappropriate grill people. Allow for more labor in the evening for peak hours."
"""Crew Member""",3.0," Dec 7, 2017",Current,Anonymous Employee,,No,No,Yes,Full-time,More than a year,Crew members care about each other,Have to memorize information like its homework,
"""General Manager""",3.0," Dec 8, 2017",Past,Restaurant General Manager,"Philadelphia, PA",Yes,Yes,Yes,Part-time,,Great promotion from within<br>Learn great knife skills<br>Free food,65+ hours a week<br>No more REAL perks like company car and Phone ect.<br>The Pipeline Thing is based off of person a preferences( R2 and up )<br>The Backdoor Firing and illegally Firing of Employees,Make sure the person you promote are acually putting in the hard work!
"""Crew Member""",4.0," Nov 22, 2017",Past,Cashier and Crew Member,"Santa Ana, CA",Neutral,Neutral,Yes,Part-time,,Great company vision and values.<br>Cool co-workers (for the most part).<br>Free meals on lunch breaks.<br>Employee discount when off the clock.<br>Family like environment.,"None, everyone was a team player",
"""Crew Member""",3.0," Dec 6, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"Fast paced, allowed to work a lot of hours, free meal every shift, decent pay","Terrible scheduling, little punishment for employees that don't show which is stressful for those that do",Be strict. Don't keep bad people on
"""Fun Company - Long Days""",4.0," Nov 20, 2017",Past,Grill Cook,"Merced, CA",Yes,Yes,Yes,Full-time,Less than a year,"- Fun staff<br>- Hone your work ethic<br>- Good values, mission, vision etc<br>- Gave templates for using processes and how to run a business efficiently<br>- Free lunches",- Grunt labor postion<br>- Promotions don't necessarily result in equitable compensation,Take care of your employees and your turn over won't be as high
"""Service""",4.0," Nov 20, 2017",Past,Panda Express,"Prattville, AL",Yes,Yes,Yes,,More than a year,Great hours and pay and they teach you a lot about yourself.,Customer service among the employees were not as appealing.,
"""A time of change""",3.0," Dec 3, 2017",Current,General Manager,,Yes,No,Yes,Full-time,More than 5 years,You have the ability to run your own business and learn a lot of ins and outs.,"Long hours, work comes home with you a lot, cell phone is constantly buzzing on off days from field leader and crew members.",
"""Chitpole Tortilla 1""",3.0," Dec 3, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Free food on break. Decent pay,Very repetative work but easy,
"""Being a New Kitchen Crew Member""",3.0," Dec 4, 2017",Current,Anonymous Employee,,No,No,Neutral,Part-time,,Great Pay for Entry Level<br>Get to learn how to make new food<br>Understand portion sizes and adding the right amount of ingredients<br>Learning how a Kitchen functions and stays in sync,"Management has favorites and helps out those people no matter what, however if you are not close to the manager they act different towards you and outcasts you from the Chipotle ""Family"".<br>Training is absolutely terrible, you watch a video off of an iPad and then are just sent into the Kitchen, and the people that try to teach you are your fellow crew members, people who are learning themselves, the manager rarely helps you out if you are struggling.<br>Management hates it when you ask questions even if you are just trying not to mess up, they roll their eyes, act like they didn't hear you, or just straight walk away. Very unprofessional.","Get off your high horses, please just do your job and help out new employees, most aren't going to understand the first time, but that's just when you explain it better instead of hiding in your office the whole day."
"""Bad pay, bad tips, rude managers""",2.0," Dec 3, 2017",Current,Crew Member,"Woodinville, WA",Yes,Neutral,Neutral,Full-time,More than a year,"As much free food as we want, skills are not overly difficult, not awful for kids as a first job I guess","mean managers, no help with difficulties only making fun of people, extremely uneven pay rates (brand new crew making more than some managers, no raises even when new crew are hired at a significantly higher pay), obvious favoritism, extremely hard to move up and learn new tasks, AWFUL tips","just be nice, no reason to have a culture of insults"
"""Great experience""",4.0," Nov 18, 2017",Past,Anonymous Employee,,Yes,No,Neutral,Part-time,,"Good pay, met very nice customers and coworkers",There are not any cons,
"""hello""",4.0," Nov 19, 2017",Current,Anonymous Employee,,No,Neutral,Neutral,Full-time,,"great mission, better food, better environment, better farming",leadership at the officer level needs to go,strategy
"""...""",5.0," Nov 18, 2017",Past,,,Yes,Neutral,Neutral,Full-time,Less than a year,Wonderful company to work for!,I didn’t have any cons,N/A
"""Manager""",2.0," Dec 2, 2017",Past,Service Manager,"Kokomo, IN",No,Neutral,Neutral,Full-time,More than 5 years,"great pay decent benefits free food is the best of all, learning opportunities and good friends",they will stab you in the back and sell you out for their own promotions never trust your field leaders or gms no matter how close you think you are,jump into traffic
"""Crew Member""",4.0," Nov 17, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Free meal whenever working and 50% discount other times. Your location only.,Very busy and at times stressful environment,
"""all in all I think its a great place to work for""",4.0," Oct 17, 2017",Past,Anonymous Employee,,No,No,Yes,Part-time,,-work with great people<br>-free meal every day you work<br>-50% off discount when you come in on your day off<br>-they pay for 90% of college after you've worked there for a year<br>-paid sick days,-corporate changes the way things are done all the time<br>-Management picks and chooses who rules apply too,
"""Crew Member""",4.0," Nov 16, 2017",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,Flexible hours to accommodate school schedule,Discount only works at specific location you work at and not every chain.,
"""A lot of work.""",2.0," Nov 30, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Decent pay, since Seattle's minimum wage is $15.",So much work it's insane. Not worth how much effort you have to put into such ridiculous tasks.,
"""Team Member""",4.0," Nov 14, 2017",Past,Team Member,"Cedar Rapids, IA",No,No,Yes,Part-time,,"Clean, organized, friendly and plenty of opportunities to advance",Strict and a lot of pressure to perform correctly,"Be a bit more kinder when being strict, but overall a nice experience."
"""Great Company""",4.0," Nov 15, 2017",Past,General Manager,"Houston, TX",Yes,Yes,Yes,Full-time,More than 3 years,"It is a great company to work for . Started as a crew and moved up to GM. A lot of great people to work with , and benefits are great. Company really takes pride in making sure food and food safety are top priority.",Took away from the People Culture,Remind Managers to hire the perfect fit for your restaurant.
"""Good for High Schoolerss""",4.0," Nov 13, 2017",Past,Crew Member,"Cleveland, OH",Yes,Neutral,Neutral,Part-time,More than a year,"Good pay, free bowls when you work. Having a positive attitude makes a good day!","If you have a bad team, morale is low. Busy lines and tiring work if you aren't high energy.","Care. Simple as that. If you don't care, your crew won't."
"""Good time with employees, bad management""",4.0," Nov 14, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Very clean, good team members, great location (Westgate)","Bad management, Chipotle quality controls can get annoying",Hire better managers beneath the general manager. Those people spend the most time on crew and are more important.
"""Amazing job""",4.0," Nov 14, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,"Sick days, Vacation days, request time off is always approved, work with great people, A LOT of room to improve and grow within the company","Gender wage gap, if you get a bad GM it will be a terrible experience",Lead how the old chipotle used to be
"""General manager""",5.0," Nov 12, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,Pay is awesome !<br>Fun environment!<br>Chipotle cares about there employees,Promoting the wrong management<br>Wrong leaders in charge<br>A lot of stress if you are not set up for success,
"""Excellent work experiece""",5.0," Nov 12, 2017",Current,Cashier,"Ocean City, MD",Yes,Yes,Yes,Part-time,Less than a year,Everyone is so kind and just always on top of things. Nobody gives off bad vibes or attitudes. The customer service is excellent.,There aren't any cons to working here. They make it to where i can be flexible balancing school and work.,Keep up the great work. Only great things are expected from here.
"""Chipotle Life""",5.0," Nov 12, 2017",Current,Cashier,"Virginia Beach, VA",No,Neutral,Neutral,,More than 3 years,Free Food! Lots of hours! Your coworkers become your friends. The regulars are so friendly and they make working more fun.,Long shifts without a break.,
"""Started great ended terrible""",2.0," Nov 28, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"benefits, free food, other employees are generally great.",they change the rules like every day and then fire you if you dont catch on immediately,corporate give your employees a chance to keep up with the changes and actually train the new hires
"""Kitchen Manager""",4.0," Nov 12, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Good place good crew and customers,Can be stressfull and long shifts,Keep opening new stores for more opportunities
"""Overall decent experience""",4.0," Nov 9, 2017",Past,Anonymous Employee,,Yes,No,Neutral,Part-time,,a pro would be friendly staff,a con would be overworking staff,
"""Good place for a first job""",4.0," Nov 9, 2017",Past,Crew Member,"New York, NY",Yes,Yes,Yes,Part-time,More than 3 years,"Opportunity to advance, a lot of direct feedback from management. Good communication throughout about the current state of the business. Team culture.","Very fast paced. If you're well liked by management, you're often not held accountable.",Have consistent accountability standards across the board for the employees.
"""Burrito Builder""",5.0," Nov 9, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Full-time,Less than a year,Great people<br>Flexible schedule<br>Good food<br>Great steak<br>Exceptional pork,Leave work smelling like food,More free burritos for employees
"""Great work for college""",5.0," Nov 9, 2017",Current,Crew Member/Grill Cook,"Minneapolis, MN",Yes,Neutral,Yes,Part-time,More than a year,Flexible scheduling<br>Great atmosphere that really empowers you to do well,Fast paced environment so difficult environment for super slow workers,Take more time with each new hire to really implement good habits and a positive attitude
