Title,Interview Date,Employee Type,Offer,Experience,Interview Type,Application,Interview,Question
Food Server," Dec 4, 2017", Anonymous Interview Candidate,['Declined Offer'],['Neutral Experience'],['Easy Interview'],[],['Went in with application and resume. Meeting with manager. Asked a few questions and waited for callback. Questions were standard server questions. Got a call back but I declined because I got another job.'],"[' What would you do if you got sat a 6 top and a 3 top at the same time? \xa0 ', 'Answer Question']"
Host," Nov 7, 2017"," Anonymous Employee in  Short Hills, NJ",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took 2 weeks. I interviewed at Cheesecake Factory (Short Hills, NJ).']",['Super easy going and stress free interview. They just want to get a feel for who you are as a person. There was 2 interviews both of which were just sitting in the restaurant and talking to a manager.'],"[' Why I would be good for this position \xa0 ', 'Answer Question']"
Host/Hostess," Nov 5, 2017"," Anonymous Employee in  Birmingham, AL",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. The process took 1 day. I interviewed at Cheesecake Factory (Birmingham, AL).']","['Great , I really enjoyed the hiring process. Manager was nice. I call3d and let them know I gad put on my app. They were in a pinch so they set up my interview when I called']","[' Hours \xa0 ', '1 Answer']"
Server," Oct 26, 2017", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Average Interview'],['I applied online. The process took a week. I interviewed at Cheesecake Factory.'],['Apply online only. Originally was automatically rejected due to lack of serving experience. went in for an interview at a later time when they were hiring more people. It was a one on one interview with a manager.'],"[' How do you see this as an individual and team position? \xa0 ', 'Answer Question']"
Baker," Oct 3, 2017"," Anonymous Employee in  San Jose, CA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. The process took 1 day. I interviewed at Cheesecake Factory (San Jose, CA).']",['General questions about previous experience and questions about ability to work within a team and about schedule and flexibility. relatively average questions such as why should we hire you and why do you want to work for the cheesecake factory'],"[' Why should we hire you ? \xa0 ', 'Answer Question']"
Server/Waiter," Nov 1, 2017"," Anonymous Interview Candidate in  Fort Worth, TX",['No Offer'],['Neutral Experience'],['Average Interview'],"['I applied online. The process took 2 weeks. I interviewed at Cheesecake Factory (Fort Worth, TX) in October 2017.']","['The interview was fairly quick, much quicker than in expected. I arrived early and I had my interview and was out by my initial interview time. The manager was a very nice gentleman and still very professional.']","[' What do I expect from a manager? \xa0 ', '1 Answer']"
Hostess," Aug 27, 2017", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied online. I interviewed at Cheesecake Factory.'],['The interview took about 10 minutes. I highly suggest having a good resume and doing your best on the assessment. I basically had the job before I even walked in. The manager loved my positive attitude so try to be upbeat.'],"[' Tell me about yourself \xa0 ', 'Answer Question']"
Server/Waiter," Aug 1, 2017", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Average Interview'],['I applied online. I interviewed at Cheesecake Factory.'],"['Online. Personality test. In-store interview with two managers and then a general manager. Dress appropriately, lot of people are rejected simply based on inappropriate attire. Open availability on your schedule is a priority and at least one year of service experience.']","[' What are your strengths? Can you work weekends? How do you handle multitasking? What is your definition of teamwork? \xa0 ', 'Answer Question']"
Host," Sep 15, 2017"," Anonymous Interview Candidate in  Santa Clara, CA",['Declined Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. I interviewed at Cheesecake Factory (Santa Clara, CA) in August 2017.']",['Applied online and was called in for an interview a few days later. The interview was one on one and lasted only about 15 minutes. They wanted to interview me again the next week with the GM and asked similar questions as the first interview.'],"[' Why do you want to work at cheesecake factory? \xa0 ', 'Answer Question']"
Line Cook," Jul 29, 2017"," Anonymous Employee in  Albany, NY",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. I interviewed at Cheesecake Factory (Albany, NY).']","['3 interviews, phone, shift manager, kitchen manager... very basic interview, no difficult questions. they are basically looking for sheep, people that can carry out there orders and learn there menus to a T. the interview process is certainly basic']","[' What two words or phrases would you use to describe yourself? \xa0 ', '1 Answer']"
General Manager," Jul 28, 2017", Anonymous Interview Candidate,['No Offer'],['Neutral Experience'],['Easy Interview'],['I applied online. The process took 2 weeks. I interviewed at Cheesecake Factory.'],"['Interview process consisted of a phone interview then contacted for a ""shadow"" interview. I followed around GM and his staff for 4 hours. Got to meet some great people. Sat down and spoke with the GM, was asked routine questions, pretty straight forward interview. Was rejected from my scheduled final interview because they were concerned I was applying to their companies as well. I was a longevity risk. Ironically that position is open again 2 months later.']","[' Have you applied to any other places \xa0 ', '1 Answer']"
Cashier/Baker," May 28, 2017"," Anonymous Employee in  Greensboro, NC",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 3 days. I interviewed at Cheesecake Factory (Greensboro, NC) in May 2017.']","[""The interview went fairly quick. Didn't have to wait long. Basically was asked about previous experience and then told I would hear from them in a couple of days. Three days later, got the call about orientation which was 2 days after. Overall, the process was simple yet easy. I was interviewed by the assistant manager.""]","[' How are your customer service skills. \xa0 ', 'Answer Question']"
Manager," Apr 20, 2017"," Anonymous Employee in  Los Angeles, CA",['Accepted Offer'],['Positive Experience'],[],"['I applied online. I interviewed at Cheesecake Factory (Los Angeles, CA).']","['After applying online, there was an assessment I completed online. Next, there was a phone interview with in house recruiter. Then I did a shift observation in the restaurant followed up with an in person interview.']","[' What do you think would be most difficult about working here? \xa0 ', '1 Answer']"
Server," Apr 12, 2017"," Anonymous Employee in  Saint Louis, MO",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. The process took 2 weeks. I interviewed at Cheesecake Factory (Saint Louis, MO).']","['Online application and lengthy assessment test. 2 part interview, I was waiting quite a while for my interview to actually begin. So I would recommend not thinking you will squeeze this in if you have something else to do fairly soon afterwards.']","[' Name a time I went out to eat and I had a wonderful serving experience, and name a time I had a negative experience, and what are specific things that I look for in a server when I go out to eat? \xa0 ', '1 Answer']"
Cashier," May 2, 2017"," Anonymous Interview Candidate in  Trumbull, CT",['No Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. I interviewed at Cheesecake Factory (Trumbull, CT) in April 2017.']","['Went on-site for face to face interview; sat down and discussed the position, the expectations, etc. Manager seemed to have already made his mind up before interview, as was demonstrated by his level of distraction in a completely empty and closed restaurant. Entire interview laated only 15 minutes. Was told I would hear back by 3pm a few days from the interview if they were interested.']","[' What brought me to Cheesecake Factory? \xa0 ', 'Answer Question', ' Are you comfortable giving and receiving criticism from your peers? \xa0 ', '1 Answer', ' Think of a time you had to deal with a difficult customer or situation and how did you handle it? \xa0 ', 'Answer Question']"
