Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Server/Mixologist/Expo""",4.0,5.0,4.0,4.0,,," Jan 5, 2018",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,Great Training program. Fun Environment.,When I left they were starting to require their servers to be a little aggressive with sales.,
"""Good luck""",5.0,3.0,4.0,4.0,4.0,4.0," Jan 4, 2018",Current,Assistant General Manager,"Victorville, CA",Yes,Neutral,Neutral,Part-time,,"Too many pros to list but for starters... flexible schedules, competitive pay, good food and drinks, great network and resources.","Hard labor, tons of knowledge and ever changing menu. Have to work with lots of younger people so hard to direct them at times.",Hang in there.
"""Overall good place to work""",4.0,4.0,4.0,4.0,4.0,4.0," Jan 4, 2018",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,More than 8 years,"The atmosphere was fun, the people were nice and the pay was decent",The manager needs to practice constructive criticism,
"""Great Place to Work""",4.0,,,,,," Jan 3, 2018",Past,Anonymous Employee,,Neutral,Neutral,Yes,Part-time,More than 3 years,"Fair wages, you work for tips so the hourly wages aren't going to be your main source of income.",Wages can fluctuate because you are working for tips but usually a good source of income.,No advice.
"""Server""",3.0,4.0,1.0,3.0,2.0,1.0," Jan 11, 2018",Current,Anonymous Employee,"Salem, OR",No,No,Neutral,Part-time,,Corporate focus means consistent experience and policies.,Corporate focus means almost all decisions are made without sever or store-level management.,Penny pinching is a short term strategy. Spend money on infrastructure and support roles if you want to improve guest experiences.
"""manager""",3.0,3.0,2.0,3.0,4.0,2.0," Jan 10, 2018",Past,ROD,,Yes,Neutral,Neutral,,More than 3 years,"Great food, really great people",culture has been intentionally eroded by executive team.,
"""Server""",4.0,,,,,," Dec 19, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Full-time,,"Good tips. Flexible schedule, especially for college students. Potential to make a lot of money.",Long hours. Rude customers who don't understand how restaurants work.,
"""Meh""",2.0,2.0,2.0,2.0,1.0,1.0," Jan 1, 2018",Past,Anonymous Employee,,No,No,Neutral,Full-time,,its corporate<br>quick money<br>no clear communication between managers,its corporate.<br>everything based on score card,
"""Bartender""",4.0,4.0,5.0,5.0,4.0,3.0," Dec 17, 2017",Current,Server/Bartender,"Fairfax, VA",Yes,Yes,Yes,Full-time,More than 3 years,"Good people, fun upbeat environment, never a dull moment",Management is not always on point,Less complaining and more helping
"""They are not the best people to speak with when dealing with an issue, does not observe everyone involved""",3.0,2.0,3.0,3.0,4.0,1.0," Jan 1, 2018",Past,Anonymous Employee,,No,Yes,Neutral,Full-time,Less than a year,"Great customers, some great employees, beautiful place, free food on Brithdays, great rewards program, convenient with the zios, bottomless items","Bad management, rude co worker, not enough servers, limited selections, not fast with online orders, they sing when you gey free sunday",Pay attention to all involed when it comes to the food.
"""Good time""",5.0,4.0,5.0,4.0,5.0,," Dec 11, 2017",Current,Server/Bartender,"Portland, OR",Yes,Yes,Yes,Part-time,,Love my job we stay busy,None unless you don't like fast paced,
"""Amazing Managers""",5.0,5.0,5.0,5.0,5.0,," Dec 6, 2017",Current,Hostess,"Lincoln, NE",Yes,Yes,Neutral,Part-time,,I have been working at Red Robin for less than a year and have never had a better management team!,Not enough hours and too many employees hired,
