Rating,Review Date,Employee,Description
5.0,"Oct 30, 2017","Current  Host  in Fairfax, Virginia",[' They offer tones a stuff this place when it comes to being full time seems to have a lot of opportunities but I never personally dealt with any of their benefits']
2.0,"Jan 05, 2018","Current  Line Cook  in Charlotte, North Carolina",[' No vacation pay and 401k takes years to get access to.']
2.0,"Dec 19, 2017","Current  Server  in Chandler, Arizona",[' No benefits for part-time employees. Must work 30 hours every week for 52 weeks to gain benefits eligible status and must continue to work 30 hours every week to maintain benefits. Will revoke benefits if you do not meet hours.']
2.0,"Dec 14, 2017","Former  Manager  in San Mateo, California",[' They pretty much had no benefits but PTO. Health vision and dental were awful and paid mostly by employee']
1.0,"Dec 05, 2017","Current  Employee  in Manchester, New Hampshire","[' There is no benefit package that I have came across, but I have only worked here a few years. Not sure what they offer in the future or what management gets, curious though']"
1.0,"Nov 23, 2017","Former  Hostesses   in Greensboro, North Carolina",[' There really wasn’t much of a benefits package. This was a ypical restaurant job. Not much time off and definitely not paid.']
5.0,"Oct 17, 2017","Current  Food Server  in Ann Arbor, Michigan","["" Employees donate $1 out of every check to help other RR employees in need. I hope never to need the program, but it's great to be a team.""]"
1.0,"Nov 15, 2017","Current  Server  in Seattle, Washington State",[' The benefits for servers and bartenders is practically impossible to attain. Requirements are 30 hours per week... sustained for 6 months. Anyone who has served knows that my hours is very hard to sustain without having a physical and/or emotional break down lol']
3.0,"Oct 16, 2017","Current  Line Cook  in Bloomington, Minnesota",[' I love working at red robin. I just want to know more about the benefits.']
1.0,"Sep 10, 2017","Former  Employee  in Maumee, Ohio","[' If a discounted burger is incentive enough, but not much else in terms of benefits, then this is the place for you.']"
4.0,"Aug 10, 2017","Former  Assistant Manager  in Sterling, Virginia","[' Benefits were great. Paid maternity leave, options on insurance, free food']"
3.0,"Sep 01, 2017","Current  Server  in Apple Valley, California",[' Benefits package would be great if more individuals could become eligible for it.']
3.0,"Aug 28, 2017","Former  AGM  in Orange, California",[' Health coverage options seem to be below the industries average.']
1.0,"Sep 03, 2017","Current  Server  in Garden Grove, California","["" Not good benefits unless you're full time and as a server you won't be full time. Only good thing is there are a lot of servers so you might get the holiday you want off if requested way ahead of time.""]"
1.0,"Aug 21, 2017","Current  Line Cook  in Idaho Falls, Idaho","[' The only benefits are free food for Heart of House employees (Cooks, dishwashers, expos, and managers), sick days off for food born illness, and a day or two of training.']"
5.0,"Jul 01, 2017","Current  Assistant General Manager  in Gainesville, Virginia",[' I took vacation paid after 3 months of getting hired. I ended with negative vacation hours that turned positive after few months. Happy with that.']
3.0,"Jul 11, 2017","Current  Hr  in Denver, Colorado",[' No 401k offered for most home offic employees']
1.0,"Aug 03, 2017","Former  Server/Bartender  in Salt Lake City, Utah",[' There were no benefits offered']
1.0,"Jul 24, 2017","Former  Employee  in Greenwood Village, Colorado","["" The only positive on their benefits were that we actually had them. The company didn't care about the employees all they cared about was how much money they were saving on their premiums.""]"
3.0,"Jun 26, 2017","Former  Server  in Des Moines, Iowa",[' Being able to rearrange your scheduled to that can have the time off that you need/want is great.']
4.0,"Jun 09, 2017","Current  Regional Operations Manager  in Greenwood Village, Colorado",[' For the casual dining / restaurant industry - Red Robin provides a phenomenal benefits package (Medical - with a reasonable deductible/co-pay - dental - vision - Vacation - 401(k) match).']
4.0,"Jun 05, 2017","Former  DMO (Dish Machine Operator)  in Broomfield, Colorado",[' The restaurant I worked at was always so great when it came to vacation and time off. I never had an issue with getting it at all.']
2.0,"Jun 06, 2017","Current  Employee  in Washington, District of Columbia","["" The benefit package was not so great alot of the benefits we're not able to manager and the ones that were are not that good""]"
3.0,"Jun 01, 2017","Current  Server/Waitress  in Fairfax, Virginia","["" You don't qualify for benefits unless you work full time for the company, and even then, the benefits are not worth the price. I had to purchase my own insurance outside the company. There are no raises after you have worked there for a certain amount of time, unless you are a manager.""]"
1.0,"Jun 22, 2017","Current  Employee  in Sherwood, Oregon","["" As a part time employee I don't get any benefits. Only Managers are entitled to benefits like 401k.""]"
3.0,"May 30, 2017","Former  Employee  in Factoria, Washington State",[' There was no benefits package that I remember being offered other than the healthcare option for full-time employees.']
3.0,"May 12, 2017","Former  Employee  in Hillsboro, Oregon","["" It's ok But gets expensive if you upgrade to better benifits""]"
3.0,"Apr 30, 2017","Former  Assistant manager   in Staten Island, New York State","[' 401k matching is actually not that bad at all. The health insurance was good, but nothing to write home to mom about']"
1.0,"May 12, 2017","Former  Employee  in Richmond, Virginia",[' They took away the stock option and made the bonus teir impossible to obtain if you were a low volume store']
2.0,"Apr 18, 2017","Former  Server  in Apple Valley, Minnesota",[' If you were part time there was none']
4.0,"Apr 02, 2017","Former  Server/Waitress  in Northridge, California","[' If you are full time, you can accrue paid time off. They offer insurance to full time employees as well.']"
3.0,"Apr 17, 2017","Former  Server/Bartender  in Detroit, Michigan","[' As an hourly employee, no benefits other than flexible schedule and easy time off.']"
2.0,"Apr 08, 2017","Current  Server  in Saint Petersburg, Florida","["" I honestly didn't know they were offered but I am constantly denied for Medicaid no clue why but I need to see a doctor, when I started I couldn't work full time I can now""]"
3.0,"Apr 07, 2017","Former  Host  in Louisville, Kentucky",[' Flexible hours for a positive']
5.0,"Mar 23, 2017","Current  Assistant Manager  in Austin, Texas",[' The coverage you receive as a full time employee is amazing! You are really taken care of in all aspects of insurance! I love it! The worst part is that it can be a little pricey but personally I think it is definitely worth it!']
5.0,"Mar 22, 2017","Former  Employee  in Denver, Colorado",[' They offer a generous PTO time..']
1.0,"Feb 25, 2017","Former  Bartender  in Redmond, Washington State","["" Health insurance is nice but wasn't cheap or available to new team members. They offer 401k, cool. They offer stock, great. Their bonuses are crap unless you're in a brand new restaurant.""]"
3.0,"Jan 31, 2017","Former  Server/Waitress  in Saratoga Springs, New York State","["" No benefits for part time workers and if you're a server you will most likely only be part time and don't receive the benefits a grill worker would get""]"
1.0,"Feb 05, 2017","Former  Employee  in Orlando, Florida","[' The only people that can really receive any ""good"" benefits are members of the management team. You do get a 50% discount on food when you work and 25% off when you bring your family in to eat.']"
1.0,"Jan 24, 2017","Former  Employee  in Virginia Beach, Virginia",[' I honestly can not speak on benefits from this company I was not offered any because of being part time.']
5.0,"Dec 05, 2016","Former  Expo  in Bend, Oregon","[' I was able to get $200 for my keys when they were lost through the Heart Fund. What a great idea, and helpful to many employees if they have an emergency.']"
2.0,"Jan 03, 2017","Current  Server  in Phoenix, Arizona",[' It is extremely hard to get Health coverage if you are hourly Front of the House employee.']
3.0,"Jan 02, 2017","Former  Regional Vice President   in Denver, Colorado",[' It was one of the better in the industry. The year end bonus and stock options were paid out on time']
4.0,"Nov 28, 2016","Current  Employee  in Denver, Colorado","["" 401k matching and tuition reimbursement don't kick in until you've been here for a year""]"
5.0,"Nov 07, 2016","Current  Server/Waiter  in Mooresville, North Carolina",[' Vision care is nice.. I love that I work at red robin and these options are available. Its much easier to get insurance through my work']
3.0,"Oct 24, 2016","Former  Host  in Factoria, Washington State","[' I was part time, so I never received any benefits. So I will be as neutral as I possibly can.']"
3.0,"Oct 05, 2016","Former  Project Manager  in Greenwood Village, Colorado",[' 20 days PTO day one']
4.0,"Sep 19, 2016","Current  host  in North Olmsted, Ohio","["" You can buy health benefits through red robin. It's not the best plans, better than nothing obviously. but they aren't too expensive and they deduct from your paychecks which is cool.""]"
3.0,"Sep 27, 2016","Current  Employee  in Greenwood Village, Colorado","[' Poor 401K match, expensive benefits, and limited vacation package structure.']"
1.0,"Sep 21, 2016","Current  Server   in Spokane, Washington State","["" There are no real benefits unless you are full time for a certain amount of time. However if you have worked in the service industry then you know pretty much only the kitchen is allowed to be full time. Red Robin being corporate gets in trouble for having part time employees work full time hours so they do everything they can in order for you to not hit that 40 hour mark. But you do get a 50% discount on food when you're working and 25% when you come in with up to 4 family members.""]"
4.0,"Aug 17, 2016","Former  Employee  in Apple Valley, California","["" Best thing is the Verizon 17% discount & meal discounts. Worst thing is the health insurance coverage and it's So expensive!""]"
1.0,"Sep 06, 2016","Current  Bussser  in Lakewood, Washington State","[' There are no benefits to speak of. The employee discount is shockingly poor and the food is generally low in quality. I believe that there are benefits once you hit full time, but, due to the nature of their scheduling, you will likely never hit full time consistently.']"
1.0,"Sep 06, 2016","Current  Server  in Las Vegas, Nevada",[' We do not get benefits unless you are a manager.']
3.0,"Jul 30, 2016","Former  KM  in Novi, Michigan","[' Potential to bonus $1000 every quarter -- double for GMs. 401 (k) matching, all good.']"
4.0,"Jun 23, 2016","Former  Employee  in Chicago, Illinois",[' United Health Care is great with simple to use Apps. Their vacation time accrues quickly.']
3.0,"Jul 05, 2016","Former  Server  in Highlands Ranch, Colorado","[' They have a pretty good benefit package, their HR department is great. Very helpful resolving problems, and the management is always eager to see people move up and succeed']"
2.0,"Jun 25, 2016","Former  Employee  in San Bruno, California","[' Half off food, difficult to reach hours to maintain health coverage even as a full time employee']"
1.0,"Jun 14, 2016","Former  Server Trainer/Bartender  in Charlotte, North Carolina","["" Don't get Insurance until you've been there for a year. Must work 3O hours a week which is hard to do.""]"
4.0,"Apr 28, 2016","Former  Assistant Manager  in Burlington, North Carolina","[' Good benefits package with health insurance (United Health Care) with vision, dental and flexible spending option, 401k, accrued vacation time, and of course food.']"
3.0,"May 11, 2016","Current  line cook/prep cook/ expo  in Redmond, Washington State","["" you don't get benefits until you have been there a year. I hear managers have amazing benefits. Paid time off and sick days maternatiy leave. The kitchen and dishwasher and expiditers get a free meal everyday you work. Its good food!""]"
