Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Server""",5.0,5.0,3.0,5.0,5.0,3.0," Jan 9, 2018",Past,Server/Waitress,"Searcy, AR",Yes,Yes,Yes,Full-time,Less than a year,It was fat paste and you made good money just being yourself and having conversations with customers it’s great.,People gossip a lot and like to bring home issues to work,Not very professional management freaks out when faced with stress.
"""Working at Chili's""",4.0,3.0,5.0,4.0,5.0,3.0," Jan 8, 2018",Past,Team Member,,Yes,Yes,Yes,Full-time,More than a year,"Was able to do a wide variety of tasks, able to get raises, had fun","long hours, coworkers can get angry and stressed when busy, management could do better",
"""Host""",4.0,5.0,5.0,5.0,5.0,5.0," Jan 5, 2018",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,,50 % food good customer nice workers,Long hours on your feet no break yl,
"""Server""",4.0,4.0,5.0,4.0,3.0,4.0," Jan 5, 2018",Past,Food Server,"Greeley, CO",Yes,Yes,Neutral,Part-time,More than 3 years,Great food good managers and great teamwork,Alot of young inmature kids work here,
"""Nice and good place to start.""",5.0,3.0,5.0,5.0,5.0,3.0," Jan 2, 2018",Past,Server Trainer/Bartender,"Homer Glen, IL",Yes,Neutral,Yes,Full-time,More than 5 years,The management is very by the book so yippy have a great chance to succeed in the field.,Alot is e corrected. Training could be more one on one. Other than that great company,
"""In general, a great and learning experience in my professional life""",4.0,3.0,5.0,4.0,4.0,3.0," Dec 28, 2017",Past,Assistant Manager,"Guaynabo, PR",Yes,Yes,Yes,Full-time,More than 8 years,Opportunity to grown in the company. Is great how the training team continued develop programs to help management and general employees.,"A lot of work for the salary. Generally work between 10 to 14hrs and be on call, thats a lot","Work more on give your teammates a better and positive atmosphere, all needs quality time and a balanced between family &amp; work. Congrats on the development of management. Remember: happy employees bring happy &amp; satisfy customers."
"""Title""",5.0,5.0,5.0,2.0,2.0,5.0," Dec 28, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"Being able to work with a great group of people, enjoying the food and the people who came in each day knowing they were in for a treat.",Not always organized which caused issues at times. If you make one mistake it effects your whole team.,Keep up the good work!
"""Host""",3.0,2.0,1.0,1.0,2.0,," Jan 10, 2018",Past,Anonymous Employee,,Neutral,Neutral,Neutral,Part-time,,"Very flexible, great management, benefits as soon as you start.","Lots of back and forth, hardly get any hours.",
"""Going through changes, but a good company overall""",4.0,4.0,4.0,5.0,4.0,3.0," Dec 25, 2017",Past,Food Server,"Los Angeles, CA",Yes,Neutral,Neutral,,More than a year,"as a server, the schedule is flexible, management is generally approachable and benefits are provided if you work over 35 hours a week.",company is cutting down the number of servers and converting current servers to food runners for labor optimization. this change looks good on paper but the inplementation is spreading employees too thin,"help on the floor more. Company is especially lenient with managers that chooses to ""work in the office"" during peak hours."
"""Chili's review""",5.0,5.0,5.0,5.0,5.0,5.0," Dec 21, 2017",Current,Server/Waiter,"South Florida, FL",Yes,Yes,Yes,Full-time,Less than a year,Great benefits and staff and guests.,Sometimes gets hectic when extremely busy.,Arrange better training techniques.
"""Great Opportunity with Minimal Drawbacks""",4.0,4.0,5.0,5.0,4.0,4.0," Dec 20, 2017",Current,Certified Shift Leader,,Yes,Yes,Neutral,Full-time,More than 5 years,Lots of opportunities for advancement. Close-knit environment. Front of house money is great. Great starting wage for managers and significant bonus options.,Lots and hours and expectations for back of house employees with lower pay and next to no breaks during even 12+ hour shifts. Minimal benefits offerings for PT employees.,Pay more attention and offer more respect to your “HOH” guys. They work really hard and more than deserve it - and earn it; on a daily basis.
"""Dish washer""",4.0,3.0,4.0,3.0,2.0,4.0," Dec 21, 2017",Current,Dishwasher,"Millville, NJ",Yes,Neutral,Neutral,Full-time,Less than a year,"Fun ,easy,no stress nice co workers.<br>Good management.",When the kitchen staff bring all there dirty dishes at once.,
"""Eh""",3.0,,,,,," Jan 3, 2018",Past,Hostess,"Morgantown, WV",Neutral,Neutral,Neutral,Full-time,Less than a year,What you would expect of a restaurant job.... you can easily find shifts to pick up if you needed hours and it was always busy so time went by fast.,"Management wasn't great at communicated, blamed lower level employees for things out of their control, turn over was VERY high, always under staffed and expected to make up for it, hostesses do not get tipped out but are expected to clean everything even though the job description says they aren't supposed to bus tables",
"""Needs new management""",3.0,2.0,3.0,2.0,2.0,2.0," Dec 29, 2017",Current,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"Fun Atmosphere, free meal, good pay","not much for benefits, management is lazy",Care more about your employees feelings and life
"""Waitress""",5.0,,,,,," Dec 14, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Good atmosphere and good coworkers,bad managers need to replace them,
"""Manager""",2.0,1.0,1.0,5.0,3.0,1.0," Dec 29, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"Good salary, fast paced environment.","Long hours, holidays, nights, and weekends.",
"""Review for Chili’s Bar & Grill""",4.0,4.0,4.0,3.0,3.0,4.0," Dec 14, 2017",Current,Host/Hostess,"Eagle Pass, TX",No,No,Neutral,Part-time,,You get 50% discount after working there for three months,The hours were not the best. Too little hours for hostesses.,Don’t overhire.
"""Chilis bar and grill kitchen staff""",3.0,3.0,3.0,2.0,2.0,2.0," Dec 22, 2017",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Good work environment, flexible hours","Managers may not be useful, stressful at times.",
"""Experience as Food Server""",4.0,3.0,5.0,4.0,3.0,5.0," Dec 5, 2017",Past,Food Server,"Victorville, CA",Neutral,No,Neutral,Part-time,More than 3 years,"Tips, Gratuities, etc.<br>Great Management.<br>Flexible Work Days/Hours.<br>Friendly Coworkers.<br>Sports Team Events.",Usually have to work holidays/busy days.<br>Rarely get weekends off.<br>Night hours can be tough.,Keep up the good work.<br>No favoritism.
"""General manager""",3.0,1.0,3.0,4.0,3.0,2.0," Dec 18, 2017",Current,General Manager,"Pittsburg, CA",No,No,Neutral,Full-time,More than 10 years,Good team culture and has been a home to me for most of my adult life. Established some great relationships with people over the years and will always consider Chilis as home.,Future of casual dining industry looks bleak and with raise of minimum wage to $15 it will change Chilis going forward,Focus on the guest and not profits. Sales are down company wide and turnover is at an all time high.
"""About chilles""",1.0,1.0,1.0,1.0,1.0,1.0," Jan 9, 2018",Past,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,Learn experience for future jobs,Expect way too much unfair pay. Non flexible hours too much favortisim expect you to do something but not others,Teat all employees same know ur stuff
"""Cook""",5.0,5.0,5.0,,,," Dec 2, 2017",Past,Dishwasher,"Salinas, CA",Yes,Neutral,Neutral,Full-time,Less than a year,Because i like to work in the kitchen and like cooking. And general labors would like to learn new things.,Grow in life get better jobs in the futher in life better oppotunities.,
"""Good money""",5.0,,,,,," Nov 30, 2017",Current,Anonymous Employee,,No,No,Neutral,Full-time,,Money is good bonus is nice,Long hours lots of changes,Nothing
"""Terrible Place to Work!""",2.0,2.0,4.0,3.0,2.0,1.0," Dec 12, 2017",Past,Host,"Cedar City, UT",No,No,Neutral,Part-time,Less than a year,I loved most of the coworkers that I had; they were super upbeat and fun to work with.,The schedule was ever-changing and you never knew what your schedule was going to look like the following week.,Don't hire so many people and then expect there to not be a battle over hours!
