Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""TGI Fridays""",4.0,4.0,3.0,3.0,5.0,5.0," Jan 11, 2018",Past,Host,"Dothan, AL",Yes,Yes,Yes,Full-time,More than a year,Great benefits nice coworkers and fast paced.,Rude customers not that great of pay.,
"""Fun place to work""",5.0,4.0,3.0,4.0,3.0,4.0," Jan 9, 2018",Current,Waitress,"Bloomingdale, IL",Yes,Yes,Neutral,Part-time,More than 10 years,"Great coworkers, managers are nice, and there is room to move into other positions.",You don't make a whole lot of money at that particular location.,
"""Great Training and Great People""",5.0,3.0,5.0,4.0,4.0,5.0," Jan 7, 2018",Past,Bar Manager,"Norfolk, VA",Yes,Yes,Neutral,Full-time,More than 3 years,Wonderful training program. Great people in the home office and support lines.,Very long hours. Too many restrictions and rules that are always changing.,
"""Server""",5.0,4.0,3.0,3.0,4.0,4.0," Jan 7, 2018",Past,Server,"The Woodlands, TX",No,No,Neutral,Full-time,Less than a year,50% off for shift meals. Good money at good locations. Easy to pick up shifts.,Other staff member were undertrained. One manager easily got stressed and moody during busy dinner shifts.,
"""Kitchen Manager""",4.0,1.0,3.0,3.0,3.0,2.0," Dec 28, 2017",Past,"Kitchen Manager, Bar Manager","Enfield, CT",Yes,Neutral,Neutral,Full-time,More than 10 years,Management and stated culture are positive. Overall good business concept. Recognizable brand with consistent foot traffic. Execution strategies well-stated and clearly laid out.,Inconsistent focus with regard to target audience and goals. Unbalanced work expectation and responsibility with regard to compensation. Very poor work-life balance. Technical support lacking. Very antiquated technological systems.,"Choose a brand identification, do it well, and stick with it. It seemed that this company tried to ""re-ienvent"" itself every 3 or 4 years, but would only half-heartedly execute the plan, and alter course before reasonable evaluation of success could be made."
"""Server""",4.0,,,,,," Dec 27, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Full-time,,Great employees and fun environment,Long hours and lack of essential tools to help servers,
"""Broiler cook""",2.0,1.0,2.0,1.0,1.0,1.0," Jan 2, 2018",Past,Anonymous Employee,"Baltimore, MD",No,No,Neutral,Full-time,More than a year,Co worker the employees are fun to work with just not enough hours,Not enough hours for employees,Respect their employees better better pay and benefits
"""Life of a server""",4.0,4.0,5.0,3.0,2.0,4.0," Dec 9, 2017",Current,Server,"Saint Louis, MO",Yes,Neutral,Neutral,Part-time,More than a year,My co workers are great and its a fun environment. The guests who come in are lively and theres a lot of opportunity to enjoy working there,Corporate fridays is going through many changes but hasnt gotten it together yet. Endless apps sucks terribly and is the worst idea ever,Keep doing what youre doing
"""Waitress""",3.0,,,,,," Dec 22, 2017",Past,Anonymous Employee,,No,No,Neutral,Part-time,,Great people to work with.,Management was constantly changing.,
"""servers""",4.0,,,,,," Dec 6, 2017",Current,Server/Waitress,"Rockville, MD",No,No,Neutral,Part-time,,very flexible schedules and friendly working environment,managers are not always professional,
