Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Amazing Culture, FUN!!!""",4.0,4.0,5.0,4.0,3.0,4.0," Jan 3, 2018",Past,Anonymous Employee,"Playa Vista, CA",Yes,Yes,Yes,Full-time,More than 3 years,"Amazing company!! Culture unlike any other, the CEO GJ is very friendly, knows your name and never has his head in the clouds. So many fun events at the RSC and give back opportunities for the community.","Only con would be advancement, may take longer unless you have the right push from your department head.",
"""FOH Manager""",4.0,2.0,4.0,3.0,4.0,4.0," Dec 25, 2017",Past,FOH Manager,,Yes,Yes,Yes,Full-time,More than a year,Great culture with the company and as a manager you have a great opportunity to hit realistic sales bonus goals.,My location was shut down during the holidays with not much notice,
"""Second Family.""",5.0,3.0,3.0,3.0,3.0,3.0," Dec 19, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Full-time,,Good starting position to be introduce to the company and restaurant. They will move you up from hostess to server if you want to.,none i can think of right now.,
"""Bartender""",5.0,4.0,5.0,5.0,4.0,5.0," Dec 19, 2017",Current,Anonymous Employee,"Boston, MA",Yes,Neutral,Neutral,Full-time,More than 5 years,"Hours, pay, culture, job demands","Stagnant wages, volatile wages, inconsistent schedule",
"""Great place to work with great company culture!""",5.0,4.0,4.0,4.0,4.0,3.0," Dec 15, 2017",Current,Anonymous Employee,,Yes,Yes,Neutral,Part-time,,"Tips are great, co-workers are like family",Management is seriously lacking at CPK,
"""I loved it!""",5.0,5.0,3.0,5.0,2.0,3.0," Dec 13, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,More than a year,"The staff was great and you meet a variety of people. Most of the time the customers tipped fairly, which is 20 percent of the bill.",I guess it would be the same groups of customers came in and would not leave a tip or it would be low. If the servers works hard please reward them.,Just keep treating your workers good because they deserve it.
"""Server""",5.0,5.0,5.0,5.0,5.0,5.0," Dec 14, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,"50 percent off meals, making tips","When its slow, being sent home early and not making enough money",
"""Great Company""",5.0,,,,,," Dec 25, 2017",Past,Anonymous Employee,,Yes,Neutral,Neutral,Full-time,,The People are truly amazing!,No real cons that I can think of.,
"""Manager""",2.0,2.0,4.0,3.0,1.0,2.0," Dec 19, 2017",Past,Anonymous Employee,,No,No,Yes,Full-time,,CPK has some of the best people in the industry.,There are currently limited opportunities for competitive compensation.,
"""Server""",3.0,5.0,4.0,3.0,3.0,3.0," Dec 14, 2017",Current,Server,,Yes,Neutral,Neutral,Part-time,More than a year,Overall great company to work for. It's a good way to make some quick money.,Corporate.<br>Management is very concerned about labor costs. When labor is too high they want you off the clock immediately. Puts a toll on other servers.,
