Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Burnt Down""",4.0,,,,,," Jan 10, 2018",Past,Hostess,"Santa Rosa, CA",Yes,No,Neutral,Part-time,More than a year,"Good food, cool wait staff",Burnt down in SR fires,Sorry about the fire :(
"""Review from an employee""",4.0,4.0,1.0,3.0,1.0,2.0," Jan 10, 2018",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,great money and hours friendly staff,management is very difficult to work with,treat others how you would like to be treated
"""Server""",5.0,5.0,5.0,5.0,5.0,5.0," Jan 8, 2018",Past,Food Server,"Syracuse, NY",Yes,Neutral,Neutral,Full-time,Less than a year,"Good tips, go to hours and management is awesome business is steady so tips are as well good job to have",Takes a long time to clean your section at the end of the night and roll all the silver and during that hour you only make server rate,Keep up the good work your management team is awesome and you're flexible work schedule is great as well
"""Love it""",5.0,5.0,3.0,5.0,5.0,3.0," Jan 9, 2018",Current,Hostess,,Yes,Neutral,Neutral,Full-time,Less than a year,"Friendly, help work around your schedule for school and Dr. Appts",Some staff dont do what they are supposed to do so you have to pick up the slack,If you are getting complaints from multiple staff members about 1 in particular maybe its time to get rid of them
"""Positive Experience""",4.0,2.0,3.0,3.0,3.0,3.0," Jan 9, 2018",Past,Bartender,,Yes,Neutral,Neutral,Part-time,,My co-workers and the management team was very positive and supportive.,I didn't care for the fact that there was no official end time to my shift. It would have the start time and then you would get cut whenever you were no longer needed. Made it difficult to try to make plans when you don't know when you're going to leave.,N/A
"""Okay experience""",4.0,4.0,4.0,4.0,4.0,2.0," Jan 9, 2018",Past,Waitress,"Royersford, PA",Yes,Yes,Neutral,,More than a year,You can walk out of applebees making $200+ a night even if you really are not that busy. People are nice and the whole system is easy to work with,they have no idea how to schedule anything and are not on top of pay roll,
"""Pleasant for the most part.""",4.0,3.0,4.0,3.0,4.0,2.0," Jan 6, 2018",Past,Bartender/Server,"Jenkintown, PA",Yes,Yes,Yes,Full-time,More than 3 years,"Good place to make a decent income, the system is pretty easy to use. Fun environment and decent music helps keep your energy high.",Fast paced so pretty stressful at times. Put too much pressure on server's to upsell and offer information to guests's that doesn't necessarily enhance the guest's experience.,Focus on being more professional.
"""Great place to work""",5.0,3.0,5.0,5.0,5.0,5.0," Jan 4, 2018",Current,Kitchen Manager,"Hawthorne, NY",Yes,Yes,Yes,Full-time,Less than a year,"Great upper management! Bonuses, car/ phone after 18 months company meetings. Meet the owners at least once every other month.","Some weeks work more than scheduled, open 365 days a year. Do more with less. Ga ga ha ha ha",
"""My thoughts of Applebees""",5.0,2.0,5.0,3.0,3.0,2.0," Jan 5, 2018",Past,Lead Bartender,"Laurel, MS",Yes,Yes,Neutral,Part-time,,Family oriented environment to work in. Get to meet new people everyday,Work late hours and stand on your feet long period of time. Since alcohol was served you would have to deal with intoxicated people.,Consider making a policy against co workers dating because it causes a lot of drama.
"""Kitchen manager""",4.0,3.0,4.0,4.0,3.0,3.0," Dec 26, 2017",Current,Kitchen Manager,"Kansas City, MO",Yes,Yes,Neutral,Full-time,More than 3 years,Good benefits all right people to work for alright people to work for pretty good systems in place,Long hours unpredictable business to plan for,Long hours
