Rating,Review Date,Employee,Description
4.0,"Jun 11, 2017","Current  Employee  in Saint Louis, Missouri",[' 50 percent off food.']
3.0,"Dec 25, 2017","Former  Hostess  in Charlotte, North Carolina","[' health insurance, 50% off food, 401k, dental and vision, and thats about all i can think of right. the typical things offered at a restaurant,']"
3.0,"Nov 14, 2017","Former  Employee  in Culver City, California","["" Need to work at least 35 hours, and most hourly do not, so don't get the good benefit package. Most are eligible for hospital only benefits or low benefit package, so better just to get your own health insurance to be covered.""]"
2.0,"Sep 01, 2017","Current  Server/Bartender  in Raleigh, North Carolina","[' There definitley are benefits available, but you have to work at least 30 hours a week to be able to enroll in them and most employees are scheduled less than 30 hours a week.']"
1.0,"Jun 20, 2017","Former  Kitchen Manager  in Queens Village, New York State",[' Best is Atnea health and worst is vacation policy. You can only go away when they eant you too.']
2.0,"May 19, 2017","Current  Server/Waiter  in Long Beach, California",[' Health benefits could be a little more accessible.']
3.0,"Mar 13, 2017","Current  Employee  in Dallas, Texas",[' They are not very clear as to what works for each individual person. The packages are also really expensive.']
4.0,"Nov 06, 2016","Former  Employee  in San Francisco, California",[' For an hourly position this company has good benefits']
3.0,"Nov 04, 2016","Former  Server/Waitress  in Brookhaven, Georgia",[' I never received benefits but I do think they were provided after a certain length of time or hours. There was free food to take home everyday of your training and they were usually alright giving away screw ups so free food is a perk. You receive an employee discount.']
4.0,"Aug 05, 2016","Former  Community Brand Ambassador  in Raleigh, North Carolina","[' Optional health benefits, I believe there is dental and health insurance. No paid time off since I was working an hourly position.']"
4.0,"May 20, 2016","Current  Employee  in Los Angeles, California","["" The benefits package at CPK is pretty comprehensive. Medical is pretty expensive but I think that's the case pretty much everywhere.""]"
2.0,"Aug 01, 2016","Former  Employee  in Kansas City, Missouri",[' They did not really offer us any sort of benefits package for health insurance or 401K. As a Server/Bartender/Host this was nothing that you could receive.']
1.0,"Apr 25, 2016","Former  Server  in Orem, Utah",[' You need to consistently work 40 hours for an extended period of time to be eligible for perks and most employees are part-time employees.']
2.0,"Apr 02, 2016","Former  Server  in Durham, North Carolina",[' No true benefits offered at this job.']
5.0,"Feb 03, 2016","Current  Host  in Las Vegas, Nevada",[' Best thing is insurance & tips earnings']
2.0,"Jan 18, 2016","Former  Employee  in Kansas City, Missouri","[' There really are not any benefit packages for this company. I believe if you are in management they will offer your Health insurance options and perhaps a 401K option. But, as a server there really was not anything at the time of my employment that they provided. You could opt in for an insurance plan, but anyone who has been a server knows that a servers minimum wage is so minimal that you barely ever receive a real paycheck.']"
