Rating,Review Date,Employee,Description
3.0,"Jan 04, 2018","Former  Server  in Lake Zurich, Illinois",[' The on shift and off shift discounts are low for the status level of the company.']
3.0,"Dec 28, 2017","Former  Employee  in Enfield, Connecticut","[' When we went from a corporately own restaurant to a franchised restaurant, many benefits were reduced, and some were eliminated. One of these was college reimbursement. Many employees were surprised acnddissapointed by this news.']"
1.0,"Jan 04, 2018","Former  General Manager  in Chicago, Illinois",[' Before the company went to a franchise model when it was under the Carlson umbrella benefits were in line with market and results. After franchise the benefits became worse and worse way below industry average even compared to fast food.']
3.0,"Nov 20, 2017","Current  Employee  in Dallas, Texas",[' Benefits vary widely depending on your level in the company.']
2.0,"Nov 24, 2017","Current  Bar Manager  in Garland, Texas",[' Best is they offer insurance worst in the deductible and no maternity leave was avavaible either.']
1.0,"Dec 10, 2017","Current  Employee  in Massapequa, New York State",[' After you work six months you get a card that you can use at any Fridays in the United States']
2.0,"Oct 05, 2017","Former  Server  in Ledgewood, New Jersey","[' I worked there for almost 2 years, averaging between 30 and 40 hours a week and never saw vacation time. Benefits package was offered but was expensive and useless.']"
1.0,"Sep 13, 2017","Former  Server  in Lancaster, Pennsylvania","["" There is no guaranteed time off for servers, just which ever days you request off (if they choose to give you those days off) and whatever time you're not scheduled. There is no health insurance or 401k for servers. The only perk is the small discount on food. Half off a meal as long as the meal is under $10. If the meal is over $10, you get $5 off the meal.""]"
1.0,"Sep 09, 2017","Former  Host/Hostess  in Dallas, Texas","["" The health insurance is if you work 40+ hours a week. (Which you won't)""]"
1.0,"Aug 21, 2017","Former  Line Cook  in Melbourne, Florida","["" They do offer health insurance but I heard it's still outrageously expensive.""]"
3.0,"Jul 28, 2017","Former  Server  in Key West, Florida",[' You have to be with the company a long time to receive any benefits']
2.0,"Jul 06, 2017","Former  Server  in Bensalem, Pennsylvania","["" It's better than having no health benefits but it's expensive and limited coverage""]"
2.0,"Jun 22, 2017","Current  Server/Bartender  in Rockville Centre, New York State","["" The packages don't seem that useful to be quite honest, but I guess it is better than nothing !""]"
3.0,"May 16, 2017","Current  Employee  in Mary Esther, Florida","[' They offer 10k free life insurance policy and free health insurance to non smokers. The health insurance plan, dental and vision is fairly inexpensive and they offer HSA as well']"
3.0,"May 09, 2017","Former  Employee  in Providence, Rhode Island","[' The benefits were pretty much normal for corporate restaurant. After 20 you get 1 month sabbatical. If you were lucky to make it that long. I found out after 10 years they try to get rid of you, that way they can hire someone new with little vacation (5 years) time .']"
1.0,"Jun 05, 2017","Former  Host  in Houston, Texas","[' There were really no other benefits except the employee discount on food, and paid vacation, which I never took advantage of.']"
1.0,"May 30, 2017","Former  Assistant General Manager  in Austin, Texas",[' When Marlu Group took over the benefits went away. As a KM the most i bonus-ed was $300. and i hit every number! they dont even have direct deposit.']
1.0,"May 17, 2017","Former  Server/Waitress  in Sandusky, Ohio","[' Seasonal, so no benefits of any kind. Fun place to work if regular restaurant not a seasonal position at amusement park']"
3.0,"Apr 06, 2017","Former  Bartender  in Oak Park, Illinois","["" benefits are okay the vision insurance was horrible had used the full benefit and hadn't even gotten my contacts yet, health insurance was better but the insurance company would give give you incorrect information repeatedly causing you to make wrong and costly choices""]"
2.0,"Apr 03, 2017","Former  Server/Waiter  in Sandy, Utah","["" Each shift, we were allowed 50% off our shift meal up to $4. Kind of cheap but it's better than nothing.""]"
3.0,"Mar 23, 2017","Former  Restaurant FOH Manager  in Atlanta, Georgia",[' 401k and vacation are the okay things....worst is the removal of free healthcare']
