Rating,Review Date,Employee,Description
5.0,"Oct 23, 2017","Former  Key  in Houston, Texas","[' Free food, great health and dental benefits']"
1.0,"Jan 09, 2018","Current  Employee  in Greenwood, Indiana","["" free food for everyone who doesn't make tip outs. only for one store chosen meal though, so not very helpful for people with dietary restrictions. other benefits include stress and anxiety and lower wages. nothing good to see here.""]"
1.0,"Jan 07, 2018","Current  Server/Bartender  in Woodland Hills, California","[' There is no real benefit package, there is a health insurance plan but very expensive for what you get.']"
3.0,"Dec 13, 2017","Former  Host  in Addison, Texas",[' I worked full-time hours at one point but had a PT schedule so I did not qualify for benefits since I technically was not a FT employee.']
1.0,"Dec 14, 2017","Former  Employee  in Vienna, Virginia","["" there's no benefits unless your a manager.""]"
1.0,"Dec 12, 2017","Former  Hostess  in Oviedo, Florida","["" There wasn't many other than discounted food. 50% off for tip-based shifts, 100% for non-tip shifts, 25% when dining in,""]"
1.0,"Dec 09, 2017","Former  Food Server  in Woodland, California","[' The ad said they needed full time staff and have an extensive benefits package, but for each job I was qualified for that they were also advertising for, there were ZERO full time positions and each person hired with me also only got part time work.']"
1.0,"Oct 14, 2017","Former  Employee  in Round Rock, Texas","[' The only good thing was the employee meal, But that is only time permitted.... I did work double shifts and not given a 30 min break']"
5.0,"Aug 30, 2017","Former  Takeout, Food Runner, Server  in San Bruno, California","["" The GM was AMAZING. He actually cares about all of his staff from hosts to SA's to Bartenders. Getting half off of food everyday saved me a lot of money.""]"
3.0,"Aug 08, 2017","Current  Employee  in Fort Worth, Texas",[' You have to work an entire 6 months before you are eligible for benefits.']
4.0,"Apr 08, 2017","Former  Employee  in Huntington Beach, California",[' Provider network was great and was able to select great physicians']
3.0,"May 14, 2017","Current  Dishwasher/Prep Cook  in Fremont, California",[' 30 day probation before person gets benefits']
1.0,"Feb 02, 2017","Former  Server/Bartender  in Katy, Texas","["" Expensive and deductible didn't cover anything""]"
1.0,"Jan 24, 2017","Former  Server/Bartender  in Cupertino, California","[' Benefits package is a joke. You can only qualify if you work an average of 35 hours per week during a quarter. As well a you must maintain that average afterwards. Therefore if you take a vacation for a week, your average will dropped and you will be dropped off of coverage. This happened to me. That pretty much prevents someone who needs that health coverage to ever take a vacation.']"
4.0,"Nov 30, 2016","Former  Host/Hostess  in Phoenix, Arizona",[' Free food when you work and are a non tipped employee. Get to choose from a decent list of options.']
2.0,"Dec 09, 2016","Former  Employee  in Cedar Park, Texas","[' The benefits package is nonexistent to most employees....they are ""allotted"" only so many full time positions at each restaurant and most of them are BOH staff. FOH staff very rarely get full time hours and then benefits don\'t kick in until you\'ve worked full time hours for 6 or 9 months.']"
4.0,"Nov 15, 2016","Former  Restaurant Manager  in Irvine, California","[' Benefits package was substantial and at the better end of most corporate restaurants. The offer a full range of benefits including paid vacation, health, dental, vision, 401k, etc...']"
2.0,"Nov 11, 2016","Former  Server  in Temple, Texas","["" You can kiss time off good-bye. I don't know of any benefits due to the fact that they wont let anyone work more than 40 hours in a week.""]"
1.0,"Oct 25, 2016","Current  Host Desk Coordinator  in Roseville, California",[' free meal from limited menu if you work a minimum of 2 hours per shift for non-gratuity employees. Gratuity employees pay 50%']
1.0,"Oct 21, 2016","Former  Employee  in Lewisville, Texas","["" Wasn't a benefits package while I was there.""]"
4.0,"Sep 09, 2016","Former  Manager  in San Antonio, Texas",[' Vacation time hard to schedule due to so many blackout periods.']
3.0,"Oct 20, 2016","Current  Employee  in Norman, Oklahoma","["" There isn't much that is offered, since it is a restaurant. You are permitted to ask off, you just have to get your shift covered. There is an easy to use app, HotSchedules, that makes all of that easy. They are pretty good about letting you off work if you're really sick or an emergency happens.""]"
3.0,"Sep 08, 2016","Former  Employee  in Sacramento, California",[' If you are given stocks you are taxed very heavily on them. The medical insurance varies by state and was affected poorly by Obamacare. The free meals are wonderful and can be used at every location.']
5.0,"Aug 13, 2016","Former  Server  in College Station, Texas","["" You're presented with the opportunities as soon as you're hired. To get paid time off you have to work for at least a year. Very lenient with time off before then though.""]"
3.0,"Jul 28, 2016","Current  Food Server  in Roseville, California","["" Most team members don't get enough hours to receive benefits.""]"
3.0,"Jul 15, 2016","Former  Server  in Redmond, Washington State",[' No benefits besides flexible scheduling and a 50% discount. Time off was easily arranged.']
3.0,"Jun 28, 2016","Former  Server  in Lexington-Fayette, Kentucky","[' You are considered part time for the first six months of employment. As so, I was never aware of any benefits the company offered. During working hours, I was able to get half off of food.']"
3.0,"Jun 16, 2016","Former  Dishwasher  in Santa Rosa, California","[' Full-time employment means benefits, which means that full-time staff had their hours cut during my year of employment.']"
