Title,Interview Date,Employee Type,Offer,Experience,Interview Type,Application,Interview,Question
Server," Nov 20, 2017", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],"[""I applied online. The process took 3 weeks. I interviewed at Chili's Grill and Bar.""]","['First interview was with the FOH manager, who asked me questions about my old serving job and then asked my about my availability. A week later my second one was with the General Manager who basically went over the basics with me.']","[' Do you think you can get your tables to use the ziosk? \xa0 ', 'Answer Question']"
Server," Dec 21, 2017"," Anonymous Employee in  South Florida, FL",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"[""I applied online. The process took 2 days. I interviewed at Chili's Grill and Bar (South Florida, FL) in November 2017.""]","[""It was awesome. There's a total of 3 three interviews and I aced them all.. Managers are great and extremely professional. They were all so much fun and exciting to want to work with.""]","[' How many times have I called out of work and why? \xa0 ', '1 Answer']"
Host/Hostess," Oct 30, 2017", Anonymous Interview Candidate,['No Offer'],['Positive Experience'],['Easy Interview'],"[""The process took a week. I interviewed at Chili's Grill and Bar.""]","['First interview was brief but to the point. mostly about availability and flexibility. Second and third interview were together. Second was more ""fun"" questions , such as hobbies, interests, and who I am. Third interview was about work ethic and hoe i would react in certain situations.']","[' How Flexible are you? \xa0 ', 'Answer Question', ' Where would you vacation if you could go anywhere? \xa0 ', 'Answer Question', ' How would you greet people coming into the restaraunt? \xa0 ', 'Answer Question']"
Server/Waiter," Oct 5, 2017"," Anonymous Employee in  Ogden, UT",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"[""I applied online. The process took 2 days. I interviewed at Chili's Grill and Bar (Ogden, UT).""]","['Two interviews with two different people. We talked about experience and I was asked hypithetic questions. They also wanted to know about my working preferences, such as when and how often I want to work.', 'They gave me group training then for partner shifts where I fallowed and was fallowed.']","[' How would you handle an angry customer who got over cooked food? \xa0 ', '1 Answer']"
Manager," Oct 10, 2017"," Anonymous Employee in  Little Rock, AR",['Accepted Offer'],['Positive Experience'],['Average Interview'],"[""I applied through an employee referral. The process took a week. I interviewed at Chili's Grill and Bar (Little Rock, AR) in October 2017.""]","['Online, it was very fast and efficient. The staff made me feel welcome and was entertaining and informational the whole time. It was really exciting to get this opportunity that they provided.']","[' How would you feel about leading a team of servers \xa0 ', '1 Answer']"
Server/Waitress," Oct 24, 2017"," Anonymous Employee in  Harvey, LA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"[""I applied online. The process took 5 days. I interviewed at Chili's Grill and Bar (Harvey, LA) in October 2017.""]","['Applied online and got an email immediately prompting me to setup an interview. Set it for Tuesday (today). I went in and got seated in an empty section and was told to wait for the manager. It was really laid back and it was mostly going over my previous experience and explaining what they’re looking for. Afterwards, he said the front end manager should be coming in shortly and that I could wait for him to get in. Less than 5 minutes I had the second interview which was the same thing... telling me what to expect and answering questions I had. In the end he said they have a thing they call “Let’s Do Lunch” where it’s kind of like orientation I assume and scheduled that. Very excited.']","[' Tell me about yourself \xa0 ', 'Answer Question']"
Server," Sep 27, 2017"," Anonymous Interview Candidate in  Palmdale, CA",['No Offer'],['Negative Experience'],['Average Interview'],[],"[""Applied online because the local Chilis has been advertising frequently on indeed.com. I went in to the restaurant after applying online and they said they weren't hiring. A new post was on indeed literally an hour before I went in. I've seen this a lot in my job search. A lot of companies have recurring hiring ads on popular job search websites and it's totally unfair. We spend a lot of time on these applications and questionnaires only to find out they're not even hiring. It would be great if management could keep on top of their advertising and stop waisting our time.""]","[' What can management do to get good employees? \xa0 ', '1 Answer']"
Assistant Manager," Sep 21, 2017"," Anonymous Employee in  Pitts, PA",['Accepted Offer'],['Positive Experience'],['Difficult Interview'],"[""I applied through a recruiter. I interviewed at Chili's Grill and Bar (Pitts, PA).""]","[""Personality tests, Aptitude tests, phone interviews, live walk thru, 1 on 1 interview than an offer. Whole process takes a few weeks. They wouldn't hire just anyone. I appreciate the selectivity.""]","[' Where do I see myself in five years. \xa0 ', 'Answer Question']"
Manager," Aug 16, 2017"," Anonymous Employee in  Shreveport, LA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"[""I applied through other source. I interviewed at Chili's Grill and Bar (Shreveport, LA).""]","['Very easy going and relaxed atmosphere. Went over my background, experience and future expectations. Salary expectations. Willing to relocate? Asked the basic questions. Not very in depth because I was referred and had two decades experience. The basically brought me out of retirement from the casual foodservice industry']","[' How does team work apply in your past job experience and how can it benefit or be a determent \xa0 ', '1 Answer']"
Dishwasher," Aug 11, 2017"," Anonymous Interview Candidate in  Flowery Branch, GA",['No Offer'],['Negative Experience'],['Average Interview'],"[""I applied online. I interviewed at Chili's Grill and Bar (Flowery Branch, GA) in August 2017.""]","[""After about a week i get a call to schedule an interview for the following week. First interview went normally, i was told to meet the general manager for an interview 2 days later. I show up and she is not there so i talk with a different manager who does a mini interview with me and tells me to come around the same time the next day. I show up and she isn't there again because she had to run some errands in which she forgot about the interview. i end up waiting for a little more than an hour until she comes back and finally do the interview. I got a rejection email later that day. Very disappointed with how unprofessional the experience was and i now know better than to be kept waiting so long. It's a shame considering the people were so friendly and apologetic about the situation.""]","[' Tell me a little about yourself. \xa0 ', 'Answer Question', ' mainly questions relating to your online application which they have a copy with them for the interview. \xa0 ', 'Answer Question']"
