Rating,Review Date,Employee,Description
4.0,"Jan 03, 2018","Former  Server  in Pace, Florida","["" The best benefit with working with Chili's is the flexible hours, corporate environment and having fun. This is a fun, face-paced restaurant and they genuinely care about your success within the company.""]"
5.0,"Dec 28, 2017","Former  Quality Assurance Analyst  in Culpeper, Virginia",[' Great discounts on food and team work was amazing.']
2.0,"Dec 29, 2017","Current  Employee  in Stevens Point, Wisconsin","[' No 401K, no dental or vision, get a bonus at 5, 10, 15 year. Getting time off can be a pain']"
1.0,"Jan 16, 2018","Former  Front End Staff  in Sandy, Utah","["" There's benefits? Oh wait, you have to be full-time to get benefits. From reading through the package, it is obvious the only reason there are even benefits is because Chili's is being forced by the law, so that's pretty awesome that the government is making sure Chili's realizes human beings exist.""]"
3.0,"Dec 08, 2017","Current  Employee  in Orlando, Florida",[' there were no benefits offered to part time employees when i was present at the company']
3.0,"Dec 05, 2017","Current  Expo  in Baltimore, Maryland",[' They offer benefits but I didn’t use them.']
2.0,"Nov 26, 2017","Current  Manager  in Indianapolis, Indiana",[' We have no sick days']
3.0,"Nov 21, 2017","Former  Server/Bartender  in Holmdel, New Jersey","["" There isn't much although aflec does come in to provide health insurance.""]"
2.0,"Nov 11, 2017","Former  cook  in Virginia Beach, Virginia","["" didn't have the benefits package. told it was expensive and not the best package.""]"
1.0,"Nov 20, 2017","Former  server  in Pryor, Oklahoma","["" I was part time, I didn't get any benefits. I don't know what they offer the full time employees""]"
4.0,"Nov 07, 2017","Current  Employee  in New Orleans, Louisiana","[' Training is good. It’s five days of shadowing someone else for 3-4 hours. Between the third and fourth day, depending on your floor manager, they will be expecting you to greeting guest and leading your trainer a few times. You should be able to handle a table on your own by the third day. The last day of training you have to get verified by the floor manager which is just serving them. I’ve never been a server so for me, the hardest part is learning the table numbers. Overall, I really like Chili’s plus you get 50% off on certain meals and after 90 days, you get a card that will allow you to get discounts at any location.']"
5.0,"Oct 29, 2017","Current  Employee  in Tomball, Texas","["" Chili's only offers benefits to full time employees. I am only part-time, so I do not really know anything about their benefit packages.""]"
5.0,"Oct 29, 2017","Current  Employee  in Tomball, Texas","["" Chili's offers benefits to full-time workers only. I am part-time, so I do not know anything really about their benefit packages.""]"
3.0,"Nov 02, 2017","Former  Food server  in Sulphur Springs, Texas",[' Good benefits for an eating establishment']
4.0,"Oct 12, 2017","Current  Dishwasher  in Carson, California","["" They have A LOT of benefits such as 401k, very flexible scheduling, awsome staff, and many opportunities to move up in positions. However it is a fast working place and the pay is low. But if money isn't the most important thing to you and love working hard then this is the place for you.""]"
5.0,"Oct 10, 2017","Current  Server  in Little Rock, Arkansas","["" the staff is very welcoming and they always make you feel like you're right at home. They also are very informational""]"
4.0,"Oct 05, 2017","Current  Server/Waiter  in Ogden, Utah","[' If you get over 30 hours of work per week on average then you qualify for insurance, 401k matching, and more. They have a program for for helping an occasional employee with financial aid in extremely hard situations.']"
3.0,"Oct 10, 2017","Former  Line Cook  in Bullhead City, Arizona",[' I like the good things about working there i hear you get discounts on some things in certain places']
3.0,"Oct 09, 2017","Current  General Manager  in Chicago, Illinois",[' has the basic benefits package most employees are looking for from a company']
3.0,"Oct 08, 2017","Former  Line Cook  in Arapahoe, Colorado",[' There was no paid time off']
4.0,"Aug 29, 2017","Former  Employee  in Waukesha, Wisconsin",[' Time off to get is easy if you are responsible enough to ask off in time. But if you try and let them know last minute it can be hard to get off.']
3.0,"Sep 22, 2017","Former  server  in Greensboro, North Carolina",[' you can make very good money especially in the weekend and holiday']
1.0,"Aug 31, 2017","Current  Server  in Huntsville, Alabama",[' No benefit package offered to employees']
3.0,"Jul 25, 2017","Current  Bartender  in Largo, Florida",[' The fact that they offer one. A lot of restaurant/service jobs do not.']
1.0,"Jul 30, 2017","Current  Server  in Omaha, Nebraska",[' Since it was a part time job I did not have any of these']
1.0,"Jul 07, 2017","Former  Server/Waiter  in Helena, Montana",[' The food discounts were very nice']
5.0,"May 21, 2017","Former  Assistant Manager  in Crowley, Louisiana",[' They put money in your 401k medical dental and vision are affordable. Blue cross is taken everywhere. Vision is harder to locate dr that will take insurance.']
1.0,"May 23, 2017","Former  Server  in Novi, Michigan","[' The insurance is crap, but that is expected.']"
4.0,"Apr 08, 2017","Former  Assistant Manager  in Payson, Arizona","["" Vacation time, free food for managers, 50% off for tm's""]"
2.0,"Apr 12, 2017","Former  Line Cook  in Las Vegas, Nevada","["" The insurance wasn't that great""]"
4.0,"Apr 03, 2017","Former  Employee  in Branson, Missouri",[' I did not get to experience the benefits package. I was only a part time employer. They do offer great benefits for full time though.']
5.0,"Mar 22, 2017","Former  Prep Cook  in Orem, Utah",[' Free food was the best thing for me because I only worked there for three months. You get a free meal everytime you work. You have to be employed for 90 days before you get your discount card so I only got to use it once.']
3.0,"Mar 28, 2017","Former  Employee  in Grand Prairie, Texas",[' The insurance I had had a high deductible']
3.0,"Mar 23, 2017","Current  Employee  in Orlando, Florida","[' I am a student worker so I do not receive benefits, however the benefits for management is good.']"
2.0,"Mar 22, 2017","Former  Food Server  in San Antonio, Texas",[' They offer some benefits for full time employees']
4.0,"Mar 03, 2017","Former  server  in Aventura, Florida",[' You make great tips. I would recommend it to anyone as a first job.']
2.0,"Mar 17, 2017","Former  Food Server  in San Antonio, Texas",[' Not great for servers with families. Battery have a full time job.']
5.0,"Mar 01, 2017","Current  Manager  in Lexington-Fayette, Kentucky","[' 401k, vacation, tuition reimbursement, paternity leave. Great company to work for who know how to take care of their staff.']"
2.0,"Mar 10, 2017","Former  Host  in Las Vegas, Nevada","[' Very easy job, management was terrible, servers are rude and cranky, customers get impatient - typical restaurant environment']"
3.0,"Feb 01, 2017","Former  Employee  in Kerrville, Texas","[' Company perks, phone bill discount,']"
5.0,"Dec 04, 2016","Former  Assistant Manager  in Tucson, Arizona",[' I really enjoyed the fact that this company is attempting to reach a new market in the millenials and that focus is changing the way they manager and structure their company vision.']
2.0,"Jan 24, 2017","Former  Line Cook  in Lake Mary, Florida",[' Was not impressed with the benefits its as average as it gets compared to most chain restaurants you see.']
3.0,"Jan 18, 2017","Former  Food Server  in Mechanicsburg, Pennsylvania","["" The health insurance was difficult to pay because being paid with tips, never had a paycheck. So they finally createda direct deposit for it, but I was dropped 2 years in a row for not knowing I didn't get enough money to cover it.""]"
3.0,"Jan 11, 2017","Current  Food Server  in Houston, Texas","["" The benefits package is only offered for employee's who are full-time.""]"
3.0,"Jan 09, 2017","Current  Server  in Appleton, Wisconsin","[' Paid vacation, yearly incentives..........discount on food']"
3.0,"Jan 04, 2017","Former  Grill   in Little Rock, Arkansas",[' Company have good benefits for long term employs']
1.0,"Dec 27, 2016","Former  bartender  in Nashua, New Hampshire",[' practically non existent at the bartender/server level. They could certainly have a better benefit package!']
4.0,"Nov 16, 2016","Former  Employee  in Milwaukee, Wisconsin","[' The best part about working at Chilis was the discounted food, and sometimes free food after a shift or between shifts']"
2.0,"Nov 24, 2016","Former  Server/Bartender  in Bastrop, Texas","["" Benefits aren't great, insurance isn't the best.""]"
1.0,"Nov 15, 2016","Former  Hostess  in Fort Worth, Texas",[' The only benefit is a 50% employee discount.']
4.0,"Nov 14, 2016","Current  Food Server  in Orlando, Florida","["" They offer good benefits to everyone!!! I only wish I could have an HSA and stock options as a team member. They have great benefits. Even the starting out benefits as a part time server, was more than what I had at my previous job as a manager. I am very satisfied with the Benefits it's a huge plus for employment happiness.""]"
4.0,"Nov 07, 2016","Current  Server/Bartender  in Reno, Nevada","[' 50% of meals, 401k plan available after 1yr employment and maintains 30+ hrs a week, part time benefits available when signed up within 30 days of hire date. Receive tips daily. Discounts for cell phone providers, office supplies, and ford motor company']"
4.0,"Oct 24, 2016","Current  Employee  in Austin, Texas","[' 401K, paid vacation, tuition reimbursement']"
1.0,"Nov 08, 2016","Former  Employee  in Detroit, Michigan",[' Benefits package has a massive deductible. Awful copay. Only worthwhile at a management level']
3.0,"Oct 11, 2016","Former  Employee  in Streamwood, Illinois","[' paid vacation for full time, tuition assistance, terrible food discount if your not working, no payed breaks decent discount on food if working']"
3.0,"Sep 27, 2016","Current  Employee  in Garland, Texas",[' Benefits are far from great. Know of multiple managers that use their spouses job insurance instead of what chilies offers.']
