Rating,Review Date,Employee,Description
4.0,"Jan 18, 2018","Current  Employee  in Anaheim, California","[' Pros of the company, perks, discounted food, flexible hours. Cons of the company, health insurance is not the best, long hours']"
5.0,"Dec 20, 2017","Former  Food Server  in San Diego, California",[' they offer great health insurance']
5.0,"Nov 11, 2017","Current  Manager  in Annapolis, Maryland",[' Cost and overall coverage options.']
5.0,"Nov 03, 2017","Current  Dishwasher  in Philadelphia, Pennsylvania",[' there are none that I no of']
5.0,"Nov 02, 2017","Former  Dishwasher/Busboy  in Santa Monica, California",[' The best thing about working there was you can eat and have meals deducted out of your pay check for about $4 a meal. People there are very friendly. The only thing is that it is a fast paced work environment.']
4.0,"Nov 02, 2017","Current  Dishwasher  in Las Vegas, Nevada",[' The best thing about the package it has everything that I am looking for.']
4.0,"Oct 24, 2017","Former  Hostess  in Sarasota, Florida","[' I love that they used Hot Schedules. This app allowed you to take days off or take on shifts. Also, allowing you to see when you worked (15 minute warning) and could message from the app.']"
1.0,"Nov 13, 2017","Former  Server  in Austin, Texas",[' Health Insurance is worthless here.']
1.0,"Nov 07, 2017","Current  Employee  in Atlanta, Georgia","[' It’s important for candidates and employees to know that Cheesecake Factory Benefits only offers a self-insured medical health plan to their employees, meaning they pick and choose what Benefits are covered and they pay for the claims themselves VS. a fully insured plan like Blue Cross/Aetna/United/etc. where a company purchases a plan for their employees and claims fall on the insurance company itself. Quantum Health Coordinators is the company they use to help manage the Covered Benefits and approves/denies claims. Meritain Health pays the approved claims. You DO NOT under any circumstance have Aetna insurance, yet they prefer you to use the Open Access Aetna Network providers and put it on the front of your insurance card making it confusing for employees and providers. If you don’t use that particular network, your claims will likely be denied. They do not cover applied behavior therapy for children with Autism. Most fully funded insurance plans through a work place do cover this therapy for children with Autism. It’s pretty sad. They do offer you to self teach yourself behavioral therapy for your child by watching videos and reading material through the company Rethink (after working 65 hours per week). They do cover speech, occupational, and physical therapy (20 visits each per year). You do get a better medical rate if you are Management, if you and your spouse participate in their wellness incentive program, and are tobacco free. Dental plan is through Cigna, it’s decent, kind, expensive after 2 members. Your selections will be deducted from your pay check. After 6 months of full time employment you can participate in 401k plan through Prudential. They offer a average yearly company match and other retirement products. You get 40 hours (5 days) of vacation after 1 year of full time employment. Thanksgiving Day and Christmas Day are closed and are floating holidays for management only to use upon approval. 18% off of AT&T Wireless service, discounted tickets and products through online perks at work program. 1 free meal per day for management and discounted meals and meal plans for other staff members.']"
5.0,"Oct 03, 2017","Current  Employee  in Saint Louis, Missouri","[' Having health insurance, vacation days']"
5.0,"Sep 20, 2017","Current  Dishwasher  in Orlando, Florida",[' This is a good benefit for employe.']
2.0,"Oct 03, 2017","Current  Employee  in Honolulu, Hawaii","[' health insurance, paid time off, no free food for employees, no paid holdays, blocked days for mandatory work.']"
4.0,"Sep 11, 2017","Former  Km  in Saint Louis, Missouri","[' Great company, takes care of employees, required to work anytime, very late nights, good salaries']"
2.0,"Sep 20, 2017","Current  Employee  in Walnut Creek, California",[' The medical benefits are good if you only go to the doctor once a year.']
3.0,"Sep 08, 2017","Current  Line Cook  in Yonkers, New York State","["" The benefits are affordable because you can choose what you want and don't want but the processes was confusing and I'm not really sure what I'm paying for""]"
4.0,"Aug 12, 2017","Former  Server/Bartender  in Brea, California",[' the offer benefits for part time as long as you work at least a certain amount of hours for a certain amount of time']
3.0,"Aug 18, 2017","Former  Project Manager  in Los Angeles, California",[' days off were ok but not enough']
1.0,"Sep 06, 2017","Current  Dishwasher  in Orlando, Florida",[' This a good benefits for the employes']
3.0,"Aug 15, 2017","Former  Employee  in Sarasota, Florida",[' The choice of insurance and cost of each.']
1.0,"Aug 20, 2017","Current  Server   in Houston, Texas","["" I hate this job honestly but it's hard to leave it when you're trying to fined something better. Dirty and unorganized""]"
5.0,"Jul 20, 2017","Former  Senior 2 manager  in Cincinnati, Ohio",[' Have great benifit package for managers']
