Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""steady job lots of money""",4.0,3.0,3.0,3.0,3.0,3.0," Jan 8, 2018",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,good eviornment and culture nice people,very busy environment and fast,
"""Host""",4.0,3.0,3.0,3.0,2.0,3.0," Jan 2, 2018",Past,Anonymous Employee,"Lexington-Fayette, KY",No,Neutral,Neutral,Full-time,Less than a year,Flexible hours<br>Great people to work with,Pay wasn't very good and little advancement to become a server,
"""Bad management horrible Communication""",2.0,1.0,1.0,3.0,2.0,2.0," Jan 9, 2018",Past,Line Cook,"Tacoma, WA",Yes,Neutral,Neutral,Part-time,More than a year,Get a rise in pay for every station you learn,No Communication. Food is always ran to wrong tables. No report filed for injuries. No support from management after injuries even with doctors notes.,Have 1 person expediting the line so cooks don’t hear the same thing 20 times in 2 minuets. Trust your line cooks.
"""eh""",3.0,1.0,2.0,1.0,1.0,1.0," Jan 7, 2018",Current,Food Server,,No,No,Neutral,Part-time,More than 5 years,"decent money, other workers are nice","Managers dont really care about employees, schedule is inconsistent",
"""Server""",3.0,3.0,3.0,1.0,1.0,2.0," Jan 7, 2018",Current,Server/Bartender,"Woodland Hills, CA",No,No,Neutral,Part-time,,The people you work with make the day go by fast.<br>Tips ok,Menu always changing.<br>Corporation is not good,"If you care about your employees, your employees will care about the restaurant"
"""bjs""",4.0,3.0,4.0,4.0,2.0,4.0," Dec 17, 2017",Past,Anonymous Employee,,Yes,Yes,Yes,Full-time,More than a year,The food was very good.<br>The managers were very nice and understanding and willing to give people carreer oportunities.,"I would get 50% off when i was on the clock but when i just went there to eat i ongly got 25% off the food.<br>surprisingly didnt make good money serving but it was only bc they made me run food most of the time and bc they didnt give me good sections lol<br>It wasnt difficult but it was stressful.<br>Most of the servers were dramatic, and acted like they were still in high school.",
"""Senior managers""",4.0,5.0,3.0,3.0,3.0,3.0," Dec 18, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,More than a year,Good life work balance for the most part.,Micro managing. Culture has changed since I started.,
"""Very Average""",4.0,,,,,," Dec 13, 2017",Past,Host,"Austin, TX",No,Yes,Neutral,Part-time,More than a year,"Employee meals every shift, good food",They don't start you out serving until you have been a host and handled takeout.,None
"""positive""",5.0,5.0,5.0,4.0,4.0,4.0," Dec 13, 2017",Past,"out Cashier, Server","Addison, TX",Yes,Neutral,Neutral,Full-time,More than a year,"opportunity to grow, flexible with scheduling",The menu is huge and learning it can be a challenge,
"""Server""",4.0,5.0,3.0,4.0,2.0,3.0," Dec 11, 2017",Past,Server,"Montebello, CA",Yes,Yes,Yes,Part-time,More than 3 years,"Tips, Management, Work Family, Work Balance","Overwhelming, Rude guests, Management, Hours,",To take more time knowing your team members instead of seeing them as profit.
"""Could Be Great if Not for Okay Training""",4.0,4.0,4.0,4.0,3.0,3.0," Dec 9, 2017",Past,Food Server,"Woodland, CA",Yes,Yes,Neutral,Part-time,More than a year,"They have excellent training resources available, the staff is mostly friendly and helpful",The training resources have to be done correctly for them to work effectively,"There were a few people who trained at the same time I did, we all agree the training is spectacular EXCEPT the manager didn't allow us to follow it all (for instance practicing with the menu/orders/computer) and the managers need to hear what you are asking in order to help you."
"""Cool""",4.0,4.0,1.0,1.0,1.0,1.0," Dec 10, 2017",Past,Bartender,"Colorado Springs, CO",Yes,Yes,Yes,Full-time,More than 3 years,Always hours for you to work overtime,No room for advancement with in company,Nothing
