Rating,Review Date,Employee,Description
5.0,"Jan 14, 2018","Current  Assistant Manager  in Denver, Colorado",[' Health insurance available from first day.']
4.0,"Jan 03, 2018","Current  Employee  in Jonesboro, Georgia","["" It took me out of my comfort zone, working there you'll meet new people and bond with them, putting smiles on the customers faces, and even make new friends from this experience.""]"
2.0,"Dec 21, 2017","Former  Server/Bartender  in Tarentum, Pennsylvania",[' Did not give enough hours to employees for us to have company contribution for the insurance. Co-pays were higher than previous employer.']
1.0,"Jan 02, 2018","Current  Employee  in Berlin, Vermont","["" health care, time off, showers, free meals, bad food, beer, can't drink, don't like blondes, don't like tall people""]"
5.0,"Nov 27, 2017","Current  Server  in Walnut, California","["" If you get 40 hours a week you get some nifty benefits, only bad thing is it's rare you see more than 26 hours""]"
1.0,"Dec 18, 2017","Former  Line Cook  in Wichita, Kansas","[' no health insurance, one-week pto after a year']"
2.0,"Nov 12, 2017","Current  Prep Cook  in Lexington-Fayette, Kentucky","["" I wasn't given a handbook and employee handbook none of the benefits or bereavement policy was never explained my auntie passed away Friday November 10th 2017 and I tried contacting corporate but they were closed in the very next day my job was telling me that I had to come to work I don't know what the bereavement policy is I don't see it online I really need some help can someone please explain to me how did bereavement policy works for Applebee's franchises thank you""]"
1.0,"Nov 22, 2017","Current  Employee  in Pinellas Park, Florida","["" I don't get any because restaurants don't like giving people benefits and everyone is cheap so full time is no longer offered. I need to make this 20 word minimum so I'm just rambling now.""]"
1.0,"Nov 16, 2017","Former  Server   in Kansas City, Missouri",[' None only half price food']
1.0,"Nov 03, 2017","Former  Server/Hostess  in Greenville, South Carolina",[' Best thing u get sick pay but also have to work while sick nothing good to say!!!!']
5.0,"Oct 19, 2017","Former  Employee  in North Conway, New Hampshire","[' I never used the benefits, but the ones explained to me were a good gig for anyone in need of them.']"
3.0,"Oct 18, 2017","Current  Employee  in Huntsville, Alabama","[' Insurance is not strong for crewmembers. Deductible is $5,000. Also, must be full time to get one week vacation and must be there for at least 5 years.']"
3.0,"Oct 06, 2017","Current  Server  in Raleigh, North Carolina",[' The best thing is the half off meals. The worst thing is no health benefits.']
1.0,"Oct 26, 2017","Former  Employee  in Oxford, Mississippi","["" There were no benefits package while I was working at Applebee's.. I was able to meet different people nice or rude""]"
1.0,"Oct 25, 2017","Former  Hostess and waitress because they make you do everything.  in Lithonia, Georgia",[' It’s a lie you don’t get benefits and less you work a certain amount of hours that they won’t give you.']
1.0,"Oct 23, 2017","Former  Server  in Newnan, Georgia","["" As far as I know, no benifits were offered to me. Although I was there less than a year. I'm not sure if they offer any. I should probably note I only worked part time. You do get $5 off an employee meal.""]"
1.0,"Oct 20, 2017","Former  Server/Waitress  in Grand Forks, North Dakota","["" There wasn't a benefits package offered to servers at Applebee's that I was aware of, I am sure they had one through applecore for the managers and supervisors""]"
1.0,"Oct 17, 2017","Current  Server  in Wentzville, Missouri","[' There is no benefits for being a server, well except $5 or 1/2 off if the food is under $10. If 10 or more thats when you get $5 off. So basically $5 is the maximum off your food you will get.']"
1.0,"Oct 10, 2017","Current  Server/Bartender  in Bountiful, Utah",[' There is no benefit package unless in management other than 50% off 1 meal with each paycheck (every two weeks)']
1.0,"Sep 18, 2017","Former  Employee  in Columbus, Ohio",[' Ummm...I did not receive any benefits as I remember it. They discontinued hourly employee benefits during my tenure there.']
5.0,"Sep 03, 2017","Former  Cashier  in Los Angeles, California","["" 401k, Vacation time, amazing people to work with at Applebee's, amazing customers to work for at Applebee's, just an amazing time to work there.""]"
3.0,"Aug 28, 2017","Former  Broil Cook  in Crystal River, Florida",[' Unless you were in management you were n a group plan like an HMO . Not the best health insurance.']
4.0,"Aug 02, 2017","Current  Line Cook  in Laramie, Wyoming",[' room for growth and promotion']
3.0,"Aug 02, 2017","Current  Employee  in Decatur, Illinois",[' the insurance is fantastic. You just pay almost 700 a month for it and it seems to suck all of you check down the toilet. I mean Why does it cost us that much to get standard health care.']
1.0,"Jul 29, 2017","Former  Employee  in Hazleton, Pennsylvania","[' The worst thing about the benefits here is that there are no benefits, unless you are a part of management.']"
1.0,"Jul 24, 2017","Former  Server  in Tallahassee, Florida",[' No significant benefits outside of workers comp and FMLA.']
3.0,"Jun 27, 2017","Former  Waitress  in Greeley, Colorado",[' I did not have one because I was just wait staff. I believe only the managers had benefits packages.']
1.0,"Jul 18, 2017","Former  Host/Hostess  in College Park, Maryland","[' No benefits, limited discount off food.']"
1.0,"Jun 28, 2017","Former  Sever  in Riverdale, New York State",[' The worst thing about the benefits package is that it does not exist. There is no benefit package if you are not working full time. Which is hard to do as a server.']
1.0,"Jun 25, 2017","Former  Prep/Line Cook  in Sicklerville, New Jersey","["" You only get good benefits when in management which you can't move up to""]"
4.0,"Jun 20, 2017","Former  Server  in East Norriton, Pennsylvania","["" That I'm aware of there werent any benifits that were given while working here. If there was it wouldve been appreciated to know about them.""]"
4.0,"Jun 12, 2017","Current  Back of House Specialist  in Petoskey, Michigan",[' Best thing is vacation pay']
5.0,"May 28, 2017","Current  Employee  in Sicklerville, New Jersey",[' Pretty good insurance for being a server. Fairly inexpensive and my current doctors are in my network']
3.0,"Jun 09, 2017","Former  Grill Cook  in Farmington, Missouri","["" I don't recall being offered any benefits with the company , I wasn't there long enough to qualify for the benefits""]"
5.0,"May 25, 2017","Former  manager  in Savannah, Georgia",[' none all were great every time']
3.0,"May 18, 2017","Current  Fry Cook  in Indianapolis, Indiana","["" There are none if you aren't full-time it seems.""]"
1.0,"May 25, 2017","Current  Line Cook  in Fremont, Ohio",[' the 401k is the worst deal of all time']
1.0,"May 03, 2017","Current  Line Cook  in Buffalo, New York State","[' There are no benefits, outside of discounted meals while working, offered to employees at applebees.']"
3.0,"Mar 29, 2017","Former  Hostess  in Oak Ridge, Tennessee","["" They had good health insurance and benefits, but I didn't need any of them. We did get $5 any meal as long as it was over $10.""]"
