Title,Interview Date,Employee Type,Offer,Experience,Interview Type,Application,Interview,Question
Server/Waiter," Oct 23, 2017"," Anonymous Employee in  Escondido, CA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['The process took 2 days. I interviewed at California Pizza Kitchen (Escondido, CA).']","['Very fast, easy, diligent. Everyone who works there is like family and accepts anyone no matter who they are. Tips are crap though and CPK has a horrible ""costumer is always first"" motto where they take every item off the bill if a costumer is slightly uncomfortable.']","[' Why do you want to work here \xa0 ', 'Answer Question']"
Food Server," Aug 1, 2017", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Average Interview'],[],"['Interviewed by three different people, the GM and two assistant managers. Very normal questions asking about how you cope with stress, previous experiences with multitasking, and other behavioral questions. After being interviewed I got a call back after a week or so saying they would like to offer me a job and to come in for orientation with the proper attire']","[' The most difficult question they asked was how I deal with different personalities and precious experiences with multitasking \xa0 ', 'Answer Question']"
Bartender," Nov 17, 2017"," Anonymous Employee in  Palo Alto, CA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took a week. I interviewed at California Pizza Kitchen (Palo Alto, CA) in August 2017.']","[""Easiest interview ever, seemed like I was overqualified for the job. They didn't ask difficult questions, just the typical ones. I didn't have any experience and still got hired. As long as you're outgoing and can hold a conversation, you should be good""]","[' Why do you want to work here? \xa0 ', 'Answer Question']"
Server," Jul 28, 2017"," Anonymous Employee in  Cherry Hill, NJ",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. I interviewed at California Pizza Kitchen (Cherry Hill, NJ) in July 2017.']",['it was great i went in asked for the general manager its was awesome i really liked the managers and the hiring process was really great poll says its awesome place to work'],"[' do you have any prior experience as a server \xa0 ', 'Answer Question']"
Server/Hostess/Take Out," Jul 31, 2017"," Anonymous Interview Candidate in  Boston, MA",['No Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. I interviewed at California Pizza Kitchen (Boston, MA) in July 2017.']","[""The interview went really well. The manager was very nice and made me feel comfortable. We basically just had a simple conversation and then he asked me what my availability was. I was bummed though bc I really wanted to work there, but didn't end up getting it because of my availability. It seemed like a really friendly place to work.""]","[' What is your availability? \xa0 ', 'Answer Question']"
Server," Sep 26, 2017"," Anonymous Employee in  Los Angeles, CA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took a week. I interviewed at California Pizza Kitchen (Los Angeles, CA) in July 2017.']",['Super friendly managers! Made me feel welcome right off the bat. I loved the atmosphere that they created within the restaurant from the moment I stepped through the front door.'],"[' Why do you want to work for cpk? \xa0 ', '1 Answer']"
Server," May 28, 2017", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Average Interview'],['I applied in-person. The process took 2 weeks. I interviewed at California Pizza Kitchen.'],"['Two interviews took place for the interview process', 'The first one was with the assistant manager, and the second one with the general manager at the time. The interviews were short and to the point.']","[' Q: What is your past serving experience \xa0 ', 'Answer Question']"
Host," May 31, 2017"," Anonymous Employee in  Hackensack, NJ",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. The process took 6 days. I interviewed at California Pizza Kitchen (Hackensack, NJ) in May 2017.']",['The hiring process was very easy and quick. I walked up to the host stand and asked to speak to a manager about a position. She got this lady named Vanessa for me. Vanessa told me to meet her for an interview a few days after. I met with Vanessa and partly with her coworker Kevin who also manages. Kevin talked to me briefly but Vanessa really liked me. So then I met with the GM Jesse. Jesse liked me as well the only downside was taking my piercings out it was a positive experience and I enjoy working for the company.'],"[' Tell me about yourself? \xa0 ', 'Answer Question', ' How well do you deal with pressure? \xa0 ', 'Answer Question']"
Hostess," Jun 23, 2017"," Anonymous Interview Candidate in  San Diego, CA",['No Offer'],['Negative Experience'],['Average Interview'],"['I applied online. The process took 6 days. I interviewed at California Pizza Kitchen (San Diego, CA) in April 2017.']","[""They asked me firts my availability, I said that I applied for part time because I was going to school on evenings but I was free mon- friday morning to 4 pm and all weekends and holidays. Then the person who was interviewing me told me that my availability wasn't going to work for them and that he didnt want to waist more time with me since I wont get hired.""]","[' your availability \xa0 ', 'Answer Question']"
Hostess," May 27, 2017"," Anonymous Interview Candidate in  Riverside, CA",['No Offer'],['Positive Experience'],['Easy Interview'],"['I applied through an employee referral. The process took a week. I interviewed at California Pizza Kitchen (Riverside, CA) in March 2017.']","['Easy and quick. Simple questions about what I do in my free time, what I think they value in a hostess, and so on. The manager was very nice and understanding towards me as it was my first job interview ever and I was obviously nervous.']","[' What traits do you think value in a hostess? \xa0 ', 'Answer Question']"
