Title,Rating,Work Life Balance,Culture Values,Career Opportunities,Comp Benefits,Senior Management,Review Date,Current or Past Employee,Employee Title,Location,Recommends,Outlook,Approves of CEO,Full-Time or Part-Time,Time Employeed,Pros,Cons,Advice to Management
"""Hostess/Server""",5.0,5.0,5.0,5.0,2.0,3.0," Jan 8, 2018",Past,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,"Fast paced, clean, flexible hours, great money","Lots of sidework, late nights, no teamwork",Promote more effective teamwork instead of one man for himself!
"""Server""",4.0,4.0,4.0,4.0,4.0,4.0," Jan 8, 2018",Past,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Good company with good benefits,Strict rules for all employees,
"""Fun environment""",5.0,3.0,4.0,3.0,3.0,3.0," Jan 4, 2018",Past,Anonymous Employee,,Yes,Neutral,Neutral,Part-time,,"Great staff, easy to change your schedule if you want or need to.",You don't get your schedule until the beginning of each week and it changes so it makes it hard to plan,None at the location where I worked
"""Server""",5.0,5.0,5.0,5.0,5.0,5.0," Jan 5, 2018",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,Atmosphere is great<br>Management is always involved and available<br>Co workers are helpful,No cons at this time,
"""Worked at Cheese for 9 years""",2.0,3.0,1.0,2.0,3.0,1.0," Jan 5, 2018",Past,Anonymous Employee,,No,No,Neutral,Part-time,,"Good for students as they do offer flexible scheduling<br>Usually good tips<br>The staff (NOT management) really make the job bareable, you become like family","The company and its standards is not anything close to what it used to be.<br><br>Favoritism<br>Frequent management changes<br>Lack of support in upper management<br>Long ticket times which effects the money you will make<br>Does not adhere to their own standards<br>Frequent sexual advancements from upper management<br>Lack of mobility<br>You are just another person on their employment roster of over 300+ employees, so you are easily replaceable and they frequently remind you of it",Treat your employees with more respect.<br>Get back to the original model that Cheese was 10+ years ago.
"""You can't win 'em all""",2.0,2.0,1.0,3.0,2.0,1.0," Jan 6, 2018",Current,Anonymous Employee,,No,Neutral,Neutral,Part-time,,"There are chains all over the country, so you have the flexibility to move anywhere and have a job. This company is also extremely busy, so it is more stable than many restaurant jobs.","The company does not care about its employees. You are just a number. They want you to do things a very specific way, and yet constantly sets you up for failure by not allowing you the supplies you need to perform well. Also, because the company's motto is the ""upmost guest satisfaction,"" even though there are 200 things on the menu we are supposed to still allow the guest to create whatever meal they want. There are 200 things on the menu and the guest can't choose one? Then the kitchen gets mad at you for making their life complicated and yet you are just following the company motto. Ridiculous.",
"""overall great experience""",5.0,5.0,5.0,5.0,5.0,3.0," Dec 20, 2017",Past,Food Server,"San Diego, CA",Yes,Yes,Yes,Part-time,More than 5 years,"Thriving culture. there are so many employees, scheduling is always convenient. very thorough training.",very strict corporate regulations.,
"""The Cheesecake Experience""",2.0,1.0,1.0,2.0,3.0,1.0," Jan 4, 2018",Past,Server/Waiter,"Miami, FL",No,No,Neutral,Full-time,More than a year,I recommend if an individual needs fast income.<br>Convenient for students in school or someone looking for a flexible schedule.<br>Sustainable pay.,Zero room for growth.<br>Lack of appreciation and/or recognition.<br>Abuse of power &amp; poor management.<br>Little teamwork.<br>Overworked staff.,"Acknowledge your staff, listen and understand the needs of your coworkers and the guests as a whole unit. Enforce discipline and provide positive reinforcement. Provide meals to those that stay working a double shift of 12-13hrs of constant movement with nothing to sustain their energy."
"""You are worth more than this place.""",2.0,1.0,5.0,1.0,1.0,1.0," Jan 2, 2018",Past,Server,"Winter Park, FL",No,No,Neutral,Full-time,More than 5 years,Flexible scheduling<br>Scheduling App<br>Moderate sections<br>Discounted meals,No auto-grat<br>Inconsistent scheduling<br>Inconsistent management (changing rules depending on manager)<br>Favoritism<br>Frequent sexual advancements from management to hourly employees,
"""True to the Mission""",4.0,3.0,5.0,3.0,,," Dec 7, 2017",Current,Anonymous Employee,,Neutral,Neutral,Yes,Full-time,More than 10 years,"The Cheesecake Factory is a dynamic place with dedication and excellence demonstrated at every level and at the same time a warm, family atmosphere.","Although they solicit a lot of feedback, it's difficult to determine if your feedback will actually impact change.",
"""Belittling for money""",2.0,5.0,5.0,,,," Dec 24, 2017",Past,Package Handler,"Atlanta, GA",No,No,Neutral,Full-time,Less than a year,We got short breaks every 4 hours,They were short staffed so 1 person would do the job normally given to 3 people,Do not overwork your employees because you are shortstaffed.
"""Manager""",4.0,4.0,5.0,3.0,3.0,3.0," Dec 8, 2017",Current,Anonymous Employee,"Calabasas, CA",Yes,Yes,Neutral,Full-time,Less than a year,Culture and People. Fun environment and lots of food around the Corporate Support Center,Slow decision making by Management.,"Don't be slow to try out new things. Other companies are getting much ahead of the curve leaving us behind, and we are supposed to be the leaders!"
"""Busser""",4.0,4.0,4.0,4.0,3.0,3.0," Dec 7, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Good hours, tips are good.","Long hours, sometimes you don't get out till 2 in the morning.",
"""Server""",4.0,,,,,," Dec 8, 2017",Current,Anonymous Employee,,Yes,Yes,Yes,Part-time,,"Great company culture, flexible hours, caring management","Working all holidays, variable income",
"""Overall, a wonderful and challenging work environment!""",4.0,4.0,3.0,5.0,4.0,4.0," Dec 2, 2017",Past,Server/Bartender,"Sunrise, FL",Yes,Yes,Neutral,Full-time,More than 3 years,"Money is good if you know “the Cheesecake way” and you’re in the right location (I worked at the Sawgrass location and brought home on average $150 a night).<br><br>Room for growth within the company! I started as a server and was promoted to bartender with no bartending experience within a year and a half. If you do your job well and show commitment, they WILL recognize you.<br><br>If you like change and a challenging job, this is the job for you! New menu roll outs happen every six months. Corporate takes items that don’t sell so much off and replaces them with new and exciting dishes.","The larger and more recognized locations (based on annual revenue) have a large amount of servers (52 at my location). Off season can be rough, as management cannot favor veterans. This means you don’t get the 5 shifts a week that you’re used to, resulting in a decrease of weekly and monthly income.<br><br>Management has the revolving door effect. They transfer managers from one location to another for internal reasons (promotions, issues at another location, etc.). Typically, one or two managers out of five or six go within the year. Each manager is assigned to a specific work group (servers, bar, bakery, etc) and managers switch work groups every six months. If a manager doesn’t favor you, good luck because your designated manager makes your schedule. This wasn’t a con for me, but it certainly was for others.",
"""Great Employer""",5.0,5.0,3.0,3.0,3.0,3.0," Dec 5, 2017",Past,Anonymous Employee,,No,Neutral,Neutral,Part-time,,Great company to work for. Very accommodating with schedule,Don't have many cons to talk about,
"""Okay""",3.0,3.0,5.0,3.0,5.0,5.0," Dec 16, 2017",Past,Line Cook,,Yes,Neutral,Neutral,Full-time,More than a year,"Working on the line at one of the busiest locations in the midwest<br>Fun environment, fun people<br>Vast menu",Very low pay rate for start<br>Often overworked,
"""Dadeland location""",2.0,1.0,2.0,3.0,2.0,2.0," Dec 13, 2017",Current,Anonymous Employee,"Miami, FL",No,Neutral,Neutral,Full-time,Less than a year,None other than free bread and soup.,"Zero teamwork, Favoritism, disorganized management,<br>Management discourages teamwork.",Build a team
"""Serving""",4.0,4.0,3.0,4.0,4.0,3.0," Nov 29, 2017",Past,Server,"Raleigh, NC",Yes,Neutral,Neutral,Full-time,More than 3 years,Great fast paced area to work,Management doesnt seem to care about employees,
"""EKM with benefits""",3.0,2.0,4.0,3.0,4.0,3.0," Dec 12, 2017",Past,Executive Chef,"Atlanta, GA",Yes,Yes,Yes,Full-time,More than 3 years,"Good benefits , competitive pay , closed on Christmas and thanksgiving, take one cash one vacations, potential to make more money through steps","Staffing issues and long hours , large menu , Sunday and Saturday brunch menu , inventory every week at 4am",
"""GREAT COMPANY""",4.0,4.0,4.0,3.0,4.0,4.0," Nov 25, 2017",Current,Anonymous Employee,,Yes,Neutral,Yes,Part-time,,Great as far as restaurants go,"late nights, long checkout process",get rid of the cashier end-of-shift check out
