Title,Interview Date,Employee Type,Offer,Experience,Interview Type,Application,Interview,Question
Server/Bartender," Jan 4, 2018", Anonymous Interview Candidate,['No Offer'],['Negative Experience'],['Average Interview'],['I applied online. The process took 2 weeks. I interviewed at Red Robin in December 2017.'],"['I applied online for a position in a new location. They called multiple times, always at night, which made it confusing for me as to when I should call back.', 'When I finally set up an interview, I walked into the yet-to-open location. One of the managers brought out a book and asked questions based on the book. It lasted about 15 minutes. She told me to wait for the GM, who was speaking with another candidate.', ""The GM came over after 15 minutes and asked me the exact same questions as the lower-level manager. I answered the questions and when it came time for my questions, I asked a few. To every response, he had a long, drawn out answer, pontificating about his management and success. He spoke for a solid 45 minutes. About halfway through one of his tirades, I realized that I didn't want this position, but didn't know how to excuse myself from him as he kept speaking.""]","[' Tell me about yourself \xa0 ', 'Answer Question', ' Why Red Robin? \xa0 ', 'Answer Question', "" What's your availability? \xa0 "", 'Answer Question', ' Tell me about your work experience, relevant and non-relevant. \xa0 ', 'Answer Question']"
Server," Sep 10, 2017", Anonymous Employee,['Accepted Offer'],['Negative Experience'],['Easy Interview'],['I applied in-person. I interviewed at Red Robin.'],"['The interview process at this location was brief (barely an interview). Quick and easy. Only a couple of questions were asked and the job was basically given on the spot. This is a revolving door atmosphere and when they are desperate to hire they do not spend much time or thought on who they bring into the company. This usually leads to less than satisfactory results so a better screening process would be preferred. For those looking to get a job asap, with little hassle, this may work for you. However, the imbalance of work ethic due to the way they choose to interview and lack of care for the employees they hire is frustrating.']","[' Why do you think you would be good for this job? \xa0 ', 'Answer Question']"
Kitchen Manager," Sep 7, 2017"," Anonymous Interview Candidate in  Amarillo, TX",['No Offer'],['Positive Experience'],['Average Interview'],"['I applied online. I interviewed at Red Robin (Amarillo, TX) in September 2017.']",['HR was very prompt in setting up a phone interview with me. She called at the scheduled time and we used the entire 45 minutes she had told me about in advance'],"[' What was my experience level in managing kitchen employees and if I was bilingual. \xa0 ', '2 Answers']"
Server," Oct 30, 2017"," Anonymous Employee in  Fairfax, VA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. The process took 2 days. I interviewed at Red Robin (Fairfax, VA) in September 2017.']",['Sat down and spoke with 3 managers about pay and ability to withstand long walking and possibly doubles. Which is 10am to 11pm everything is done on an iPad and then orientation which is a couple videos'],"[' Basic resturant scenarios and team member ability questions \xa0 ', '1 Answer']"
Food Server," Aug 26, 2017", Anonymous Interview Candidate,['No Offer'],['Negative Experience'],['Difficult Interview'],['I applied in-person. I interviewed at Red Robin.'],"[""I applied online, then went into the restaurant the next day. spoke with GM and was told that since I didn't get the assessment test then they can't find me in the computer and there was nothing they can do. He then told me to hold on and he would get the hiring manager, he came out and told me to apply again with a different email and the test would come through. Well here I am 4 different email addresses late and on 2 different computers and still no assessment test. I called this morning and was told there is nothing they can do.""]","[' how much experience do you have? \xa0 ', 'Answer Question']"
Food Server," Aug 8, 2017"," Anonymous Employee in  Sherwood, OR",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. I interviewed at Red Robin (Sherwood, OR).']",['I applied online. I went into the store to give the Managers a resume. They sent it back and told me simply to apply online. Managers sat down with me and chatted. Standard interview questions were asked. Interview was easy. Management was friendly. Looking at other people who were interviewed I realize now I tried much harder than other people who were hired. Many people came to interview in jeans and t shirt and were hired.'],"[' How would you manage a situation where you were triple sat? \xa0 ', '1 Answer']"
Host/Hostess," Aug 15, 2017"," Anonymous Interview Candidate in  Manchester, NH",['No Offer'],['Negative Experience'],['Easy Interview'],"['I applied in-person. I interviewed at Red Robin (Manchester, NH) in August 2017.']","[""Went in and asked if they were hiring they told me to apply online and I would her back within 2-3 days. I didn't hear anything so I went back and got a formal interview the next day. It went well but then was told I should also meet with the front of house manager the next day. I went in and was sat and told a manager would be right out. I sat there and waited for an hour. The manager never met with me nor did another server check in to see what I was waiting for or anything. It was ridiculous to have something scheduled at a certain time (so they should be prepared) and then sit there for an hour and still nothing.""]","[' describe the kind of interaction you had with customers at your previous job \xa0 ', 'Answer Question']"
Accounts Payable Specialist," Jul 24, 2017"," Anonymous Employee in  Greenwood Village, CO",['Accepted Offer'],['Negative Experience'],['Easy Interview'],"['I applied through an employee referral. I interviewed at Red Robin (Greenwood Village, CO).']",['The interview process was so laid back and easy. It made you feel comfortable and relaxed. At times it did seem a little rushed though as if they had more pressing issues. If you are going to schedule an interview make sure you leave yourself with enough time to actually talk with the candidate.'],"[' Why are you looking to change jobs \xa0 ', '1 Answer']"
Server," Aug 5, 2017"," Anonymous Employee in  Houston, TX",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. I interviewed at Red Robin (Houston, TX) in July 2017.']","['The process was very easy, I came in during a slow hours and was hired on the spot. They asked more questions about me and why I wanted to work at red robins and my experience. I had NO experience.']","[' Why do you want to work here \xa0 ', 'Answer Question']"
Host," Sep 9, 2017"," Anonymous Employee in  Tukwila, WA",['Accepted Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. I interviewed at Red Robin (Tukwila, WA) in July 2017.']",['Filled out an application online and received a prompt phone call for an interview. I met with two managers and interviewed with both of them separately. Hired immediately.'],"[' When was a time you went above and beyond for a guest? \xa0 ', 'Answer Question']"
General Manager," Jun 6, 2017"," Anonymous Employee in  Washington, DC",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. I interviewed at Red Robin (Washington, DC).']","[""The process was pretty normal didn't take long was given a tour as part of the process discuss the focus of the company the culture and the vision of the brand also talked about the role of the general manager""]","[' How do I rate my management style \xa0 ', 'Answer Question']"
Line Cook," Sep 24, 2017"," Anonymous Employee in  Hershey, PA",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. The process took a week. I interviewed at Red Robin (Hershey, PA) in June 2017.']","['I put in an online application, it had a standard questionnaire and resume submission. I also had a recommendation from a friend who worked there. I filled it all out and hit submit, I got a phone call the next day. My interview was a week later and it was short and to the point. I already had a recommendation and job experience so I think that was enough for him.']","[' Are you okay with long hours, standing for 10+ hours? \xa0 ', 'Answer Question']"
Line Cook/Prep Cook," May 30, 2017"," Anonymous Employee in  Factoria, WA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied in-person. I interviewed at Red Robin (Factoria, WA).']","['Walked in and asked if they were hiring, they were not busy and the GM was available so he said he could give me an interview onsite then apply online if I was interested following the interview. He asked after the interview if I was interested in working at their facility, and that they could always use extra help in the kitchen and that all I needed to do was submit my application online and they would get back to me after it was completed and reviewed. I started working that weekend.']","[' What are your previous work experiences? And what were your duties while employed? \xa0 ', '1 Answer', ' Any experience with food preparation, or cooking? \xa0 ', '1 Answer']"
Server," Apr 1, 2017"," Anonymous Employee in  Valparaiso, IN",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. I interviewed at Red Robin (Valparaiso, IN).']","['Was interviewed one-on-one with first the assistant manager, then immediately afterwards I went on to be interviewed by the general manager. Once hired after interviewing with the general manager, I was asked to came back later the same day to participate in a group orientation process with the other hired applicants.']","[' Why do you want to work for Red Robin? \xa0 ', 'Answer Question']"
Manager," Mar 20, 2017"," Anonymous Interview Candidate in  Denver, CO",['No Offer'],['Negative Experience'],['Easy Interview'],"['The process took 2+ months. I interviewed at Red Robin (Denver, CO).']","[""Terrible experience with this company. They reached out to me first, had two phone interviews regarding the open position, then had to email them 3 separate times over the course of a month to receive any sort of feedback. Company seems very poorly run and management needs to seriously evaluate their recruiters. I won't ever consider a position with this company in the future.""]","[' Have you been to one of our restaurants? \xa0 ', 'Answer Question']"
Hostess," Mar 14, 2017", Anonymous Interview Candidate,['No Offer'],['Neutral Experience'],[],[],"['There were walk in interviews as a new location was opening up in my hometown. I was seated at a table in the back and handed a cute little application. After filling it out a manager approached me to start the interview. The interview was very quick and quite awkward. Afterwards he told me that he would call back in a day or two, but he never did. I needed up calling to check on my application myself, but then I found out that he actually never submitted my application.']","[' Tell me about yourself. \xa0 ', 'Answer Question', ' What skills would you bring to the team? \xa0 ', 'Answer Question']"
Line Cook," Dec 27, 2017"," Anonymous Employee in  Center Valley, PA",['Accepted Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. The process took 1 day. I interviewed at Red Robin (Center Valley, PA) in March 2017.']","['Quick. they offered me something i didnt want, at no experience. No wonder there is such a high turn over rate. The guy stared at my mamorys, i was literally hired in 3 seconds.']","[' What position do you want? \xa0 ', '1 Answer']"
Host," Feb 27, 2017"," Anonymous Interview Candidate in  Wareham, MA",['No Offer'],['Negative Experience'],['Average Interview'],"['I applied online. The process took 1 day. I interviewed at Red Robin (Wareham, MA).']","[""I went in to be interviewed. I didn't have a good feeling on my chances. I felt like a number. I felt an instant dislike of me right after I finished. I later got sick eating there so I never went back ever again.""]",[]
Line Cook," Feb 24, 2017"," Anonymous Employee in  Tacoma, WA",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied through other source. The process took 1 day. I interviewed at Red Robin (Tacoma, WA).']","['The Interview went very well, I was hored on the spot and the process was very comfortable. The manager asked me if I would like any beverage before we started.']","[' Why would I hire myself. \xa0 ', '1 Answer']"
Busser," Feb 16, 2017"," Anonymous Interview Candidate in  Latham, NY",['No Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. The process took 2 weeks. I interviewed at Red Robin (Latham, NY) in February 2017.']",['I applied online and revieved a call two weeks later. I went in the next day for the interview and they asked me about my availability and my ability to multitask.'],"[' Tell me about a situation where you had to do multiple tasks at once \xa0 ', 'Answer Question']"
Customer Service," Apr 18, 2017"," Anonymous Employee in  Wellington, FL",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied through an employee referral. I interviewed at Red Robin (Wellington, FL) in February 2017.']",['Easy interview with general manager. Filled in an application and waited for response. Was hard within a week. The general manager was very thorough in explaining the Job and the expectations. Focused on prior experience'],"[' Work experience \xa0 ', '1 Answer']"
Server/Waitress," Nov 16, 2017"," Anonymous Employee in  Vestal, NY",['Accepted Offer'],['Neutral Experience'],['Average Interview'],"['I applied through an employee referral. The process took a week. I interviewed at Red Robin (Vestal, NY) in February 2017.']","[""It was a little bit hectic and unorganized. It also went very fast once it started, but that took a while. Not many questions were asked and why I was being hired for a different position than what I'd applied for was not explained to me.""]","[' The typical question of describing a time I was part of a relevant team environment. \xa0 ', 'Answer Question']"
Line Cook," Jan 22, 2017"," Anonymous Employee in  Puyallup, WA",['Accepted Offer'],['Positive Experience'],[],"['The process took 1+ week. I interviewed at Red Robin (Puyallup, WA).']","['The manager asked me a lot o f questions about job history and how well I handle pressure. It was pretty relaxed, he asked how much money I make in my current position and if they offer any benefits']","["" How do you stay organized when it's busy? \xa0 "", 'Answer Question']"
Server," Jan 3, 2017", Anonymous Employee,['Accepted Offer'],['Positive Experience'],['Easy Interview'],['I applied online. I interviewed at Red Robin.'],"['Fast and easy process, was hired on the spot. I had no previous serving experience and I am glad they gave me a chance. Manager was very nice and I walked out very happy and excited to start working.']","[' Why do you want to work for Red Robin? \xa0 ', 'Answer Question']"
Busser," Jan 2, 2017"," Anonymous Employee in  Pickerington, OH",['Accepted Offer'],['Neutral Experience'],['Easy Interview'],"['I applied online. The process took 1 day. I interviewed at Red Robin (Pickerington, OH).']",['It was quick. Interview took less than 10 minutes and I was hired on the spot. He only asked what I wanted to do and about my availability. Very easy interview'],[]
Dishwasher," Jun 11, 2017"," Anonymous Employee in  National City, CA",['Accepted Offer'],['Negative Experience'],['Easy Interview'],"['I applied online. I interviewed at Red Robin (National City, CA) in January 2017.']","[""The first interview went great. Management seem a little weirded out that I was a girl submitting a application to be a busser. I got a call back fro second interview, but when i came in I didn't meet with management because he was busy. The kitchen manager informed that I was placed as a hostess instead of a dish washer.""]","[' Ask simple question about the responsibilities of busser. \xa0 ', 'Answer Question']"
Server," Dec 30, 2016", Anonymous Employee,['Accepted Offer'],['Negative Experience'],['Easy Interview'],[],['it was an awesome process and really easy. they ask the basic questions about your previous experiences and what your availability is and they want to make sure that you work well with others. They have you serve a table to practice in front of them'],"[' availability', 'able to work holidays', 'what do you do when you have a difficult customer \xa0 ', 'Answer Question']"
Host," Jun 15, 2017"," Anonymous Employee in  Los Angeles, CA",['Accepted Offer'],['Positive Experience'],['Easy Interview'],"['I applied online. I interviewed at Red Robin (Los Angeles, CA) in December 2016.']","['Relaxed, quick, and easy. It took a while for my application to be reviewed and to receive the call for an interview. After that the process was quick and I was trained within a week of my first interview.']","[' How would you greet an overwhelmed guest? \xa0 ', 'Answer Question']"
Restaurant Manager," Nov 22, 2016"," Anonymous Interview Candidate in  Allentown, PA",['No Offer'],['Negative Experience'],['Average Interview'],"['I applied through an employee referral. The process took 2+ months. I interviewed at Red Robin (Allentown, PA).']","[""It took 4 interviews and me traveling back and forth from New York to Allentown, PA to be told they were moving in another direction.References are checked after your second interview and I was told that at my 4th interview my references weren't that strong. My 2 previous supervisor never got a call from HR regarding my employent. Then I was told that they weren't in need of management but interviewing just to see if someone could blow them away and if so they would offer employment. I felt like they gave the run around at the end. I have worked for major food companies in Times Square, Bryant Park and passed every interview with Red Robin except for the final with the HR manager. I feel like it was not worth the running around and I would never recommend anyone go through that experience. I loved this restaurant and give credit to the people working in operations each day but the corporate office was a complete dissapointment.""]","[' The HR manager asked me what I was making? I told her and stated that I understand being in PA there is a lower rate of pay. She took that as me asking for that amount and told me that one reason she denied employment with me is because I was demanding NY money. \xa0 ', 'Answer Question']"
Host," Nov 7, 2016"," Anonymous Employee in  Munhall, PA",['Accepted Offer'],['Positive Experience'],['Average Interview'],"['I applied online. The process took 2 days. I interviewed at Red Robin (Munhall, PA).']",['It was a two part interview. The first manager interviewed me and asked trick questions. He had more but only asked me 3 since i had no prior experience they didnt apply to me. Then the higher up manager did a follow up right after him and described the job responsibilities.'],"[' If i was working on a group project and We each had out own sections to complete and needed to be done the next day, but i was no where near complete with my own section while the others were almost complete, what would i do to get my project complete in time. (They may word it differently) when fist asked it was worded poorly and the manager had to elaborate for me but not all managers might do the same. The original question was , if i had to complete a project in a specific time frame and was nowhere near done, what would i do to complete it in time? \xa0 ', '1 Answer', ' Describe a time when i had to persuade someone to do something or turn them into a different direction. \xa0 ', 'Answer Question', ' Describe a time when you had to deal with an irate customer and how did you handle the situation. \xa0 ', 'Answer Question']"
