Name,Price,Description
Avocado Egg Rolls,$10.95,Avocado | cream cheese | sun-dried tomatoes | red onions | cilantro | chipotle peppers | sweet tamarind dipping sauce (cal. 1060).
BJ’s Brewhouse Burger*,$8.25,Lettuce | tomatoes | pickles (cal. 1000).
Jumbo Spaghetti and Meatballs,$15.25,Housemade meatballs | San Marzano marinara | fresh garlic | red pepper flakes | fresh basil | parmesan cheese (cal. 1460).
Pizookie® Trio,$9.95,Your choice† of three mini pizookies. ® each served with a scoop of ice cream (cal. 1740-2160).
"Great White® (Mini 6"")",$11.95,4 slices. Grilled chicken | creamy alfredo | mushrooms | roasted garlic | parmesan cheese | seasoned tomatoes (180 calories per slice).
Avocado Egg Rolls,$10.95,Avocado | cream cheese | sun-dried tomatoes | red onions | cilantro | chipotle peppers | sweet tamarind dipping sauce (cal. 1060).
Crispy Flatbread Nachos,$9.95,Crispy flatbread chips | black beans | BJ’s signature five cheese blend | jack + cheddar cheese | sour cream | shredded lettuce | pico de gallo | jalapeños | avocado (cal. 890).
Ahi Poke*,$10.95,Sashimi grade ahi tuna | green + yellow onions | poke sauce | diced avocados | crisp wonton chips (cal. 320).
Chicken Lettuce Wraps,$10.75,Sautéed chicken | mushrooms | water chestnuts | celery | green onions | garlic | crisp wonton strips | sesame soy sauce | hot Chinese mustard (cal. 540).
Spinach and Artichoke Dip,$9.95,Spinach | artichokes | cream cheese | parmesan cheese | crisp corn tortilla chips (cal. 1050).
Crisp Potato Skins Platter,$9.95,Lightly fried potato skins | jack + cheddar cheese | applewood smoked bacon | green onions | sour cream dip | ranch (cal. 1190).
Mozzarella Sticks,$8.95,Garlic butter breading | parmesan cheese | San Marzano marinara (cal. 810).
Crispy Fried Artichokes,$5.25,Lightly breaded artichoke hearts | parmesan cheese | lemon garlic aioli dip (cal. 390).
Chicken Pot Stickers,$9.95,Pan-seared dumplings | tender chicken | ginger | garlic | yellow chives | green onions | soy ginger sauce | toasted sesame seeds (cal. 420).
Sliders*,$9.50,Four beef patties | fluffy mini buns | grilled onions | lettuce | pickles | ketchup (cal. 880).
Sliders* with Fries,$10.75,Four beef patties | fluffy mini buns | grilled onions | lettuce | pickles | ketchup | served with fries (cal. 880).
Spinach Stuffed Mushrooms,$6.25,"Plump, juicy mushrooms | BJ’s spinach and artichoke dip | feta cheese | red onions | herb bread crumbs | parmesan cheese | a drizzle of lemon pesto sauce (cal. 280)."
Honey Sriracha Brussels Sprouts,$5.95,"Crisp, lightly fried brussels sprouts | big poppa smokers’ desert gold seasoning | sweet sriracha crema (cal. 160)."
Best Beginnings® Appetizer Combo,$18.25,Spinach and artichoke dip | mozzarella sticks | avocado egg rolls | boneless wings (cal. 2170-2300).
Crispy Calamari,$10.95,Lightly breaded calamari | big poppa smokers’ desert gold seasoning | San Marzano marinara | lemon garlic aioli (cal. 590).
Pepperoni Extreme,$10.50,"Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend | zesty pizza sauce (8 slices–cal. 190/slice)."
Margherita Fresca,$9.95,Fresh mozzarella | sweet tomato sauce | fresh basil | parmesan cheese (8 slices–cal. 100/slice).
California Club,$10.50,Grilled chicken | applewood smoked bacon | seasoned tomatoes | BJ’s signature five cheese blend | avocado | a drizzle of roasted garlic aioli (8 slices–cal. 110/slice).
Bone-in Chicken Wings,$11.50,"Crispy, bone-in wings | tossed in your choice of our signature sauces or dry rubs (cal. 750)."
Boneless Wings,$10.95,A full pound (pre-cooked weight) of all-white-meat boneless wings | tossed in your choice of our signature sauces or dry rubs (cal. 870).
BJ’s Original Wings,$11.50,"Crispy, bone-in wings | drizzled with hot and spicy buffalo + ranch | celery sticks | extra sauce for dipping (cal. 820)."
Root Beer Glazed Ribs,$10.50,Five slow-roasted baby back pork ribs | BJ’s handcrafted root beer glaze | spicy sriracha slaw | green onions (cal. 490).
Turmeric-Roasted Cauliflower,$4.95,Turmeric-roasted cauliflower florets | lentils | green onions | toasted almonds (cal. 280).
Creamy Couscous Mac & Cheese,$4.95,Israeli couscous | jack + cheddar cheese sauce | chopped bacon | tomatoes | green onions | parmesan bread crumbs | basil (cal. 590).
Garlic Parmesan Knots,$4.95,Garlic bread knots | parmesan cheese | parsley | San Marzano marinara (cal. 470).
Roasted Golden Beets,$4.95,Roasted golden beets | goat cheese | balsamic glaze | fresh basil (cal. 160).
Regular Cut Fries,$3.25,
Sweet Potato Fries,$4.95,Crispy sweet potato fries (cal. 330).
New Fried Wisconsin Cheese Curds,$6.50,Fried cheese curds | parmesan cheese | ranch for dipping.
New Brewhouse Meatballs,$6.50,Housemade meatballs | BJ’s pm porter® mushroom gravy | white cheddar mashed potatoes.
New Hickory Smoked Sausage,$6.50,Smoked sausage | dill pickles | pita bread | pickled red onion | honey Dijon mustard.
New Blistered Shishitos & Crispy Pepperoni,$6.50,Blistered shishito peppers | crispy pepperoni.
Twisted BLT,$5.50,Baby spinach | diced tomatoes | bleu cheese crumbles | honey sriracha vinaigrette | applewood smoked bacon | chopped hard-boiled egg (cal. 220).
Golden Beet and Arugula,$5.50,Diced golden beets | arugula | red onions | strawberry vinaigrette | goat cheese | toasted almonds | dried cranberries (cal. 120).
Roasted Portobello and Asparagus,$5.50,Sliced Portobello mushrooms | asparagus | baby field greens | balsamic vinaigrette | dried cranberries | goat cheese | toasted pepitas (cal. 290).
Sriracha Queso Dips,$6.25,"Housemade sriracha queso | jack + cheddar cheese | green onions | crispy corn tortilla chips | choice of topping: seared hatch chiles | piranha® pale ale chili"" (cal. 880/960)."
Housemade Guacamole and Chips,$5.25,Housemade guacamole | fire roasted salsa | corn tortilla chips (cal. 780).
Chips and Fire-Roasted Salsa,$4.25,Fire-roasted salsa | corn tortilla chips (cal. 600).
Baby Back Pork Ribs,$18.75,Slow-roasted overnight baby back ribs | big poppa smokers’ sweet money championship rub | BJ’s peppered BBQ sauce.
BJ’s Classic Rib‑Eye*,$23.25,"Juicy, well-marbled, fresh 14 oz. M (pre-cooked weight) rib-eye (cal. 1080)."
House Top Sirloin*,$15.95,"Thick, tender house special sirloin (cal. 500)."
Enlightened Spicy Peanut Chicken with Soba Noodles,$13.50,Chicken breast | broccoli | carrots | spicy peanut sauce | almonds | sesame seeds | lime | cilantro | buckwheat soba noodles (cal. 1040).
Fresh Atlantic Salmon*,$18.75,Flame-broiled or blackened salmon fillet | lemon chardonnay butter sauce | rice pilaf | steamed broccoli (cal. 840/870).
New Orleans Jambalaya,$17.50,Blackened chicken breast | sautéed shrimp | chicken-andouille sausage | bell peppers | white onions | tomatoes | Cajun-spiced broth | rice pilaf (cal. 1140).
BJ’s Brewhouse Blonde® Fish ’N’ Chips,$14.50,Lightly fried cod fillets | BJ’s brewhouse blonde® batter | fries | housemade tartar sauce (cal. 1110).
Parmesan-Crusted Chicken,$15.95,Chicken breast | lemon chardonnay butter sauce | sun-dried tomatoes | fresh basil | parmesan cheese | white cheddar mashed potatoes | steamed broccoli (cal. 1140).
New Peruvian Quinoa Bowl,$9.75,Gluten-free item. Peruvian quinoa + brown rice blend | sautéed red onions | sliced mushrooms | sautéed spinach | seasoned tomatoes | a drizzle of extra virgin olive oil + lemon juice | choice of herb-roasted protein.
Spicy Peanut Chicken with Soba Noodles,$13.50,Chicken breast | broccoli | carrots | spicy peanut sauce | almonds | sesame seeds | lime | cilantro | buckwheat soba noodles (cal. 1040).
Barbeque Bison Burger*,$11.75,"Seasoned, lean, all-natural ground buffalo | BJ’s peppered BBQ sauce | seared hatch chiles | pico de gallo | baja sauce | red onions | lettuce | toasted parker house bun | side of tangy slaw (cal. 700)."
