Rating,Number Of Ratings,Address
N/A,Newly Added,"6825 Houston Rd, Florence, KY 41042, USA"
32 oz Soft Drinks/Tea/Lemonade,$2.99,Most Popular, 
Skillet Queso and Chips,$8.49,Most Popular,Cheese dip with seasoned beef. Served with warm tostada chips & fresh salsa.
Dinner for 2,$22.00,Most Popular, 
Triple Dipper,$13.49,Most Popular,Combine your 3 favorite appetizers! Served with dipping sauces.
Homestyle Fries,$2.50,Most Popular, 
Chips & Salsa,$5.29,Most Popular,"Our signature, extra-thin corn tostada chips made fresh daily. Served with our fresh salsa."
Bacon Ranch Quesadillas,$11.49,Most Popular,"Flour tortillas stuffed with chicken or beef, 3-cheese blend, southwestern spices, applewood smoked bacon and ranch dressing. Served with house-made pico de gallo, sour cream, and ancho chili ranch."
Crispy Honey-Chipotle Chicken Crispers,$11.89,Most Popular,"Extra crispy hand-breaded chicken tossed in our signature honey-chipotle sauce. Served with homestyle fries, corn on the cob & house-made ranch dipping sauce."
Mix & Match Fajitas (2),$21.98,Most Popular,"Our signature sizzling fajitas served with sliced bell peppers and caramelized onions, topped with chipotle-garlic butter and chopped cilantro."
Cajun Chicken Pasta,$12.49,Most Popular,"Smothered in Alfredo sauce with a hint of Cajun spice, topped with shredded Parmesan, diced tomatoes & chopped green onions. Served with garlic toast."
Fried Pickles,$7.49,For The Table,House-made garlic dill pickles hand-battered & fried. Served with house-made ranch dressing.
Spiced Panko Onion Rings,$7.49,For The Table,Crispy panko breaded onion rings dusted with southwestern spices. Served with house-made ranch dressing.
Triple Dipper,$13.49,For The Table,Combine your 3 favorite appetizers! Served with dipping sauces.
California Grilled Chicken Flatbread,$11.99,For The Table,"Topped with grilled chicken, applewood smoked bacon, tomato sauce, Monterey Jack, mozzarella, chopped cilantro, house-made pico de gallo, fresh sliced avocado & a drizzle of roasted garlic-aioli."
Margherita Flatbread,$9.99,For The Table,"Classic with a definite southwest accent. Topped with Monterey Jack, mozzarella, roasted garlic aioli & fresh tomatoes with a drizzle of cilantro-ranch pesto (this dish contains nuts)."
Southwestern Eggrolls,$10.99,For The Table,"A Crispy flour tortillas stuffed with juicy smoked chicken, black beans, corn, jalapeño Jack cheese, chopped red peppers & spinach. Served with avocado-ranch sauce."
Boneless Buffalo Wings,$10.99,For The Table,Hand-tossed in our spicy Buffalo sauce. Served with cool bleu cheese dressing & fresh celery.
Wings Over Buffalo,$10.99,For The Table,Hand-tossed in our spicy Buffalo sauce. Served with cool bleu cheese dressing & fresh celery.
Skillet Queso and Chips,$8.49,For The Table,Cheese dip with seasoned beef. Served with warm tostada chips & fresh salsa.
Chips & Salsa,$5.29,For The Table,"Our signature, extra-thin corn tostada chips made fresh daily. Served with our fresh salsa."
