Rating,Number Of Ratings,Address
4.9/5,10 ratings,"4515 Weston Rd, Weston, FL 33331"
Bigger Baby Back Ribs,$11.69,Most Loved, 
Oldtimer,$8.59,Most Loved,"1170 cal. The original. Pickles, lettuce, tomato, red onion, mustard."
Southwestern Eggrolls,$8.99,Most Loved,"Favorite. 800 cal. These aren’t your ordinary eggrolls. Crispy flour tortillas, chicken, black beans, corn, jalapeño jack cheese, red peppers, spinach. Served with avocado-ranch."
Crispy,$10.89,Most Loved,"Spicy level 2. 1450-1590 cal. Served with choice of honeymustard, BBQ sauce or house-made ranch."
Triple Dipper,$12.19,Most Popular,Choose any three. Served with dipping sauces.
Meal for 2,$22.00,Most Popular, 
Loaded Mashed Potatoes,$1.99,Most Popular,380 cal.
Bone-in Wings,$10.39,Most Popular,"560-940 cal. Hand-tossed in choice of sauce, celery, dipping sauce."
Fries,$1.99,Most Popular,390 cal.
Tostada Chips,$4.19,Most Popular,Extra-thin corn tostada chips made fresh daily.
Kraft Macaroni & Cheese,$5.20,Most Popular,430 cal.
Combine Any Two,$16.69,Most Popular,1340-1650 cal.
Quesadilla Explosion Salad,$11.39,Most Popular,"Favorite. 1400 cal. Grilled chicken, cheese, tomatoes, corn & black bean salsa, tortilla strips with citrus-balsamic. Served with cheese quesadillas."
Chicken Dippers Crispy,$5.50,Most Popular,500 cal.
Southwestern Eggrolls,$8.99,Apps to Share,"Favorite. 800 cal. These aren’t your ordinary eggrolls. Crispy flour tortillas, chicken, black beans, corn, jalapeño jack cheese, red peppers, spinach. Served with avocado-ranch."
Tostada Chips,$4.19,Apps to Share,Extra-thin corn tostada chips made fresh daily.
Skillet Queso,$6.69,Apps to Share,Favorite. 1590 cal. Your chip’s favorite dip for over 25 years. Original with beef. Served with chips & salsa.
White Spinach Queso,$7.59,Apps to Share,"1510 cal. With pico, guacamole, cilantro. Served with chips & salsa."
Margherita Flatbread,$8.99,Apps to Share,"1420 cal. Jack cheese, mozzarella, garlic aioli, cilantro, pico, cilantro-ranch pesto."
Honey-Chipotle Crispers & Waffles,$6.59,Apps to Share,"1000 cal. Topped with bacon, jalapeños, ancho-Chile ranch."
Crispy Cheddar Bites,$6.79,Apps to Share,"990 cal. White and yellow Wisconsin cheese curds topped with Chile spices, cilantro. Served with ancho-Chile ranch."
Spiced Panko Onion Rings,$6.79,Apps to Share,"950 cal. Onion rings, Chile spices. Served with house-made ranch."
Loaded Boneless Wings,$10.39,Apps to Share,"1440 cal. Smothered in white queso, shredded cheese, bacon, green onions. Served with house-made ranch."
Boneless Wings,$10.19,Apps to Share,"1090-1140 cal. Hand-tossed in choice of sauce, celery, dipping sauce."
Bone-in Wings,$10.39,Apps to Share,"560-940 cal. Hand-tossed in choice of sauce, celery, dipping sauce."
California Turkey Club,$9.79,Sandwiches & Soups,"1480 cal. Bacon, avocado, tomato, red onion, provolone, lettuce, cilantro-pesto mayo on wheat Texas toast."
Buffalo Chicken Ranch Sandwich,$9.89,Sandwiches & Soups,"Favorite. 1260 cal. Crispy chicken with spicy buffalo sauce, tomato, lettuce, house-made ranch on a brioche bun. This cool chick can bring the heat."
Bacon Avocado Grilled Chicken Sandwich,$10.59,Sandwiches & Soups,"1520 cal. You definitely won’t be hungry later. Grilled chicken, bacon, provolone, avocado, sauteed onions, lettuce, tomato, cilantro-pesto mayo on a toasted buttery roll."
Chicken Enchilada Soup,$3.49,Sandwiches & Soups,"220/440 cal. Tortilla strips, shredded cheese."
New England Clam Chowder,$3.69,Sandwiches & Soups,190/370 cal.
Terlingua Chili,$3.89,Sandwiches & Soups,"Favorite. 210/420 cal. Slow-cooked with beef, poblanos, jalapeños, onions. Topped with shredded cheese."
"Chili, Chowder or Soup & Salad",$7.29,Sandwiches & Soups,"Bowl of chili, chowder or soup with a house salad or fresco salad."
Santa Fe Crispers Salad,$10.99,Fresh Salads,"New. 940 cal. Pico, avocado, cilantro, tortilla strips, house-made ranch & a drizzle of spicy santa fe sauce."
Boneless Buffalo Chicken Salad,$10.39,Fresh Salads,"970 cal. Crispy chicken tossed in spicy buffalo sauce, bacon, bleu cheese crumbles, pico, tortilla strips with house-made ranch."
Quesadilla Explosion Salad,$11.39,Fresh Salads,"Favorite. 1400 cal. Grilled chicken, cheese, tomatoes, corn & black bean salsa, tortilla strips with citrus-balsamic. Served with cheese quesadillas."
Caribbean Salad,$11.39,Fresh Salads,"Pineapple, mandarin oranges, dried cranberries, red bell peppers, green onions, cilantro, sesame seeds with honey-lime dressing."
Fresco Side Salad,$3.99,Fresh Salads,"130 cal. Spring mix, queso fresco with honey-lime vinaigrette."
House Side Salad,$3.99,Fresh Salads,"280-420 cal. Tomatoes, red onions, cucumbers, shredded cheese, garlic croutons with dressing."
Triple Dipper,$12.19,Triple Dipper,Choose any three. Served with dipping sauces.
Ancho Salmon,$15.29,Guiltless Grill,"590 cal. Seared Chile-rubbed Atlantic salmon, spicy citrus-Chile sauce, cilantro, queso fresco. Served with Mexican rice & steamed broccoli."
Grilled Chicken Salad,$9.89,Guiltless Grill,"430 cal. Tomatoes, corn & black bean salsa, shredded cheese with honey-lime vinaigrette."
Margarita Grilled Chicken,$11.99,Guiltless Grill,"Favorite. 600 cal. Pico, tortilla strips, Mexican rice, black beans. It only tastes like a guilty pleasure."
6 oz. Classic Sirloin with Grilled Avocado,$12.89,Guiltless Grill,"420 cal. Seasoned & topped with spicy citrus-Chile sauce, grilled avocado slices, garlic roasted tomatoes, cilantro. Served with fresco salad."
Mango-Chile Chicken,$10.79,Guiltless Grill,"460 cal. Chile spices, mango glaze & topped with chopped mango, cilantro, pico, avocado. Served with Mexican rice, steamed broccoli."
Oldtimer,$8.59,Bigger Big Mouth® Burgers,"1170 cal. The original. Pickles, lettuce, tomato, red onion, mustard."
Oldtimer with Cheese,$9.19,Bigger Big Mouth® Burgers,"Favorite. 1250 cal. You can’t top perfection, unless you add cheese."
Bacon Burger,$10.19,Bigger Big Mouth® Burgers,"Favorite. 1380 cal. Cheddar, bacon, pickles, lettuce, tomato, red onion, signature sauce."
Ultimate Bacon Burger,$11.79,Bigger Big Mouth® Burgers,"1520 cal. Double bacon, cheddar, pickles, lettuce, red onion, tomato, jalapeño aioli, spicy buffalo sauce, honey-chipotle sauce."
Sunrise Burger,$11.79,Bigger Big Mouth® Burgers,"1460 cal. Cage-free fried egg, provolone, bacon, lettuce, red onion, tomato, signature sauce."
Southern Smokehouse Burger,$11.79,Bigger Big Mouth® Burgers,"1630 cal. Bacon, cheddar, pickles, panko onion rings, lettuce, tomato, signature sauce. Served with a side of original BBQ sauce."
Guacamole Burger,$9.99,Bigger Big Mouth® Burgers,"1400 cal. Guacamole, provolone, jalapeños, red & green bell peppers, sauteed onions, jalapeño aioli."
Big Mouth Bites,$10.19,Bigger Big Mouth® Burgers,"1600 cal. 4 mini burgers with bacon, American cheese, sauteed onions, house-made ranch."
Grilled Chicken,$14.69,Full-On Fajitas,1460 cal.
Grilled Steak,$16.69,Full-On Fajitas,1650 cal.
Shrimp,$16.69,Full-On Fajitas,1340 cal.
Black Bean & Veggie,$14.69,Full-On Fajitas,1580 cal.
Combine Any Two,$16.69,Full-On Fajitas,1340-1650 cal.
Combine Three,$17.69,Full-On Fajitas,"Favorite. 1430-1890 cal. Combination of grilled chicken (1460 cal), grilled steak (1650 cal), shrimp (1340 cal) fajitas."
Chicken Enchiladas,$9.99,Fresh Mex,"1210 cal. Three enchiladas topped with melted cheese, sour cream sauce, corn & black bean salsa, cilantro. Served with Mexican rice & black beans."
Ranchero Chicken Tacos,$9.99,Fresh Mex,"1190 cal. Three tacos in flour tortillas with pico, avocado, jack cheese, jalapeño aioli, cilantro, queso fresco. Served with Mexican rice & black beans."
Chipotle Chicken Fresh Mex Bowl,$9.99,Fresh Mex,"940 cal. Grilled chicken, pico, field greens, Mexican rice, corn & black bean salsa, avocado, shredded cheese, tortilla strips, cilantro, chipotle pesto, house-made ranch."
Bacon Ranch Quesadillas,$10.79,Fresh Mex,"Favorite. 1740/1850 cal. Chicken or steak, shredded cheese, Chile spices, bacon, house-made ranch. Served with pico, sour cream, ancho-Chile ranch."
Crispy Fiery Pepper,$10.89,Hand-Battered Crispers,Spicy level 5. 1750 cal. Served with house-made ranch.
Crispy Honey-Chipotle,$10.89,Hand-Battered Crispers,Spicy level 4. 1770 cal. Served with house-made ranch.
Crispy Buffalo Bleu,$11.39,Hand-Battered Crispers,Spicy level 3. 1940 cal. Served with bleu cheese.
Crispy,$10.89,Hand-Battered Crispers,"Spicy level 2. 1450-1590 cal. Served with choice of honeymustard, BBQ sauce or house-made ranch."
Original,$10.89,Hand-Battered Crispers,Favorite. Spicy level 1. 1320 cal. These crispers beat fish & chips at their own game. Served with honey-mustard.
Honey-Chipotle Crispers & Waffles,$11.89,Hand-Battered Crispers,"2480 cal. Crispers on top of Belgian waffles. Topped with bacon, jalapeños, anchochile ranch. Served with fries & honey-chipotle sauce."
Cajun Pasta,$12.99,Hand-Battered Crispers,"Favorite. Penne in alfredo sauce, topped with Chile spices, parmesan, tomatoes, green onions. Served with garlic toast. Voted “most popular” by its peers."
Bigger Baby Back Ribs,$11.69,Bigger Baby Back Ribs, 
Choose Any 2,$15.99,Smokehouse Combos, 
Choose Any 3,$17.99,Smokehouse Combos, 
Classic Sirloin (6 oz),$11.99,Hand-Trimmed Steaks,"680 cal. Seasoned & topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
Classic Sirloin (10 oz),$16.99,Hand-Trimmed Steaks,"820 cal. Seasoned & topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
Classic Ribeye,$18.39,Hand-Trimmed Steaks,"Favorite. 1050 cal. Marbled, thick-cut steak topped with garlic butter. Served with loaded mashed potatoes, steamed broccoli."
Meal for 2,$22.00,Just for Two, 
Mexican Rice,$1.99,Our Good Sides,130 cal.
Fries,$1.99,Our Good Sides,390 cal.
Steamed Broccoli,$1.99,Our Good Sides,40 cal.
Sweet Corn on the Cob,$1.99,Our Good Sides,220 cal.
Loaded Mashed Potatoes,$1.99,Our Good Sides,380 cal.
Black Beans,$1.99,Our Good Sides,120 cal.
Roasted Street Corn,$2.99,Our Good Sides,430 cal.
Asparagus & Garlic Roasted Tomatoes,$2.99,Our Good Sides,70 cal.
Spiced Panko Onion Rings,$2.99,Our Good Sides,390 cal.
Kraft Macaroni & Cheese,$5.20,For the Kiddos,430 cal.
Grilled Cheese Sandwich,$5.20,For the Kiddos,430 cal.
Cheese Quesadilla,$5.20,For the Kiddos,470 cal.
Cheesy Chicken Pasta,$5.50,For the Kiddos,660 cal.
Chicken Dippers Grilled,$5.50,For the Kiddos,300 cal.
Chicken Dippers Crispy,$5.50,For the Kiddos,500 cal.
Cheeseburger Bites,$5.50,For the Kiddos,440 cal.
Grilled Chicken Bites,$5.50,For the Kiddos,290 cal.
6” Cheese Pizza,$5.50,For the Kiddos,610 cal.
6” Pepperoni Pizza,$5.50,For the Kiddos,700 cal.
Molten Chocolate Cake,$7.49,"Hey, Sweet Stuff","Favorite. 1150 cal. Chocolate cake with a molten chocolate center, topped with vanilla ice cream in a chocolate shell. Big enough to share, too good to actually do it."
Salted Caramel Molten Cake,$7.49,"Hey, Sweet Stuff","1040 cal. Salted caramel cake filled with a melted caramel center. Topped with vanilla ice cream, caramel sauce & salted caramel pieces."
Cheesecake,$6.79,"Hey, Sweet Stuff",720 cal. Served over strawberry puree.
