Rating,Number Of Ratings,Address
4.3/5,19 ratings,"12030 Lakewood Blvd, Downey, CA 90242, USA"
Dinner For 2,$22.00,Most Popular, 
Triple Dipper,$11.99,Most Popular, 
Homestyle Fries,$1.99,Most Popular, 
Chicken Enchilada Soup,$4.69,Most Popular,Calories 220/440. Topped with tortilla strips & 3-cheese blend.
Loaded Mashed Potatoes,$1.99,Most Popular, 
Crispy Honey-Chipotle,$10.89,Most Popular,Served with house-made ranch.
Full Rack,$18.99,Most Popular,Served with homestyle fries & steamed broccoli.
Skillet Chocolate Chip Cookie,$6.79,Most Popular,Oven-baked chocolate chip cookie topped with vanilla ice cream & drizzled with hot fudge.
Mix & Match Fajitas,$14.87,Most Popular, 
Half Rack,$11.69,Most Popular,Served with homestyle fries.
Chicken Enchilada Soup,$4.69,Soups,Calories 220/440. Topped with tortilla strips & 3-cheese blend.
Loaded Baked Potato Soup,$3.29,Soups,"Corp calories 260. Pdi s calories 520. Topped with apple wood smoked bacon, fresh chopped green onions & 3-cheese blend."
Terlingua Chili,$3.29,Soups,"Calories 230/460. Slow-cooked with beef, poblanos, jalapeños & onions. Topped with 3-cheese blend."
Chili & Salad,$8.19,Chili or Soup & Salad, 
Soup & Salad,$7.39,Chili or Soup & Salad, 
Santa Fe Crispers - Salad,$10.99,Salad,"Our famous crispy chicken crisper, house-made pico de gallo, avocado slices, chopped cilantro, tortilla strips with house-made ranch & a drizzle of spicy santa fe sauce."
Margherita Flatbread Salad,$6.99,Salad,"Fresh spring mix tossed in honey-lime vinaigrette and layered with avocado slices, queso fresco & diced tomatoes. Served with freshly baked margherita flatbread."
Caribbean Salad,$11.39,Salad,"Fresh, hand-cut pineapple, mandarin oranges, dried cranberries, red bell peppers, green onions, cilantro & sesame seeds with honey-lime dressing."
Quesadilla Explosion Salad,$11.39,Salad,"Grilled chicken breast with cheese, diced tomatoes, house-made corn & black bean salsa, tortilla strips, a drizzle of ancho-chile ranch & citrus-balsamic. Served with freshly toasted 3-cheese quesadillas."
Boneless Buffalo Chicken Salad,$10.39,Salad,"Crispy chicken tossed in spicy buffalo sauce with applewood smoked bacon, bleu cheese crumbles, house-made pico de gallo & tortilla strips with house-made ranch & a drizzle of ancho-chile ranch."
Fresco Salad,$3.99,Side Salads,Fresh spring mix tossed in honey-lime vinaigrette & topped with queso fresco.
House Salad,$3.99,Side Salads,"Freshly diced tomatoes, red onions, cucumbers, 3-cheese blend & garlic croutons. Served with your choice of dressing."
Signature Wings,$10.39,Wings,Hand-tossed in your choice of sauce. Served with fresh celery & dipping sauce.
Loaded Boneless Wings,$10.29,Wings,"1440/1450 calories. Boneless wings smothered in white queso, 3-cheese blend, applewood smoked bacon & chopped green onions. Served with a side of house-made ranch. Make it spicy with roasted jalapeños."
Boneless Wings,$17.00,Wings,"Hand-tossed in your choice of sauce. Served with fresh celery & dipping sauce. Choose any two flavors from creamy jalapeño, honey-chipotle or buffalo. Served with choice of ranch or blue cheese."
Bone-In Wings,$17.00,Wings,"Hand-tossed in your choice of sauce. Served with fresh celery & dipping sauce. Choose any two flavors from creamy jalapeño, honey-chipotle or buffalo. Served with choice of ranch or blue cheese."
Bacon Ranch Quesadillas,$10.79,Quesadillas,"Calories 1740/1850. Flour tortillas stuffed with chicken or beef, 3-cheese blend, chile spices, applewood smoked bacon & ranch. Served with house-made pico de gallo, sour cream & ancho-chile ranch."
Smoked Chicken Quesadillas,$10.79,Quesadillas,"Flour tortillas stuffed with smoked chicken, monterey jack cheese, sauteed red & green bell peppers, caramelized onions & jalapeño aioli. Served with fresco salad & jalapeño aioli sauce."
California Turkey Club Toasted Sandwich,$9.79,Sandwiches,"Thinly sliced turkey, applewood smoked bacon, sliced avocado, tomato & red onion with provolone, lettuce & mayo on wheat texas toast."
Grilled Chicken Sandwich,$9.89,Sandwiches,"Chicken breast with applewood smoked bacon, sliced tomato, lettuce, provolone & honey-mustard."
Buffalo Chicken Ranch Sandwich,$10.39,Sandwiches,"Crispy chicken with spicy buffalo sauce, sliced tomato, lettuce & house-made ranch."
Classic Turkey Toasted Sandwich,$9.79,Sandwiches,"Thinly sliced turkey with lettuce, sliced tomato, provolone & mayo on wheat texas toast."
Bacon Avocado Chicken Sandwich,$10.59,Sandwiches,"Grilled chicken breast topped with applewood smoked bacon, provolone, sliced avocado, sauteed onions, lettuce mix, tomato & cilantro-pesto mayo on a toasted buttery roll."
Prime Rib Tacos,$11.79,Top Shelf Tacos,Tender pieces of prime rib over jack cheese & topped with chimichurri sauce.
Ranchero Chicken Tacos,$9.99,Top Shelf Tacos,Seasoned chicken over jack cheese & topped with chimichurri sauce.
Carnitas Tacos,$10.49,Top Shelf Tacos,"Tender, slow-cooked pork over jack cheese & topped with chimichurri sauce."
Spicy Shrimp Tacos,$11.79,Top Shelf Tacos,Spicy chile-lime shrimp topped with house-made cilantro slaw.
Smothered Smoked Chicken Burrito,$9.19,Burritos,"House-smoked chicken, pasilla-honey chile sauce, sour cream sauce & melted cheese. Topped with pasilla-honey chile sauce & chopped cilantro."
Cheese Enchiladas,$9.99,Enchiladas,Stuffed with 4-cheese blend & topped with ancho-chile sauce.
Chicken Enchiladas,$9.99,Enchiladas,Stuffed with seasoned chicken & monterey jack cheese. Topped with sour cream sauce and housemade corn & black bean salsa.
