Date,BJRI,2012 lexus is - cars,things to post - travel,2011 f150 - cars,2012 bmw x5 - cars,ecoboost review - cars,2011 silverado - cars,2011 dodge nitro - cars,2011 malibu - cars,2011 impala - cars,stuff to post - travel,2011 dodge ram 1500 - cars,2010 dodge avenger - cars,2011 chevy silverado - cars,2012 x5 - cars,2011 chevy impala - cars,miss you quotes for him - travel,2010 dodge charger sxt - cars,cool things to post - travel,supplies on the fly - travel,2011 dodge ram 2500 - cars,chevy malibu 2011 - cars,2012 vw cc - cars,challenger 392 - cars,ft-450d - cars,drive time payment - cars,256 to go - cars,beasley hyundai - cars,tellpizzahut - food,neature walk - travel
4/01/04,-1.196,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
11/01/04,-1.296,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
18/01/04,-1.216,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
25/01/04,-1.276,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
1/02/04,-1.344,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
8/02/04,-1.292,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
15/02/04,-1.232,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
22/02/04,-1.153,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
29/02/04,-1.168,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
7/03/04,-1.266,-0.967,-1.137,-0.986,-0.907,-0.941,-0.993,-0.977,-0.991,-1.081,-1.111,-0.934,-1.072,-0.985,-0.88,-1.026,-0.938,-0.94,-1.004,-1.023,-0.938,-0.968,-0.871,-0.9,-0.896,-0.93,-0.977,-0.935,-0.942,-0.9
