Rating,Number Of Ratings,Address
4.9/5,8 ratings,"2550 Sunrise Hwy, East Islip, NY 11730, USA"
Shrimp 'n Parmesan Sirloin,$19.49,Most Loved,"A popular take on surf ‘n turf, this dish starts with a tender grilled 8 oz. USDA choice top sirloin and is topped with sautéed blackened shrimp and our creamy lemon butter Parmesan sauce."
Triple Chocolate Meltdown,$6.99,Most Loved,"Applebee’s signature. Warm, rich, fudge-filled chocolate cake is drizzled with hot fudge. Served with vanilla ice cream."
Cedar Grilled Lemon Chicken,$13.99,Most Loved,"580 cal, 42g protein. Lighter fare. Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette."
Double-Glazed Baby Back Ribs (Half Rack),$15.99,Most Loved,"Slow-cooked to fall off the bone tenderness. Slathered with your choice of sauce: spicy Texas BBQ sauce, honey BBQ sauce."
Mozzarella Sticks,$8.79,Most Loved,"Crispy outside with melty Mozzarella inside, this favorite is served with marinara sauce."
Three-Cheese Chicken Cavatappi,$13.49,Most Loved,"Asiago, Parmesan and white Cheddar are mixed with corkscrew cavatappi pasta in a rich Parmesan cream sauce then topped with grilled chicken, bruschetta tomatoes and basil."
Boneless Wings,$10.79,Most Popular,"Spicy. Crispy breaded pieces of tender boneless chicken tossed in your choice of: classic buffalo sauce, hot buffalo sauce, honey BBQ sauce, sweet Asian chile sauce. Served with Bleu cheese or ranch dressing."
Appetizer Sampler (3),$14.49,Most Popular, 
Classic,$8.99,Most Popular,"A juicy all-beef burger classic with lettuce, tomato, onion and pickles on a brioche bun."
Triple Bacon,$11.99,Most Popular,"All-beef patty with bacon seared-in and topped with Cheddar, tangy BBQ bacon ranch and more crispy bacon slices on a brioche bun."
Spinach & Artichoke Dip,$8.49,Most Popular,Creamy spinach and artichoke dip topped with melted Parmesan cheese. Served with freshly made white corn tortilla chips and our chipotle lime salsa.
Appetizer Sampler (2),$10.59,Most Popular, 
Chicken Tenders Platter,$9.99,Most Popular,"Crispy breaded chicken tenders are a grill and bar classic. Served with honey Dijon mustard, slaw and fries."
Brew Pub Pretzels & Beer Cheese Dip,$7.99,Most Popular,"The perfect balance of crunchy and chewy, warm pretzel sticks are ready to dip in BLUE MOON®
(registered trademark of MillerCoors LLC) white Cheddar beer cheese and honey Dijon mustard."
Quesadilla Burger,$10.99,Most Popular,"Applebee’s signature. Part burger, part quesadilla, all taste. This original burger creation comes piled high with jack cheese, our signature mexi-ranch sauce, crispy bacon, fresh pico and shredded lettuce in a crisp, warm Cheddar quesadilla."
Double Crunch Bone-In Wings,$10.99,Most Popular,"Spicy. Twice battered and fried, these crisp outside, tender inside wings are tossed in a choice of:, classic buffalo sauce, hot buffalo sauce, honey BBQ sauce, sweet Asian chile sauce. Served with Bleu cheese or ranch dressing."
