Rating,Number Of Ratings,Address
4.7/5,24 ratings,"240 NJ-10, East Hanover, NJ 07936, USA"
Cedar Grilled Lemon Chicken,$13.99,Most Loved,Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette. 580 cal. | 42g protein.
The Classic Combo,$16.99,Most Loved,"All the classic apps you love on one plate – boneless wings, spinach and artichoke dip, chicken quesadilla and mozzarella sticks."
Shrimp 'n Parmesan Sirloin,$19.49,Most Loved,"A popular take on surf ‘n turf, this dish starts with a tender grilled 8 oz. USDA choice top sirloin and is topped with sautéed blackened shrimp and our creamy lemon butter parmesan sauce."
Triple Chocolate Meltdown,$6.79,Most Loved,"Warm, rich, fudge-filled chocolate cake is drizzled with hot fudge. Served with vanilla ice cream."
Double-Glazed Baby Back Ribs,$15.49,Most Loved,Slow-cooked to fall off the bone tenderness. Order them Memphis dry-rubbed or sauced with: Spicy Texas BBQ sauce or Honey BBQ sauce.
Cedar Grilled Lemon Chicken,$13.99,Most Loved,"Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette. Lighter fare, 580 cal. | 42g protein."
Mozzarella Sticks,$8.79,Most Loved,"Crispy outside with melty mozzarella inside, this favorite is served with marinara sauce."
Three-Cheese Chicken Cavatappi,$13.49,Most Loved,"Asiago, parmesan and white cheddar are mixed with corkscrew cavatappi pasta in a rich parmesan cream sauce then topped with grilled chicken, bruschetta tomatoes and basil."
Boneless Wings,$10.79,Most Popular,"Crispy breaded pieces of tender boneless chicken tossed in your choice of: classic buffalo sauce, hot buffalo sauce, honey BBQ sauce, sweet Asian chili sauce, served with bleu cheese or ranch dressing."
Build Your Appetizer (2 for),$10.29,Most Popular, 
￼￼Build Your Appetizer (3 for),$14.19,Most Popular, 
Classic,$8.99,Most Popular,"A juicy all-beef burger classic with lettuce, tomato, onion and pickles on a brioche bun."
Chicken Tenders Platter,$11.99,Most Popular,Crispy breaded chicken tenders are a grill and bar classic. Served with honey Dijon mustard and fries.
Decadent Shakes,$3.69,Most Popular,"Oreo® cookie, chocolate, strawberry."
Fountain,$2.89,Most Popular, 
Quesadilla Burger,$10.99,Most Popular,"Applebee’s signature. Part burger, part quesadilla, all taste. This original burger creation comes piled high with jack cheese, our signature Mexi-ranch sauce, crispy bacon, fresh pico and shredded lettuce in a crisp, warm cheddar quesadilla."
Four-Cheese Mac & Cheese with Honey Pepper Chicken Tenders,$13.99,Most Popular,"Applebee’s signature. A sweet and savory take on comfort food, four-cheese mac & cheese is topped with crispy breaded chicken tenders tossed in honey pepper sauce and topped with bacon."
Spinach & Artichoke Dip,$8.49,Most Popular,Creamy spinach and artichoke dip topped with melted parmesan cheese. Served with freshly made white corn tortilla chips and our chipotle lime salsa.
The Classic Combo,$16.99,Appetizers,"All the classic apps you love on one plate – boneless wings, spinach and artichoke dip, chicken quesadilla and mozzarella sticks."
Steak Quesadilla,$10.69,Appetizers,"Warm, grilled tortillas loaded with USDA choice top sirloin steak, fresh pico and a blend of melted cheddar cheeses. Served with green chile sauce and our chipotle lime salsa.."
Chicken Quesadilla,$9.99,Appetizers,"Warm, grilled tortillas loaded with chipotle lime chicken, fresh pico and a blend of melted cheddar cheeses. Served with green chile sauce and our chipotle lime salsa."
Spinach & Artichoke Dip,$8.49,Appetizers,Creamy spinach and artichoke dip topped with melted parmesan cheese. Served with freshly made white corn tortilla chips and our chipotle lime salsa.
Chicken Wonton Tacos,$8.99,Appetizers,"Applebee’s signature. A deliciously different way to taco. Tangy grilled chicken, sweet Asian Chile sauce and dumpling sauce stuffed into crispy wonton shells and topped with a crunchy slaw and cilantro mix."
Mozzarella Sticks,$8.79,Appetizers,"Crispy outside with melty mozzarella inside, this favorite is served with marinara sauce."
Chips & Salsa,$4.29,Appetizers,Freshly made white corn tortilla chips and our chipotle lime salsa.
Cheeseburger Egg Rolls,$10.99,Appetizers,"A crunchy eggroll filled with ground beef, pickles, cheddar and onions with signature dipping sauce."
House Salad with Bacon,$4.49,Appetizers, 
Small Caesar Salad with Parmesan Cheese,$4.49,Appetizers, 
