Rating,Number Of Ratings,Address
4.4/5,53 ratings,"115 Bricktown Way, Staten Island, NY 10309 USA"
Cedar Grilled Lemon Chicken,$15.79,Most Loved,"580 cal, 42g protein. Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette."
Shrimp ‘N Parmesan Sirloin,$23.99,Most Loved,"580 cal. A popular take on surf ‘n turf, this dish starts with a tender grilled 8 oz. USDA choice top sirloin and is topped with sauteed blackened shrimp and our creamy parmesan sauce."
Triple Chocolate Meltdown,$7.89,Most Loved,"960 cal, signature dish. Warm, rich, fudge-filled chocolate cake is drizzled with hot fudge. Served with vanilla ice cream."
Cedar Grilled Lemon Chicken,$15.79,Most Loved,"580 cal, 42g protein. Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette."
Mozzarella Sticks,$10.39,Most Loved,"910 cal. Crispy outside with melty mozzarella inside, this favorite is served with marinara sauce."
Three-Cheese Chicken Cavatappi,$18.69,Most Loved,"1280 cal. Asiago, parmesan and white cheddar are mixed with corkscrew cavatappi pasta in a rich parmesan cream sauce then topped with grilled chicken, bruschetta tomatoes and basil."
Cheeseburger,$7.99,Most Loved,"Veggie burgers are cooked to a minimum 165° F. With your choice of cheddar, jack, Swiss, American, pepper jack."
Classic + Classic,$9.59,Lunch Combos, 
Classic + Signature,$10.59,Lunch Combos, 
Signature + Signature,$11.59,Lunch Combos, 
The Classic Combo,$19.99,Appetizers,"2600-2660 cal. All the classic apps you love on one plate - boneless wings, spinach and artichoke dip, chicken quesadilla and mozzarella sticks."
Steak Quesadilla,$12.99,Appetizers,"880 cal. Warm, grilled tortillas loaded with USDA choice top sirloin steak and a blend of melted cheddar cheeses. Served with sour cream, green chile sauce and our chipotle lime salsa."
Chicken Quesadilla,$11.99,Appetizers,"860 cal. Chipotle-lime chicken, salsa verde and pico."
Spinach & Artichoke Dip,$10.39,Appetizers,960 cal. Creamy spinach and artichoke dip topped with melted parmesan cheese. Served with freshly made white corn tortilla chips and our chipotle lime salsa.
Mozzarella Sticks,$10.39,Appetizers,"910 cal. Crispy outside with melty mozzarella inside, this favorite is served with marinara sauce."
Brew Pub Pretzels & Beer Cheese Dip,$9.99,Appetizers,"1050 cal. The perfect balance of crunchy and chewy, warm pretzel sticks are ready to dip in blue moon® white cheddar beer cheese and honey dijon mustard."
Chicken Wonton Tacos,$11.39,Appetizers,"500 cal, signature dish. A deliciously different way to taco. Tangy grilled chicken, sweet Asian chile sauce and dumpling sauce stuffed into crispy wonton shells and topped with a crunchy slaw and cilantro mix."
Beef Nachos,$13.99,Appetizers,"1760 cal. A true table pleaser, tortilla chips are topped with seasoned ground beef, cheddar blend, white queso, sour cream, pico and jalapenos."
