Rating,Number Of Ratings,Address
4.2/5,165 ratings,"205 West 50th Street, New York, NY 10019, USA"
Cedar Grilled Lemon Chicken,$18.89,Most Loved,"Lighter Fare. Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette. 580 cal, 42 g. protein."
Shrimp ‘N Parmesan Sirloin,$28.99,Most Loved,"A popular take on surf ‘n turf, this dish starts with a tender grilled 8 oz. USDA top sirloin and is topped with sautéed blackened shrimp and our creamy parmesan sauce. 580 cal."
Triple Chocolate Meltdown,$9.89,Most Loved,"Warm, rich, fudge-filled chocolate cake is drizzled with hot fudge. Served with vanilla ice cream. 960 cal."
Baby Back Ribs,$20.69,Most Loved,"Slow-cooked to fall-off-the-bone tenderness. Order them sauced with: spicy Texas BBQ, honey BBQ."
Cedar Grilled Lemon Chicken,$18.89,Most Loved,"Cedar-seasoned grilled chicken on cranberry-pecan rice and quinoa with granny smith apple relish and lemon vinaigrette. 580 cal., 42 g. protein."
Mozzarella Sticks,$12.99,Most Loved,"Crispy outside with melty mozzarella inside, this favorite is served with marinara sauce. 910 cal."
Three-Cheese Chicken Cavatappi,$20.69,Most Loved,"Asiago, parmesan and white cheddar are mixed with corkscrew cavatappi pasta in a rich parmesan cream sauce then topped with grilled chicken, bruschetta tomatoes and basil. 1280 cal."
Boneless Wings,$18.29,Most Popular,Crispy breaded pieces of tender boneless chicken tossed in a choice of sauce. Served with bleu cheese or ranch dressing. 1090-1160 cal.
Grilled Chicken Breast,$19.99,Most Popular,Juicy chicken breast seasoned and grilled over an open flame. 190 cal.
Chicken Tenders Platter,$17.99,Most Popular,Crispy breaded chicken tenders are a grill and bar classic. Served with honey Dijon mustard and fries. 1460 cal. Smaller portion with fries. 1150 cal.
Brew Pub Pretzels & Beer Cheese Dip,$12.99,Most Popular,"The perfect balance of crunchy and chewy, warm pretzel sticks are ready to dip in BLUE MOON® white cheddar beer cheese and honey Dijon mustard. 1070 cal."
Spinach & Artichoke Dip,$12.99,Most Popular,Creamy spinach and artichoke dip topped with melted parmesan cheese. Served with freshly made white corn tortilla chips and our chipotle lime salsa. 950 cal.
Classic,$16.59,Most Popular,"A juicy all-beef burger classic with lettuce, tomato, onion and pickles on a brioche bun. 630 cal."
Four-Cheese Mac & Cheese,$20.69,Most Popular,"Applebee’s Signature. With honey pepper chicken tenders. A sweet and savory take on comfort food, four-cheese mac & cheese is topped with crispy breaded chicken tenders tossed in honey pepper sauce and topped with bacon. 1460 cal."
The Classic Combo,$27.99,Appetizers,"All the classic apps you love on one plate – boneless wings, spinach and artichoke dip, chicken quesadilla and mozzarella sticks. 2580-2630 cal."
Chicken Quesadilla,$16.99,Appetizers,"Chipotle-lime chicken, salsa verde and pico. 860 cal."
Spinach & Artichoke Dip,$12.99,Appetizers,Creamy spinach and artichoke dip topped with melted parmesan cheese. Served with freshly made white corn tortilla chips and our chipotle lime salsa. 950 cal.
Mozzarella Sticks,$12.99,Appetizers,"Crispy outside with melty mozzarella inside, this favorite is served with marinara sauce. 910 cal."
Brew Pub Pretzels & Beer Cheese Dip,$12.99,Appetizers,"The perfect balance of crunchy and chewy, warm pretzel sticks are ready to dip in BLUE MOON® white cheddar beer cheese and honey Dijon mustard. 1070 cal."
Boneless Wings,$18.29,Appetizers,Crispy breaded pieces of tender boneless chicken tossed in a choice of sauce. Served with bleu cheese or ranch dressing. 1090-1160 cal.
Double Crunch Bone-In Wings,$18.29,Appetizers,"Twice battered and fried, these crisp outside, tender inside wings are tossed in a choice of sauce. Served with bleu cheese or ranch dressing. 1070-1140 cal."
Thai Shrimp Salad,$20.49,Salads,"Lighter fare. Seasoned, grilled shrimp atop fresh Asian greens and edamame. Topped with almonds, crispy wonton strips and a drizzle of Thai peanut sauce with our own Chile lime vinaigrette. 400 cal., 25 g. protein."
Oriental Chicken Salad,$21.69,Salads,"Applebee’s signature. A long-running favorite, crispy breaded chicken tenders top a bed of Asian greens, rice noodles and almonds tossed in our oriental vinaigrette. 1420 cal. Grilled chicken - 1290 cal."
Southwestern Steak Salad,$21.69,Salads,"Grilled USDA top sirloin topped with chimichurri. Served with mixed greens, black bean, corn salsa, blend of cheddar cheeses, tortilla strips and housemade cilantro ranch. 1040 cal. Grilled chicken - 1040 cal."
Garden Salad,$11.99,Salads,"Fresh iceberg, crisp romaine & spring lettuce mix with diced cucumbers, shredded cheddar cheese, tomatoes & croutons. 420-860 cal. Add on - 750-850 cal."
Caesar Salad,$11.99,Salads,Crisp romaine tossed in garlic Caesar dressing topped with croutons and shaved parmesan. 460 cal. Add on - 700-800 cal.
Bacon Cheese Chicken Grille,$17.89,"Sandwiches, Tacos and More","Grilled chicken breast, cheddar cheese and bacon served on a brioche bun. 890 cal."
Clubhouse Grille,$17.89,"Sandwiches, Tacos and More","Ham, turkey, cheddar, jack, bacon, lettuce, tomato, mayo and honey BBQ sauce on toasted potato bread. 1080 cal."
Zesty Ranch Chicken Sandwich,$17.89,"Sandwiches, Tacos and More","Tender, hand-breaded chicken with buffalo sauce & ranch dressing served on a toasted bun with crisp lettuce, tomato, onion, pickles and zesty ranch dressing for dipping. 1130 cal."
Chicken Fajita Rollup,$16.99,"Sandwiches, Tacos and More","Juicy chipotle chicken with crisp lettuce, blend of cheddar cheeses and housemade pico wrapped in a tortilla with our mexi-ranch dipping sauce. 1090 cal."
