Day,Hours Opened,Business Info,Detail,Also-Considered,Considered Link,Also-Viewed,Viewed Link
Mon,11:00 am - 2:00 am Open now,Takes Reservations,Yes,Capri Ristorante Italiano,https://www.yelp.com/adredir?ad_business_id=s8wKMExrpD7qbnhpg6czCg&campaign_id=NMBYEM5Hp4g7g1J-n-a-9w&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcapri-ristorante-italiano-mclean&request_id=6666ad60eb279388&signature=0a937f8eb667bf4b88bc212aecda24f8cb16d286a0caad8bcbadfde6c69879e1&slot=0,Texas Jack’s Barbecue,https://www.yelp.com/biz/texas-jacks-barbecue-arlington?page_src=related_bizes
Tue,11:00 am - 2:00 am,Delivery,No,Art’s Tavern,https://www.yelp.com/adredir?ad_business_id=S1McIXJNoyuKP6gwmsbr0w&campaign_id=CzeZj-BRUnJPfWpm9bpz5g&click_origin=business_name&placement=biz_sidebar&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Farts-tavern-falls-church-2&request_id=6666ad60eb279388&signature=df78147c6dae98ab585b33c21b714ad3e69c5f4ea6909d7cc26c0262633c818c&slot=1,Ramparts,https://www.yelp.com/biz/ramparts-alexandria?page_src=related_bizes
Wed,11:00 am - 2:00 am,Take-out,Yes,,,IHOP,https://www.yelp.com/biz/ihop-alexandria-2?page_src=related_bizes
Thu,11:00 am - 2:00 am,Accepts Credit Cards,Yes,,,,
Fri,11:00 am - 2:00 am,Accepts Apple Pay,No,,,,
Sat,11:00 am - 2:00 am,Good For,"Lunch, Dinner, Late Night, Dessert",,,,
Sun,11:00 am - 2:00 am,Parking,Private Lot,,,,
,,Bike Parking,No,,,,
,,Good for Kids,Yes,,,,
,,Good for Groups,Yes,,,,
,,Attire,Casual,,,,
,,Ambience,Casual,,,,
,,Noise Level,Average,,,,
,,Alcohol,Full Bar,,,,
,,Outdoor Seating,No,,,,
,,Wi-Fi,Free,,,,
,,Has TV,Yes,,,,
,,Waiter Service,Yes,,,,
,,Caters,No,,,,
