Username,location,friend_count,review_count,photo_count,date,rating,review
Ronald B.,West Covina  CA,31,31,12,11/14/2017,5.0,I came here assuming I was going to get bad service and cold food like other BJ's that I have been to but this time was different. Joshua R. (#157) was really polite and took his time with us. He understands the that the little things matter. He kept our Drinks filled  he asked us every so often if we needed help  he even asked us if the food was fine before leaving. The food was hot when it arrived and it was also delicious. That's honestly a first for me when going to a BJ's. This man deserves a raise or something because it showed that he cared and that made me realize that I will be coming back to this location even though I live about 40min away. P.S - Anyone who wants to come to eat here should really ask for Joshua R. Before coming. You won't be disappointed.
Cat Toast G.,Rowland Heights  CA,137,167,39,11/11/2017\n            \n\n\n\n\n\nUpdated review,2.0,"Yeah veterans free beer was total hog wash n the server was rude about it. Could have at least said ""Sorry sir no beer I would like to personally thank u for your service"" nope! He was determined to be a prick to us all night.. He didnt get a tip... I hope being a brat was worth it.  Shoulda went to Applebee\'s. The manager there personally gives you your free beer and thanks you for your service..The server came back and said that only Texas was participating... Really then why was it printed out on my receipt? We probably woulnt be back Ever the service there just sucks period..its been that way for the last 5 years."
Angela T.,El Monte  CA,209,304,171,11/8/2017,2.0,"Talk about snail paced over here.. Party of 6 for lunch and we arrived no later than 12:10pm. We ordered ahead of time on their app just so we can save a little bit of time  but nope. Not the case. We were originally going to be seated at a really small table  but we wanted a larger table and the hostess offered to push two tables together for us (not very nicely  imo). We asked about the booth and we ended up getting seated there  but the hostess clearly showed on her face that she wasn\'t happy about having to move the menus  even though we told her we already ordered via the app. Finally got greeted by our waiter and again had to tell them that we already ordered through the app. He jotted down the order/premiere card number and said he\'s going to get that started right away. We waited for a while and still nothing came. Because we\'re on a one hour lunch  we were short on time. At the about 12:35  we followed up on our order and was told he\'s checking up on it. Within 2 minutes  4 of the 6 items showed up  but weren\'t hot. We had two lemon thyme chickens missing and followed up  but were told that ""it\'s being prepared"". About 2 minutes later  a woman who seemed like the manager came out with our food and said they were having ""system failures"" and the food had to be punched in manually after. Which means that they forgot our order initially... and probably forgot to bring out the food because the center of the chicken was warm. The food itself was mediocre. The lemon thyme chicken was way too salty and the brown rice underneath was really soggy from either the veggies or whatever sauce they had from the chicken. In the end  we did get a 20% off discount  but for majority of this  nobody really bothered to tell us what was going on and they were not very apologetic about it either."
Rebecca W.,Rowland Heights  CA,314,225,431,10/5/2017,4.0,EDDIE IS SO SWEET AND THE BEST SERVER EVER. Very chill and funny guy. Knows his drinks and great recommendations. Food: tried the bison burger and I guess it's ok? Yes  the Pattie was juicy and med rare. So that was good. But the taste overall lacked a bit. There was a good kick. Instead  I tasted raw onion that kinda burned instead. The fries are good though! Crispy and yummy!Got to sample the beers and I think I like the one similar to Blue Moon the most. Pizza was pretty good too! Long Island was not as strong as I imagined...pretty light actually. I already drank this strawberry bj favorites and that was pretty good. On the sweet slushie side but again  not too strong. The margarita was stronger actually. I felt like the margarita was the strongest compared to all the other drinks I tried.  Service: like I mentioned  Eddie was great. Patient  nice  and helpful. Good came out at a good speed as well. Thanks for the great night!Overall  it was good. The wait was around 8 minutes? So not too long. Worth coming!
Andy N.,West Covina  CA,153,36,163,12/3/2017,5.0,Bringing some friend here for lunch  love there pizzas  get you a lot of meat and veggies.
Shannon H.,Irvine  CA,322,94,165,9/25/2017,1.0,Worst customer service ever. I had a gift card that my brother payed for and sent it to me via email. I ordered food thinking it was ok and could be used. The manager Shawn refused to take the gift card saying they do not accept gift cards without a pin. There was a pin on my gift card but he refused to take it. My brother took the online code gift card to BJs in his area and it was used without an issue. I have been a long time customer of BJs. My family loves it. However after this incident we will no longer be coming back. The manager was rude. I was very disappointed. The staff always follows the leadership. If they have such a rude leader  they will service clients in the same manner. I will be getting in contact with corporate to discuss this issue considering this gift card was purchased from BJs. Do not come here if you want to have a nice family dinner where the manager actually does his job instead of making you more upset. I ended up not paying for the food because it was supposed to be charged to the gift card that my brother ordered up north. What a waste of time and food. This is the most disappointing interaction I have ever had with a manager at a large chain restaurant.
Angel P.,Whittier  CA,0,17,12,11/22/2017,2.0,Nothing special here besides the desert. Appetizers tasted and looked like they were out of a frozen aisle at the grocery store and main course lacked flavor and everything was overpriced for the quality
Joyce Y.,Alhambra  CA,47,361,230,10/6/2017,2.0,came for a coworkers farewell lunchi ordered the quinoa and added salmon. came at normal lunch time (around noon) and it was pretty empty. it took forever to get anything. from our orders to the check. started getting antsy we were waiting so long. finally had to take matters into our own hands and someone from our party got up to track down somebody to give us our check. foods a little overpriced  at least my salmon was. probably wouldn't go again unless a coworker wanted to go.located in a mall plaza so parking a plenty.
Wendy S.,Walnut  CA,0,19,27,10/22/2017,5.0,My hubby and I were just here the other day after a long of work on Thursday took noticed they've added new menu items with some great daily special offers. We took special noticed on their Prime Rib dinner on Sunday all day for $26.95. So we thought why not give it a try. Man we are so glad we did! Their Prime Rib special is totally worth the price. It came with a choice of soup or salad  2-sides plus a regular size pizooki. I had their Clam Chowder and my hubby decided on their Tortilla Soup. Both were very tasty. We thought it was going to be a cup of soup but instead it was a regular bowl of soup. Their asparagus  french fries and fully loaded baked potato were all delish! Our server was great! He was friendly and very attentive. My hubby of course always orders their handcraft root beer which is made with sugarcane vs regular sugar. Since we were so full from our dinner  we decided to take home our desserts for some late night snack :DWe are so totally coming back for more. Definitely worth the time to go through their menu each time you're here as we've noticed they add new menu items over time with some great special offers. They have weekday and weekend specials so be sure to take notice and plan as accordingly ;p
Loretta C.,Los Angeles  CA,3498,950,21263,3/20/2017,3.0,This is an okay restaurant. I have gone for coworker outings and both the food and service can be really inconsistent each time. Sometimes the food is amazing and blows you away  but for the most part it is too salty. For the customer service too  it feels very fake from the females versus the males.Over all  my go-to consistent items to get are the appetizers. Other than that  the food is salty and drinks can get pricey:1) Avocado Egg Rolls - This seems like something anyone can make themselves but they are so amazing! Perfectly hot inside and crispy outside  they are fun to dip in the sweet tamarind sauce!2) Best Beginnings Appetizer Combo - This has a little bit of everything  including Chips with Spinach and Artichoke Dip  Mozzarella Sticks  Avocado Egg Rolls and Boneless Wings. I love trying each item with different sauces!3) Crisp Potato Skins Platter - These are pretty delicious  mainly because I'm biased and love potatoes!
Elizabeth K.,Los Angeles  CA,393,455,780,6/7/2017,4.0,Good customer service! Nice and friendly as well! Constantly readily available to assist me during the visit! The breakfast menu was decently priced! I got the scrambled egg with sourdough. The egg was a bit dry and the sourdough bread was super hard and not that chewy! I think all the food was overlooked to the max. Not that good for BJ quality. Brunch cost approximately $10-12 bucks. Seats are comfy. Restrooms are clean for the most part! Pizookies are bomb!
Karen K.,Alhambra  CA,588,630,607,7/29/2017,3.0,There will always be a need for mediocre pan-American restaurants like BJ's. They can cater to large groups  and a diversity of different dietary needs and tastes at a price that is reasonable. I've been to this BJ's a few times throughout the course of my life  and it appears to be relatively consistent with the quality of most BJ's. They were able to cater to a large group with relatively no hiccups. I ordered the Sirloin Steak  medium  with a side of cauliflower and a side of brussel sprouts. The Sirloin was a tad bit more medium well than medium  but it wasn't bad. It was about a palm-sized  fat chunk of meat with no unpleasant bits of fat  or bone  or tough bits. Although it didn't have much circumference  because of it's width  I surprisingly could not finish it by the time the rest of my coworkers were done with their meal. It made it's way into my midnight snack itinerary. It was very consistently meat  all the way through. There was a rosy hue in the middle without a trace of blood. The Siracha Brussel Sprouts  while not being the best brussel sprouts I've had at an establishment  were surprisingly good for BJ's. There was plenty of it  and it was well cooked and flavorful  but not too spicy (if you are a light-weight). This was my favorite part of my meal  and I will order it again. The Curried Cauliflower wasn't as tasty. They had a bit of curried flavor and lentil  but it overall did not match with any of the flavors on my plate  and were probably one of the more disappointing curried dishes I've tried in my life. I make a better curried cauliflower and lentil at home. I would pass on this side  especially considering it is a premium item  and costs a little bit extra. I skipped on the pazookie  this time  but BJ's is known for it. It is a thick  super sweet  monster sized cookie that was meant to be shared by at least 3 people. (It is much too sweet for any less than 3  in my opinion.)
Robin I.,Fullerton  CA,9,80,190,10/13/2017,3.0,The food is ok. Got a small Sweet Pig Pizza with a Caesar salad and some Mozzarella Sticks. Also got a Monkey Bread Pizookie. The food was nothing special. The service was average and our waitress was not the greatest. But I got to have a nice date with my wife. Nice.
Raina H.,Walnut  CA,1015,79,219,8/8/2017,4.0,Came here after downloading the online app that got us $10 off a $35 order and it was free pazookie day!!Everything was great  we got seated right away and our server was extremely friendly. I was treating my sister out for a birthday lunch and we were so excited because their menu was so extensive! Their special on Wednesday was unlimited fries with their burgers! Only $10 such a great deal so that's what I opted for- to make our meal $35  my sister got the Mediterranean chicken tacos and sauted kale and spinach with buffalo boneless chicken wings for an appetizer- everything tasted pretty good but what's bringing down the rating is the wings.They were extremely extremely dry and hard to eat  very tough  not worth getting at all in my opinion but everything else was delicious  my burgers  the fresh batches of fries that kept coming out everytime we finished - My peach drink was also very good but the only thing that bothered me was they don't mix it well with the tea and I didn't know so I slurpee a ton of syrup on my first try. But the refills for my tea came out very fast  our server was extremely on point ! Overall is was a pleasant experience and I highly recommend getting their app if you ever feel like dining in  savings and earning points! :)
Alicia D.,San Bernardino  CA,29,9,,11/18/2017,3.0,Mozzarella sticks were cold. Never brought out our avocado wraps. Waiter took a while to come back and check on us..Ended up canceling the avocado wraps after we were done with our main course and they still hadn't brought them out. Other than that  the clam chowder was good and so was the pizza.
Rachel Q.,Monterey Park  CA,872,1283,1820,1/27/2017,4.0,I don't go to BJ's often but when I do  I really enjoy the pizza and the pazookie! The beer selection is also very good and they have this new rewards app that gets you a free pazookie the first time you use it!The last time I came here it was Wine Tuesday! The brussell sprouts appetizer was delicious and crispy. I also got the Ahi Tuna Salad  but it was a little fishy  but the waiter was happy to exchange it  which was nice. And of course polished off the meal with a chocolate chip pazookie! Staff is really friendly and helpful  and parking is easy. Overall a good experience.
Monica S.,San Dimas  CA,0,33,17,11/19/2017,1.0,Ughhhh! Stopped by just for the Pizookie....didn't even get one because I was so irritated with our server Michelle. She came back to our table once to check on us  ONCE! The restaurant wasn't crowded  so I don't know what was up! Plain ridiculous! I even had to pay up front because she never came back to pick up the bill! SMH!!!!
Adriana O.,Monrovia  CA,0,4,,11/19/2017,5.0,Been coming here for a couple years now everything from food  service to cleanliness has always been great when I come by. Love this BJs and I will continue to come to this one!
Dinasia W.,Springfield Gardens  NY,9,67,111,9/2/2017,5.0,We stopped in BJs just to have a drink & some apps. We did just that. Tasty drinks ( pink Cadillac martini & peach margarita) we both had two. Not overly strong but very tasty. Nashville pepper wings (promotional) and crispy calamari. Both appetizers were good but the wings were GREAT. Not like typical chain restaurant wings. Our server was awesome ! Sorry I can't remember his name . I will revisit this location. Btw we came on a Saturday around 6pm. Waited about 5-7minutes for a table. No complaints!
Jose P.,Brea  CA,129,28,48,9/9/2017,1.0,"Late night atrocious ""snack""! Ordered the Peruvian quinoa shrimp: under cooked quinoa  salty shrimp  and too many sour tomatoes. Disappointed :(They don\'t have to-go cups for drinks :("
Jane R.,Mission Viejo  CA,42,109,257,8/28/2016,3.0,Just had lunch here  it was busy but not ridiculously so for the size of the venue. Perhaps they need more serving staff.. Despite having a reservation they still take a good ten minutes to show us to our table that is empty.. They seem to have a very slow way of seating everyone group by group in this laborious wayDrinks orders were taken quickly but possibly because it then takes quite a while to get the food order in **Free appetizer with Yelp check in! Potato Skins with Bacon and Cheese  a bit dry but not bad for free :p **I had Salmon with Cous Cous  the sauce is very sweet but it was OK.. The salmon was nicely cooked. The asparagus is too thin to be pan fried/grilled it needs to be steamed or use the thicker style asparagus. It's like eating a dry plant The server was polite and friendly for our table  prices are reasonable.. One last comment 'silver ware' normally means a knife and fork.. No one on our table received a knife apart from the one eating steak- too difficult to get any of the busy servers attention to ask for them!
