Username,location,friend_count,review_count,photo_count,date,rating,review
Carmik T.,Gilbert  AZ,66,373,692,10/8/2017,3.0,Not the service we generally receive from BJ's.Came in to dine about 6PM. A 25 min wait. Our server took our drink orders. I asked for a water with lemon  that request wasn't followed through.We started with the chicken wing appetizer. Very late arriving to our table.Meals ordered were the BJ's Brew Burger  The Pork Chop and the kids meal ( for bigger appetites) Chicken & Rice. Our meals arrived and they brought the wrong kids meal?! It was a Alfredo Pasta instead of what she originally ordered. Chefs had to remake our daughters meal & by the time it arrived  we were half way done with ours! They didn't comp it  nor did we get drinks replenished through out our dinner. Many delays from service to cooking staff. Hostess station seemed to have been running smoother'Food was good. Unfortunately  we were a little disappointed in the over all experience.
Juan G.,South El Monte  CA,0,1,,12/2/2017,1.0,Worst dinner date ever. They couldn't get my order right. Here are a list of things that went wrong.1. Ordered SierraMist got water 2. Had to wait 33 minutes to get the correct drink.3. Ordered a steak well done. I got a blue cooked steak. (Burned on the edges center is raw)4. Waited 40 something minutes to get my steak back  I cut off a piece it's medium rare now and the part that was showing the steak was just burned.5. Manager went to the wrong table to fix the mistake and got to us 20 minutes later.6. By that time the manager asked if we could wait to either get another steak cooked or a sandwich. But how much longer would that take.7. It took them another 30 minutes to get me the bill because the manager was chatting away with some of the employees.
Juan H.,Pico Rivera  CA,347,210,89,10/4/2017,4.0,The family and I came in on a Saturday afternoon. My daughter had just finished up a performance that was given by Simon Mall in honor of Hispanic Heritage Month. We decided to go to Bj's since it has been awhile that we've been there.We were seated fairly quickly as it did not look busy. There were some tables that had large parties but it seemed manageable.Our server was Maria and although she was great at helping us with our son's order  her overall attentiveness was lacking. Again I don't know if she was tending to one of those other larger parties  but I must stress  when she did give us the attention  she was awesome.We ordered calamari and were impressed at the sauces and flavor of this dish.The kids ordered their own pizza and as I said earlier  Maria was very accommodating with my son (he's 2) in ordering a pan style pizza rather than a deep dish.We also had some wings with two sauces.The wife and I got a burger each and it was very filling.Overall we will come back and patronize.Anytime you can spend with family is time well spent.
Abel B.,Los Angeles  CA,383,84,1353,11/9/2017,4.0,I felt like not eating at home. I live in East Los Angeles and without a doubt there is great food all over. But I was feeling a bit more commercial last night so we decided on BJ's. Aside from having poor service in other BJ's this one has certainly provided good service every time we have visited. I had a pulled pork and bacon burger which was too much for me to finish. The offered unlimited fries for $10. It was a deal. I noticed that the fries are air fried which is good if your heart conscience.  Anyways this spot has always been good to me so it comes highly recommended. Food and beer always good here!
Brian P.,Montebello  CA,29,84,162,9/12/2017,4.0,My reviews solely based on the food because it seems like everyone that's leaving reviews are throwing shade on the workers. Place is usually pretty packed on the weekends but if your eating out in Montebello the choices are pretty limited.For large parties I suggest you make reservations or come early and put your name down and browse around the mall. The restaurant has a lot of drunk patrons as well so if that's not the environment that you anre seeking with your family than this isn't your place.Pizzas are really good especially the thin crust.Jambalaya is a bit pricey but that would be my all time favorite!Their beers are awesome and fresh because obviously they brew in house.Overall not too bad unless you have high expectations so just go in and grab a brewski and relax. Life is as hard as you want it to be.
Pete B.,Long Beach  CA,346,384,1832,7/31/2017,3.0,Went here for lunch  I hesitated long and hard before I ordered the half rack of short ribs.  I kept thinking are going to be awesome or just OK. The ribs here we're good and my side order of Brussels sprouts was a little too peppery for my tasteThe Caesar salad that I got as a side order was the favorite part of my lunch.  The Caesar dressing was the best I had in years.  I don't know if they make it here but its really good. I'm definitely coming back for a chicken Caesar salad on my next visit.
Moses W.,Kirkwood  MO,0,3,,12/5/2017,4.0,i love the music and great food.For sure recommending people.
Larry H.,Los Angeles  CA,118,349,32,9/13/2017,5.0,Well  for the first time ever  I was pleasantly surprised on our visit to this BJ's in Montebello.We came for lunch and we were seated swiftly. Our waitress Kristian was friggin 'AWESOME'!!!! I have NEVER had as good as service at any BJ's as we did with Kristian in Montebello. Kristian was extremely warm  polite  made sure everything was perfect and it was genuine  not an act. I told her that the entire BJ's staff should be trained by her for customer service and how to interact with customers. Simply the best!!!!We ordered our food and we tailored it to our liking and it came out as ordered to perfection. This has 'NEVER' occurred at a BJ's for me.The Prime Rib dip was perfect with the sauteed onions and green bell peppers. Made it close to a Philly sandwich. It was perfect at all levels. Taste  consistency  exactly enough onions  and peppers as asked for. The salads were also done as we requested  perfect.The chicken club was also made as ordered and was delicious. On this visit  it appeared to be that the QA was finally being watched at this establishment which was so refreshing.Good food  AWESOME service = great customer experience at BJ's! A recommendation to BJ's management  get Kristian in a lead role to train your staff. Kristian gets it!!! IT is hard to find  don't lose her! :)
Jeff L.,San Marino  CA,120,330,740,4/3/2017,4.0,This BJ's is in the Montebello mall. It's fairly big and there's tons of pokestops in reach for all you pokemon trainers that are still playing. This is a pretty standard BJ's  food is great. The pizzas are great  the pizookies are a must get dessert. Their sandwiches and other dishes are also really good so they're worth trying if you're not in the mood for pizza. I got the California chicken club this time and it wasn't bad at all. The sandwich is what it sounds like  chicken club sandwich with avocado. It came with a side of fries. I would also recommend their root beer too which is worth trying out.On occasion they'll have a 2 for $x however much it is now  and that's usually a pretty good deal  you get a soup/salad  medium pizza  and a pizookie. So be sure to take advantage of that deal whenever they have it.Download their app and you can make reservations through it. You can always call ahead as well  since they get pretty busy you won't have to wait as long. There always seems to be a wait here so being able to skip the line is always a plus. Apparently you can also pay for you bill directly at the table as well so that's another benefit that our waitress informed us about.
Maria C.,Walnut Park  Los Angeles  CA,21,33,21,11/26/2017,3.0,Slow service! We had to scarf down our meals and had to take the delicious Oreo Pizookie to go because we ran out of time. We waited 40 minutes for our food. I recommend the Downey location instead.
