Username,location,friend_count,review_count,photo_count,date,rating,review
Em K.,Seattle  WA,86,198,107,11/16/2017,5.0,I think this place would be a great place to take your parents or in-laws! They serve a variety of things  everyone is sure to be happy :)I've had their pasta and thin pizzas and have been very happy with both!
Adriana R.,Van Nuys  Los Angeles  CA,224,220,274,11/25/2017,1.0,Oh BJ's. I loved you in my youth. Many high school and college memories involve your pizookies. But you just do not stand up to the test of time.First of all  this location has valet parking for $4.50 and they drove my car two parking spaces to park it. That annoys me. We had to wait 30 minutes for a table and they didn't even seem that busy. Once we did sit  our server was nowhere to be found  CONSISTENTLY. My husband ordered the prime rib special and that was a mistake. The prime rib was incredibly over cooked and dry  and the sides were lacking in flavor. I had the BBQ deep dish pizza and it was also bland. We then ended with a chocolate chips pizookie which I was SO SURE was going to be amazing  because it's a hot cookie with ice cream  so how can you mess that up? Well it turns out you can serve a lukewarm cookie and it kinda just kills the whole vibe. Also  because of the slow service and disappearing waiter  the whole meal took over 2 hours. What a waste of time and money.
Jerald R.,Sunnyvale  CA,149,1,2,11/7/2017,1.0,Absolutely horrible. I placed my order via DoorDash and received an email from DoorDash stating the restaurant had confirmed my order at 6:37p. Delivery was scheduled for 7:41p. And at around 7:46 I wasn't even showing the dasher at the restaurant so I texted to be sure everything was okay. They said they were picking it up. I contacted customer support and the dasher texted saying the restaurant claimed the order was never placed and it would be a few minutes. By then it was 8p. 20 minutes after it was supposed to have been delivered.The customer support rep tried calling the restaurant and was placed on hold for an ungodly amount of time while my poor dasher was stuck waiting there. Finally the rep gets back with me at 8:40p and informs me the restaurant is not even going to fill the order  and that the dasher said there were many people waiting.TWO HOURS after I placed the order and an HOUR after it was supposed to be here. My dasher waited at the restaurant for over half an hour - i wouldnt even have to wait that long for my food if Id gone there to eat in person!!!IT'S a TUESDAY night!!! Even in person on a weekend - no matter how busy you are I would never have had to wait 30mins after i ordered let alone TWO HOURS to receive my food.Absolute shittiest service. DoorDash was nothing but helpful  and I've never had a problem with them - but to have you as a restaurant tell me you wouldn't even FILL the order after all that?Absolute Shit.
Andrea A.,Burbank  CA,47,37,5,12/4/2017\n            \n\n\n\n\n\nUpdated review,1.0,UPDATE- I have reached out to the GM who responded to this three times without a return phone call. I am keeping the corporate office updated  and they seem to be taking this very seriously. What a disgraceful way to manage.
Steve W.,La Mirada  CA,409,79,185,12/2/2017,4.0,Came here for lunch. Valet parking was awesome and super fast. Used the app and were moved up in line to get seats  and even placed our entire order online while waiting to hear seated. Had our food in less than 10 minutes and enjoyed an incredible lunch! Service was outstanding too!
Lena P.,Ontario  CA,21,482,1384,11/5/2017,4.0,Our waiter  Hunter  was amazing! We had a huge party of 25 and he managed our whole table by himself and did the best job I've ever seen in managing a large party like this. He was always polite  happy  energetic and always there when you needed something. 5++ stars for Hunter's customer service! The food was good  BUT...they did mess up on my tavern pizza  it had meat on it when it wasn't suppose to...but it was sent back and taken care of. Although the new pizza I got was still wrong  as it was missing other ingredients  and I didn't want to send it back for the second time  so I just ate it as is. The pizza looked like it was thrown together very messy...their line cooks need some work!Their chocolate chip Pizookie is always good and so is the monkey bread!
Stevi B.,Los Angeles  CA,145,94,123,11/7/2017,4.0,Being from the east coast I had no idea what BJ's was.It's actually pretty good! They have amazing portions and great drinks.Just like any chain restaurant if you been to one you have been to them all so you will never be disappointed on the food. That's a promise!They have pretty good drink deals as well! You can not leave without getting the dessert!!! Soooo good!!!!
Wendy Y.,Central LA  Los Angeles  CA,25,3,5,11/4/2017,5.0,Love this place!!!My favorite is the club sandwich with a baked potato. Too bad they didn't have potatoes this evening so I got fries instead and still was delicious...For dessert my daughters love to order the Pizookie it's so delicious.
Loren R.,Anchorage  AK,9,233,242,9/2/2017,4.0,"Wings. Got the traditional buffalo Great flavorOver cooked on my opinion  dry...ishNot a meal  it\'s a light meal sizeSmaller wings. Sweet potato fries too salty for me. Yet they were a welcome option and would order them again. Friendly bartendress. ""Mika ""very personable and positive. Beer glass never stayed empty. Food order on fast. I\'d probably try something else on the menu( tomorrow) before doing the wings again. They weren\'t bad. Just not something that would draw me in the door. But if you have a hankerin\' fir wings.   get em.Love the relaxed atmosphere.------------Next day. Ordered the deep dish pizza. Rebecca. The barristress   was attentive and pleasant FYI  owners of restaurants. Re: business travelers/ single patrons I sit at the bar because I can:Get attention fast Get beer fastNot wait for a refillOrder food fast. Pay fast And get to my hotel and get to sleep. NONE of that happens at a table. None !Also  not all barkeeps get that. Rebecca nailed it. Food order and beer order in   in 30 seconds Second beer on the way as I finished the firstPaid and potentially out the door in 30 min. Deep dish pizza. 4.5 stars. I\'d prefer more cookin  to get the cheese crusty on the edges. ( didn\'t get that) and more brown on the corners of the veggies ( nope)Still I\'ll starve myself again to order the pizza here again. I\'ll just ask for a few more minutes. Thanks Rebecca And thanks BJ\'s"
Jak Leroy D.,Hidden Hills  CA,108,150,259,7/19/2017,5.0,We love BJ's! We come here at least 3 times a month and every time is perfection. The servers and bartenders are all very personable and hard working and the food is awesome! Whenever we're craving pizza and a pizookie  we head over to BJ's. The best pizza is definitely BJ's Favorite and the Classic Pizookie is a great meal ender. For appetizers  I recommend the Beets with Feta  the Sliders  and the Root Beer Glazed Ribs. Can't go wrong!They also have an awesome Happy Hour Monday through Friday 3pm-7pm.
Ashley A.,Los Angeles  CA,236,122,2,10/6/2017,1.0,I ordered a salad and specifically said no feta cheese  I'm vegan...cheese was sprinkled in  out and around it. Either someone was being passive aggressive or just doesn't do directions. That's kind of scary to operate that way and work in the food industry.Thx  BJ's! Unbelievable.
Kevin C.,Denver  CO,13,85,18,10/19/2017,5.0,Who doesn't love BJ's? Great menu with plenty to choose from! Everything we ordered tasted excellent and the service was excellent as well!
Bree N.,Burbank  CA,510,151,166,9/14/2017,1.0,Came here after class to continue my son's birthday celebration. This time  joined by more family. Everyone ordered something different and shared. I wasn't crazy about anything. Not even the Pizookie. Oh wait- the beer was great. I mean  but that's the point  right? You come here to enjoy a beer and watch sports in a clean restaurant setting but the food appears to be secondary to that. The restaurant was clean and comfortable and the service was good. Despite the subpar food I would've given this place a two to three stars. But halfway through my son's birthday pizookie he found a long straight hair embedded in the cookie (Did not match the texture of anyone at our table). We notified the server who apologized and offered to replace it but we were over at that point. Just gross. Won't be back.
Melissa Z.,Glendale  CA,0,10,,11/10/2017,1.0,This particular BJ's sucks. Hostesses are dry  our waitress was more hyper than a fruit fly. She had no concept of communicating with customers. It took a really long time to get a pizza and Caesar salad that was below average. Let's say I'm not impressed and will not be returning.
Valentina S.,Los Angeles  CA,106,298,818,4/24/2017,4.0,In downtown Burbank  there are several decent sport bars to watch games but most of these bars do not have their own parking  so you gotta park in a public parking and walk at least 10 min to a bar/restaurant; however BJ's has its own parking (self-parking and valet parking) and you don't have to deal with any parking problem.The food quality is the same as other BJ's which I'd give 3.5 stars for the food and beverages. The service is decent and ambience is good in this location.Overall is a cool spot for watching a soccer or basketball game with a group.
Caroline S.,Los Angeles  CA,0,3,,12/2/2017,1.0,Been here twice. The first time I wasn't impressed but tried to give it another shot this time around- turned out to be an even worse experience. Ordered a pizza  a piadina  and pastas....Food came out lukewarm at best  it took almost an HOUR for our entrees to come out.... lost our appetites  decided to pack it up and instead of coming back with enough boxes  the server had to do it in 3 trips  even with bags. I empathize with servers especially during busy hours  but the whole experience was just disappointing. Food was horrible though and soon as I got home  had to yack. If you're planning on a corporate restaurant- go elsewhere. Too large of a menu with less than mediocre food.
Alexa O.,Los Angeles  CA,1,7,12,11/25/2017,1.0,I had the WORST experience at this bjs with my friends. We came in a larger group (12-15 people) for my friends birthday and our waiter whom resembled josh from drake and josh was EXTREMELY RUDE and INCONVENIENT. He fat shamed my friend for ordering two meals and judged her for the amount of food she was eating and made her feel bad. This establishment then took over two hours to bring out all of our food and then when my friend accidentally spilled her drink trying to reach food from him he became extremely annoyed and angry. He then CHARGED US AN INCONVENIENCE FEE of $45 all because he has a rude temper. I will post a photo of him.
Cassandra Y.,Burbank  CA,5000,1330,8881,2/4/2017,3.0,The Service: Super super super slow on Friday night. It was packed!! It was tough to get good service. Our server was always no where to be found. The food was served 30 minutes later.... The Parking: Valet parking or self-park. Just let the attendant knows  they will guide you where to self-park. If parking lot is full  you can park across street  public parking lot (free)
Edgar O.,Los Angeles  CA,200,44,9,11/18/2017,1.0,Let me start by saying I have never waited 50 mins to an hr when ordering food  then I get my soup which was klam chowder I ask for Tabasco and crackers never got my crackers and my Tabasco took forever to come then me and my wife order steaks she gets hers well done mines medium well and let me tell you they both came rare  then we have no napkins no utensils like really how are we going to eat just plain horrible experience I had to ask for utensils and napkins then later on I ask for water omg another 30 mins just plain horrible experience never will I go to this BJs and I will tell all friends and family to definitely avoid coming here by any means necessary.
Chris G.,Las Vegas  NV,45,122,150,10/12/2017,2.0,"Wow! Insert said face here! After a long day at universal studios ( private party )  we decided to chill back at the hotel and grab some food to go   luckily ( we thought ) bjs was right across the street ? We placed an online order and were awaiting a confirmation email as it said one would be arriving soon ......after a minute or 2 no email arrived so we called they said they received order   so I started walking across street   upon arrival there was no one at podium or take out area and I was told by other guests who were waiting for take out as well that the girl would be back I went to restroom to wash up and coming out still no one who worked there  after a few more minutes the girl came back and brought out the other guests food and apparently my order  which was quoted as 15/20 minutes from the time we hung up the phone at this point it was only about 10minutes from hotel  waiting and bathroom break   the takeout girl asked if I was picking up and I gave my name and she says order was ready   I was ""wow cool!"" Than she says that we were just waiting on the queso dip  I did place an extra order for milk and extra pzookie  which she said should come out together  once again cool  she said it was just going to be a moment after a few minutes the manager came out and said they were out of queso   and if I would like something else because they were closing soon  I decided on spinach dip   then she said it would be out soon then after a few minutes more I got spinach dip and pzookie  the girl forgot the milk and I had to wait a few more moments for that ! By the time I got back to room about 35 minutes had gone by   for an order that was mostly ready when I got there !! Wtf ?? Anyway back at the room  we opened food that was either cold ( spinach dip and sliders ) or burnt ( pzookie)   there was no ketchup for fries and all in all it was a very disappointing experience !! My friend called the restaurant and was told by Agatha the night manager that there was nothing she could do because they were closed already ! For the most part at the Henderson NV restaurant   I totally enjoy my BJs experience but here in California this left a lot to de desired !!"
