Username,location,friend_count,review_count,photo_count,date,rating,review
Taylor D.,Las Vegas  NV,0,12,10,11/25/2017,4.0,"called the night before to set up a reservation. get there for our time and said our reservation was a ""call ahead"" even though the night before was told ""reservation confirmed"". we waiting about 20 mins to be seated. anyways the food  ordered a medium pepperoni pizza and two medium cheeseburger pizzas for the 9 of us. probably only had a couple slices of the pepperoni for us. cheeseburger pizza is NOT on the menu anymore  but they still make it if you request it. i highly recommend the cheeseburger pizza if you are into burgers and pizzas. the pizookies  very very yummy: recommend the regular chocolate chip as well as peanut butter. my boyfriend has celiac so he was able to enjoy the gluten free pizza (which may i add  is also delicious) and the gluten free chocolate chip pizookie (also very delicious) i\'d eat both!"
Reed B.,Orlando  FL,22,159,54,11/18/2017,5.0,BJ's is one of those places that you go when you want something dependable  somewhat tasty and with something for everyone in your party. This BJs hits all of those marks  AND manages to be the best one of the chain that I have been to.  Here's what put it over the top compared to its brethren. - Quick service.  I have never had my food out that quickly in a busy restaurant. And everything was cooked correctly! - Awesome service! Our waitress was extremely personable and professional. My personal favorite item is the chicken pita tacos  but the burgers are great as well! Pizza is actually my least favorite item but is also still quite yummy. A pizzokie is a required desert item.
Paul W.,Las Vegas  NV,339,898,439,11/6/2017,4.0,Always a solid option! You looking for this and that? BJ's provides a little bit of this and a little of that for whatever you are looking for. I have been coming here pretty much since it opened. Never a negative experience. From the service to the constant evolving menu  you can find your favorites and new additions to boot.I am a true fan! The difference is split between this location and another in the immediate are. It would seem....I always choose this location. The parking is in not F$%^@! up and the quality is solid!Enjoy!
Scott J.,Las Vegas  NV,0,16,,11/24/2017,4.0,Great service and now prime rib! This was a fantastic dinner that I was not expecting. First time having more than lunch  service from Kyle was excellent you must try his expertise as he sold this dinner.
Tiffany Z.,Las Vegas  NV,1334,221,1686,7/5/2017\n            \n\n\n\n\n\nUpdated review,5.0,Another solid meal at BJs. Wait was usual  about 20 mins. Our server was on top of everything from our extra napkins request  side of this or that  to keeping our drinks refilled. Food was cooked perfect. Our waitress Kaitlyn was friendly and service was great!Definitely recommend. Enjoy!! :)
Jenna T.,Las Vegas  NV,167,74,120,5/17/2017,4.0,Great place for good food. From pizza to to burgers you can't go wrong. Bj's is that kind of restaurant were you know 99% of the time your food will come out looking and tasting amazing.Weekly specials*Any weekday you come in they offer a daily special including; 1/2 off pizza on Mondays  $3 pizookies on Tuesdays  $10 burgers on Wednesdays and rib deals on Thursdays. Rewards program*Every time you enjoy a meal you will collect points for every dollar spent. Rewards include free pizookies  and discounted meals. The more points you rack up the bigger the deals. They also email you specials including free appetizers and restaurant specials.Weekdays are typically slow and weekends you will find there's usually a wait. Today they had an off day but sometimes that happens. We had a few issues with missing items on our meals but a manager came out to reinsure they were fixing my meal to the appropriate standards. Whenever we've run into any issues with food  a manager has always came out and talk to us. It's a nice gesture showing acknowledgement that they messed up and the problem is getting fixed. I come here for the food but the customer service is always extra great!
Barbara P.,Honolulu  HI,30,100,126,5/3/2017,4.0,I've never be disappointed in anything I've had here. I had the Prime Rib French dip...very good! It had the perfect amount of meat  melted Swiss cheese  great Au jus...French fries w/n ice tea...perfect!Hubby had the fried chicken w/mashed potatoes  lots n lots of flavor. Of course  he enjoyed the test tasting of different beers. We've never been disappointed  whenever we come here. They're pretty consistent so  we know we'll enjoy our meals  always.Our waiter  Scotty  was great! He was funny  pretty knowledgeable about the menu and drinks. He suggested the beer and food  he was right...fabulous!
Stefanie H.,Las Vegas  NV,21,77,26,7/22/2017,3.0,4 stars for food. 2 for service. We went for our pre-concert dinner. Let me say right now at 4pm on Friday  it wasn't busy at all (mostly seniors). Although our waitress was very sweet and personable  that's where it ends. I don't know if our waitress was having an off day  but damn! It was as if she was frazzled or distracted. We got the food before we even got our drinks. My husband was missing part of his order and ONLY received when nearly finished. The saving grace was the food. It was delish and portions good  so zero issue there. Will we be back? Yep. Worth another shot.
Ryan C.,Las Vegas  NV,102,52,40,3/1/2017,3.0,Place was ok. The food wasn't all that great. Few things we ordered.Half rack ribs with mash potatoes and fries. Stuff mushroomsCalamari Ribeye steak with asparagus and mash potatoes Ahi tuna and chipsPizzaPazookie ( chocolate cookie with ice cream)The service was great and towards the end of the meal the manager came to serve us  which I thought was weird but whatever. Overall I would only come back if I had too. I wouldn't personally pick this place if I wanted to go eat.
Elleyne M.,Las Vegas  NV,51,126,134,6/11/2017,5.0,BJ's offers delicious eats  a family friendly environment  and courteous service! Our server was very accommodating and we had appetizing meals including buffalo chicken grilled cheese and fish and chips. We loved that the kid's meal side of fruit came with grapes cut in half. This is an extra step  and our kids only eat grapes this way. We will certainly be back  well done BJ's!
Sarah A.,Southwest  Las Vegas  NV,129,140,273,10/11/2016,4.0,Came here for a birthday dinner on a Monday night. It wasn't too terribly packed but BJ's is always poppin no matter what time you come in. My bf and I were greeted as soon as we came in & directed to our party. There were 11 of us at the table and were seated all the way to the right of the restaurant. Since it was happy hour  the bf ordered bone in chicken wings (buffalo something & garlic parm) with fries & I ordered the Alfredo pasta with shrimp instead of chicken. The wings were pretty good  we should've ordered it extra crispy or something. I prefer my wings with more of a crunch. The garlic parm was a little too saucy for me but the bf enjoyed both flavors. The thin cut fries are always a good choice! My pasta was super good! The portion was huge so I could only eat half & saved the other half for lunch the next day. I shared a salted caramel pizookie with a friend and maaaan  it was delicious! I loved the entire meal. Service was okay. It actually wasn't great. I'm not sure if it was cos we had a large party or what. The guy hardly ever came around to our table. I asked for a refill for my water & never got one. He just didn't seem like he wanted to serve our table  honestly. So deducted one star for service.
Jessie H.,Las Vegas  NV,13,13,5,10/10/2017,4.0,"My friends and I always end up going to BJ\'s if we don\'t know where to eat and I\'ve never been disappointed yet! I always take the longest time to order here because they have such a great variety to choose from. Some dishes I\'ve tried here is the Chicken Alfredo  the country fried chicken burger  and the ribeye. They are known for their ""pizookies"" which is their dessert. It\'s a warm  freshly baked cookie that is topped with icecream. Recently I came in and tried their Churro pizookie which is just a bunch of mini churros with a scoop of vanilla bean icecream on it but it was so good because the churros are fresh and warm (It\'s only offered for a limited time too)!!! Anyways  this place is a great place to go to if you are in a group and you don\'t really know what you are in the mood for."
Ronen S.,Redondo Beach  CA,56,3,,8/11/2017,1.0,If I could give negative stars I would. Awful service. 20 minutes to get drinks  only then did she take our food order. Another 30 minutes to get food. Got some orders wrong. Appetizers arrived after the food: we had 2 littlest kids with us and they got their food last. They orders Mac and cheese. That was kraft mad and cheese clearly. It take 5 minutes to make. Why did they get it last?Asked to see the manager  never arrived  and we waited another 30 minutes for that miracle to happen. Awful. Won't be caught in this place again even if they pay me.This is embarrassing for their brand  and really  for any restaurant. Not even an apology from that. Yeah... no.
