Rating,Number Of Ratings,Address
4.1/5,37 ratings,"12249 Fair Lakes Promenade Dr, Fairfax, VA 22033, USA"
Jack Daniel's Chicken,$14.99,Most Popular,930 calories. Two all-natural chicken breasts. Served with mashed potatoes and lemon butter broccoli.
Jack Daniel's Ribs,$21.99,Most Popular,"1600 calories. Full rack of slow-cooked, fall-off-the-bone tender big back pork ribs basted with Jack Daniel’s® glaze. Served with seasoned fries and coleslaw."
Coke™,$2.69,Most Popular, 
Sesame Jack™ Chicken Strips,$10.99,Most Popular,970 calories. Panko-crusted chicken breast strips tossed in a Jack Daniel’s® glaze.
Cajun Shrimp & Chicken Pasta,$14.99,Most Popular,"1430 calories. Sauteed all-natural chicken, shrimp and red bell peppers tossed with fettuccine in a spicy Cajun alfredo sauce."
Seasoned Fries,$2.00,Most Popular,"320 calories. Crispy, seasoned, and fried to perfection."
Bacon Cheesesburger,$10.99,Most Popular,"850 calories. White cheddar, aged all-natural cheddar spread, lettuce, tomatoes, red onion, pickles, hickory-smoked bacon, Fridays™ sauce."
Southern Fried Chicken Sandwich,$9.40,Most Popular,"930 calories. Battered chicken breast, lettuce, tomato, pickles, avocado and jack cheese layered on a soft bun with spicy mayo made with tabasco® chipotle pepper sauce."
Brownie Obsession,$6.99,Most Popular,"1200 calories. A warm fudge brownie, vanilla ice cream, ghirardelli® caramel sauce and pecans."
Tennessee Whiskey Cake,$7.99,Most Popular,"1110 calories. Toffee cake, glazed pecans, vanilla ice cream, butterscotch Jack Daniel’s® whiskey sauce."
Jack Daniel's Sampler,$15.49,Appetizers,"1860 calories. Sampler to share with crispy Cajun-spiced shrimp, sesame jack™ chicken strips and glazed big back pork ribs flavored with our famous Jack Daniel’s® sauce."
Mozzarella Sticks,$8.49,Appetizers,"820 calories. Six sticks of golden mozzarella blended with Asiago, then topped with parmesan and romano cheeses. Served with marinara sauce."
Sesame Jack™ Chicken Strips,$10.99,Appetizers,970 calories. Panko-crusted chicken breast strips tossed in a Jack Daniel’s® glaze.
Boneless Wings,$10.49,Appetizers,960 calories. 8 crispy boneless wings with styles that go way beyond buffalo.
Traditional Wings,$11.49,Appetizers,960 calories. 10 traditional bone-in wings with styles that go way beyond buffalo.
Loaded Potato Skins,$8.99,Appetizers,"1620 calories. 8 crispy potato halves, melted cheddar and bacon. Served with ranch sour cream and green onions."
Crispy Brussels Sprouts,$7.49,Appetizers,"670 calories. Tossed in lemon soy vinaigrette and topped with roasted onions, crispy croutons and cotija cheese."
BBQ Chicken Flatbread,$9.99,Appetizers,"610 calories. Chipotle chicken breast, chipotle barbecue sauce, Monterrey jack cheese, cheddar, cilantro, hand-cut red peppers and red onion."
Spinach Florentine Flatbread,$8.99,Appetizers,"550 calories. Spinach, artichoke heart, Monterrey jack, parmesan & romano cheeses, tomatoes, garlic, fresh basil, crushed red pepper & oregano."
Warm Pretzels,$8.49,Appetizers,1190 calories. 4 warm pretzels served with craft beer-cheese dipping sauce garnished with crispy applewood-smoked bacon and green onions.
Basket of Breadsticks,$2.69,Appetizers,780 calories.
Meatballs,$9.49,Appetizers,1070 calories. 8 Italian style meatballs in marinara sauce topped with bruschetta and parmesan cheese. Served with toasted baguette crostinis.
Fridays™ Combo,$13.49,Appetizers,"Traditional or boneless wings, loaded potato skins, mozzarella sticks."
Chicken Quesadilla,$8.99,Appetizers,"1010 calories. Flour tortilla, Monterrey jack and sharp cheddar, shredded chipotle chicken, peppers and onions. Drizzled with ranch sour cream and topped with pico de gallo. Served with house-made guacamole and salsa."
Giant Onion Rings,$7.49,Appetizers,1190 calories. Battered and served with BBQ ranch.
Pan-Seared Pot Stickers,$9.49,Appetizers,"590 calories. 6 steamed, pan-seared pork dumplings with szechuan dipping sauce."
Jack™ Sliders,$7.99,Appetizers,"630 calories. Two fresh USDA choice beef burgers topped with Jack Daniel’s® glaze, cola onions, white cheddar cheese and spicy mayo made with tabasco® chipotle pepper sauce."
Spinach Queso Dip,$9.49,Appetizers,"770 calories. Fresh spinach, white cheddar queso, parmesan and bread crumbs. Served with tortilla chips, salsa and guacamole."
Green Bean Fries,$7.49,Appetizers,900 calories. Breaded and served with cucumber-wasabi ranch.
Grilled Wings,$12.49,Appetizers,490 calories. Seasoned and grilled. Served with choice of dipping sauce and ranch or blue cheese dressing.
Loaded Chicken Nachos,$11.99,Appetizers,"1200 calories. Tortilla strips layered with shredded chipotle chicken, black beans, white poblano queso, pico de gallo, pickled jalapeños, cotija cheese and cilantro."
Bucket of Bones,$18.49,Appetizers,"1570 calories. Bucket to share of big back pork ribs basted with Jack Daniel's® glaze, traditional wings tossed in barbecue sauce and seasoned fries."
French Onion Soup,$4.49,Soup,310 calories. Caramelized onions simmered in a rich sherry au jus topped with baked crostinis and melted Swiss cheese.
White Cheddar Broccoli Cheese Soup,$4.49,Soup,280 calories. A creamy blend of white cheddar cheeses with broccoli.
House Salad,$4.49,Salad,"210 calories. Romaine and kale, grape tomato, cucumber, mixed cheese and Asiago croutons and a hot garlic breadstick. Choice of dressing on the side."
Pecan-Crusted Chicken Salad,$11.99,Salad,"1220 calories. Warm, crispy pecan-crusted chicken breast, romaine and kale, celery, dried sweet cranberries, fresh orange slices, glazed pecans, blue cheese. Balsamic vinaigrette on the side."
Million Dollar Cobb,$10.49,Salad,"830 calories, grilled all-natural chicken, romaine and kale, avocado, tomato, chopped egg, smoked bacon, blue cheese, red onion, cucumber, cheddar cheese. Green goddess dressing on the side."
BBQ Chicken Salad,$11.99,Salad,"910 calories, grilled BBQ all-natural chicken, romaine and kale, green onion, tomato, black beans and corn, cucumber, red onion, cilantro, cheddar, avocado, bacon and tortilla chips. Topped with Cajun-spiced onion strings and BBQ ranch dressing on the side."
Caesar Salad,$4.49,Salad,"440 calories. Romaine and kale topped with parmesan and romano cheeses, Asiago croutons and parmesan crisps. Served with grilled lemon and a hot garlic breadstick. Caesar dressing on the side."
Caesar Salad with Grilled Chicken,$10.49,Salad,"810 calories. Grilled all-natural chicken breast over romaine and kale. Topped with parmesan and romano cheeses, Asiago croutons and parmesan crisps. Served with grilled lemon and Caesar dressing on the side."
Jack Daniel's Burger,$11.49,Burger,"1110 calories. White cheddar, lettuce, red onion, tomato, pickles, hickory-smoked bacon, Jack Daniel’s® glaze."
Black Bean & Avocado Burger,$10.49,Burger,"840 calories. Spicy black bean patty, avocado, spicy mayo made with tabasco® chipotle pepper sauce, Monterrey jack, white cheddar and cola onions."
Turkey Burger,$10.49,Burger,530 calories. Seasoned ground all-natural turkey patty topped with classic garnishes.
Mac & Cheese Burger,$12.49,Burger,"1390 calories. Crispy macaroni and cheese, beer cheese sauce, spicy mayo made with tabasco® chipotle pepper sauce, hickory-smoked bacon, lettuce, tomatoes, red onion."
Really Good Cheeseburger,$9.99,Burger,"830 calories. White cheddar, lettuce, tomatoes, red onion, pickles and fridays™ sauce."
Bacon Cheesesburger,$10.99,Burger,"850 calories. White cheddar, aged all-natural cheddar spread, lettuce, tomatoes, red onion, pickles, hickory-smoked bacon, Fridays™ sauce."
