Rating,Number Of Ratings,Address
4.6/5,19 ratings,"40 N Research Pl, Central Islip, NY 11722, USA"
Jack Daniel's Burger,$12.49,Most Popular,"Signature Jack Daniel's® sauce, applewood-smoked bacon and melted provolone cheese."
Buffalo,$12.99,Most Popular,Traditional and classic.
Cajun Shrimp & Chicken Pasta,$17.25,Most Popular,"Sautéed all-natural chicken, shrimp and red bell peppers tossed with fettuccine ribbons in a spicy Cajun Alfredo sauce. Finished with parmesan shavings."
Sesame Jack Chicken Strips,$12.00,Most Popular,Panko-crusted chicken breast strips tossed in a Jack Daniel's® glaze
Jack Daniel's Sampler,$17.25,Most Popular,"Crispy Cajun-spiced shrimp, Sesame Jack™ Chicken Strips and Jack Daniel's® glazed baby back pork ribs."
Brownie Obsession,$7.50,Most Popular,"A warm chocolate-fudge brownie topped with vanilla ice cream, Ghirardelli® caramel sauce and pecans."
Crispy Chicken Fingers,$13.49,Most Popular,"Crispy and golden brown on the outside, tender and juicy inside. Served with Honey Mustard dressing and seasoned fries."
Mozzarella Sticks,$9.29,Most Popular,Golden mozzarella blended with Asiago then topped with Parmesan and Romano cheeses. Served with marinara sauce
Warm Pretzels with Craft Beer-Cheese Dipping Sauce,$12.19,Most Popular,"Thick, warm pretzels served with our creamy craft beer-cheese dipping sauce made with regionally crafted beer. Garnished with crispy applewood-smoked bacon and green onions."
Loaded Potato Skins,$12.00,Most Popular,Melted cheddar topped with crispy applewood-smoked bacon. Served with green onion and sour cream.
Balsamic-Glazed Chicken Caesar Salad,$10.99,Soups and Salads,Grilled balsamic-marinated all-natural chicken breast served over freshly chopped romaine tossed in a Caesar Vinaigrette with shaved Parmesan and tomatoes.
Grilled Chicken Cobb Salad,$12.00,Soups and Salads,"Grilled balsamic-marinated all-natural chicken breast served over freshly chopped romaine with sliced avocado, grape tomatoes, hard-boiled egg, applewood-smoked bacon and crumbled bleu cheese with your choice of dressing. (gluten sensitive)"
House Salad,$6.25,Soups and Salads,"Freshly chopped romaine, red cabbage, grape tomato, cucumber, mixed cheese and focaccia croutons with choice of dressing and a hot garlic breadstick."
Pecan-Crusted Chicken Salad,$12.99,Soups and Salads,"Warm, crispy pecan-crusted chicken breast served over mixed greens tossed in Balsamic Vinaigrette with dried cranberries, mandarin oranges, sweetened pecans and bleu cheese."
BBQ Chicken Flatbread,$10.99,Starters,"Crispy flatbread topped with tender, pulled all-natural chicken breast in a chipotle barbecue sauce and baked with Monterey Jack cheese, cheddar, cilantro, and hand-cut red peppers and red onion."
Jack Daniel's Sampler,$17.25,Starters,"Crispy Cajun-spiced shrimp, Sesame Jack™ Chicken Strips and Jack Daniel's® glazed baby back pork ribs."
Pan-Seared Pot Stickers,$10.49,Starters,"Steamed, pan-seared pork dumplings. Served with a Szechwan dipping sauce."
Sesame Jack Chicken Strips,$12.00,Starters,Panko-crusted chicken breast strips tossed in a Jack Daniel's® glaze
Spinach Florentine Flatbread,$9.80,Starters,"Crisp, oven-baked flatbread topped with spinach & artichoke heart spread and a bruschetta mix of diced tomatoes, garlic, fresh basil and a hint of crushed red pepper and oregano."
Warm Pretzels with Craft Beer-Cheese Dipping Sauce,$12.19,Starters,"Thick, warm pretzels served with our creamy craft beer-cheese dipping sauce made with regionally crafted beer. Garnished with crispy applewood-smoked bacon and green onions."
Loaded Potato Skins,$12.00,Starters,Melted cheddar topped with crispy applewood-smoked bacon. Served with green onion and sour cream.
Mozzarella Sticks,$9.29,Starters,Golden mozzarella blended with Asiago then topped with Parmesan and Romano cheeses. Served with marinara sauce
Crispy Green Bean Fries,$7.99,Starters,Breaded and served with Cucumber-Wasabi Ranch
Traditional Wings,$29.28,Starters, 
Buffalo,$12.99,Wings,Traditional and classic.
Garlic Parmesan,$11.49,Wings,Mild and creamy with sharp garlic and parmesan
Jack Daniel's Chicken,$19.50,Jack Daniel's Grill,Two all-natural chicken breasts. Served with two choice sides.
Jack Daniel's Chicken & Shrimp,$22.74,Jack Daniel's Grill,All-natural chicken breast paired with crispy shrimp. Served with two choice sides.
Jack Daniel's Rib-Eye,$31.49,Jack Daniel's Grill,10 ounces of our most tender cut with generous marbling and succulent flavor.
Jack Daniel's Ribs,$22.99,Jack Daniel's Grill,"Full rack of slow-cooked, fall-off-the-bone tender baby back pork ribs. Served with seasoned fries and coleslaw"
Jack Daniel's Ribs & Shrimp,$26.49,Jack Daniel's Grill,Full rack of slow-cooked tender baby back pork ribs paired with crispy Cajun-spiced shrimp. Served with seasoned fries and coleslaw
Jack Daniel's Rib-Eye and Shrimp,$26.48,Jack Daniel's Grill,10 oz. of our most tender cut with generous marbling and succulent flavor paired with crispy shrimp.
Big Ribs,$22.49,Jack Daniel's Grill, 
Half Ribs,$15.00,Jack Daniel's Grill, 
Flat Iron Steak,$23.98,From the Grill, 
Grilled Norwegian Salmon,$16.99,From the Grill,Perfectly seasoned with hickory-smoked sea salt and cremini mushrooms in a roasted Alfredo sauce.
NY Strip Steak,$21.99,From the Grill, 
Bourbon Barrel Mahi Mahi,$17.80,From the Grill,Perfectly seasoned with hickory-smoked sea salt fire-grilled over bourbon-soaked plans for a smoky vanilla sweetness that brings out the natural flavor in every bite.
Memphis-Rubbed Ribs,$21.99,From the Grill,"A full rack of baby back ribs glazed with BBQ sauce, then rubbed in our sweet Memphis rub of brown sugar, chipotle pepper, garlic and onion"
Bruschetta Chicken Pasta,$15.49,Sizzling & Main Entrees,"Fettuccine tossed in garlic, basil and Roma tomato marinara.  Topped with strips of garlic-marinated all-natural chicken breast.  Finished with Balsamic glaze and parmesan shavings"
Cajun Shrimp & Chicken Pasta,$17.25,Sizzling & Main Entrees,"Sautéed all-natural chicken, shrimp and red bell peppers tossed with fettuccine ribbons in a spicy Cajun Alfredo sauce. Finished with parmesan shavings."
