Rating,Number Of Ratings,Address
4.1/5,30 ratings,"7221 Carson Blvd, Long Beach, CA 90808, USA"
Jack Daniel's Sampler,$17.75,Most Popular,"1860 cal. Sampler to share with crispy cajun-spiced shrimp, sesame jack chicken strips and baby back pork ribs basted with our famous Jack Daniel's glaze."
Cajun Shrimp & Chicken Pasta,$17.25,Most Popular,"1430 cal. Sauteed all natural chicken, shrimp and red bell peppers tossed with fettuccine in a spicy cajun alfredo sauce."
BBQ Ribs / Jack Daniel's Ribs,$23.25,Most Popular,"Slow-cooked, fall-off-the-bone tender baby back pork ribs fire-grilled and served with seasoned fries and coleslaw."
Basket Of Garlic Breadsticks,$2.75,Most Popular,780 cal.
Mozzarella Sticks,$10.00,Most Popular,820 cal. Golden mozzarella blended with asiago. Topped with parmesan and romano cheeses. Served with marinara sauce.
Jack Daniel's Burger,$13.50,Most Popular,"1100 cal. White cheddar, lettuce, red onion, tomatoes, pickles, hickory-smoked bacon and Jack Daniel's glaze."
Vanilla Bean Cheesecake,$7.25,Most Popular,"920 cal. Silky white chocolate mousse, graham cracker crust and white chocolate shavings."
Wings,$12.25,Most Popular,720-1160 cal. Go boneless or traditional with your choice of sauce. Served with celery and choice of dressing.
Cheddar Mac & Cheese,$3.00,Most Popular,610 cal.
Oreo Madness,$7.25,Most Popular,"500 cal. Cookies & cream ice cream, oreo cookie crust and ghirardelli chocolate sauce."
Jack Daniel's Sampler,$17.75,Appetizers and Starters,"1860 cal. Sampler to share with crispy cajun-spiced shrimp, sesame jack chicken strips and baby back pork ribs basted with our famous Jack Daniel's glaze."
Sesame Jack Chicken Strips,$12.00,Appetizers and Starters,1090 cal. Panko-crusted chicken breast strips tossed in a Jack Daniel's glaze.
Spinach and Queso Dip,$11.50,Appetizers and Starters,"770 cal. Fresh spinach, white cheddar queso, parmesan and bread crumbs. Served with tortilla chips, salsa and guacamole."
Spinach Florentine Flatbread,$10.50,Appetizers and Starters,"550 cal. Spinach, artichoke hearts, monterrey jack, parmesan, romano, tomatoes, garlic, fresh basil, crushed red pepper and oregano."
Jack Sliders,$12.25,Appetizers and Starters,"All beef patties topped with Jack Daniel's glaze, cola onions, white cheddar cheese and spicy mayo made with tabasco chipotle pepper sauce."
Loaded Potato Skins,$12.00,Appetizers and Starters,"1620 cal. Crispy potato halves, melted cheddar and bacon. Served with ranch, sour cream and green onions."
Shrimp Cocktail,$12.25,Appetizers and Starters,205 cal. Twelve cocktail shrimp served chilled with zesty cocktail sauce and fresh citrus wedges.
Nachos Grande,$12.50,Appetizers and Starters,"1610 cal. Warm, crisp tostada chips piled high with diced char-grilled chicken, spicy jalapenos and pico de gallo, smothered with melted cheeses. Served with a side of sour cream and fresh house-made guacamole atop fresh shredded lettuce."
Chicken Quesadilla,$9.75,Appetizers and Starters,"1060 cal. Flour tortilla, monterrey jack and sharp cheddar, chipotle chicken, peppers and onions. Served with sour cream, pico de gallo and house-made guacamole."
Mozzarella Sticks,$10.00,Appetizers and Starters,820 cal. Golden mozzarella blended with asiago. Topped with parmesan and romano cheeses. Served with marinara sauce.
Pan-Seared Pot Stickers,$11.50,Appetizers and Starters,"590 cal. Steamed, pan-seared pork dumplings with szechuan dipping sauce."
BBQ Chicken Flatbread,$11.50,Appetizers and Starters,"610 cal. Chipotle chicken breast, chipotle barbecue sauce, monterrey jack cheese, cheddar, cilantro, red peppers and red onion."
Warm Pretzels with Craft Beer-Cheese Dipping Sauce,$10.00,Appetizers and Starters,1190 cal. Garnished with crispy applewood-smoked bacon and green onions.
Crispy Green Bean Fries,$9.75,Appetizers and Starters,"900 cal. Breaded and crispy, served with cucumber-wasabi ranch."
Cheeseburger Sliders,$11.50,Appetizers and Starters,"940 cal. Three mouthwatering mini burgers made with all beef patties served with lettuce, tomatoes, pickles and onions. Topped with American cheese and caramelized onions."
Wings,$12.25,Appetizers and Starters,720-1160 cal. Go boneless or traditional with your choice of sauce. Served with celery and choice of dressing.
Clam Chowder,$6.50,Premium Seafood Starters,215 cal. A bowl of creamy new England style chowder served with crackers.
Shrimp Cocktail,$12.25,Premium Seafood Starters,205 cal. Twelve cocktail shrimp served chilled with zesty cocktail sauce and fresh citrus wedges.
Caesar Salad with Grilled Chicken,$12.25,Soups & Salads,"810 cal. Grilled all-natural chicken breast over chopped romaine and kale, tossed in a classic caesar dressing. Topped with shaved parmesan and romano cheese, asiago croutons and parmesan crisps. Served with grilled lemon."
Caesar Salad with Flat Iron 4 oz Steak,$15.25,Soups & Salads,"730 cal. Flat iron 4 oz steak with chopped romaine and kale, tossed in a classic caesar dressing. Topped with shaved parmesan and romano cheese, asiago croutons and parmesan crisps. Served with grilled lemon."
Caesar Salad with Grilled Salmon,$16.25,Soups & Salads,"910 cal. Grilled salmon with chopped romaine and kale, tossed in a classic caesar dressing. Topped with shaved parmesan and romano cheese, asiago croutons and parmesan crisps. Served with grilled lemon."
Pecan-Crusted Chicken Salad,$13.75,Soups & Salads,"1220 cal. Warm and crispy pecan-crusted chicken breast, romaine and kale, celery, dried sweet cranberries, fresh Orange slices, glazed pecans and bleu cheese. Tossed in balsamic vinaigrette."
BBQ Chicken Salad,$12.75,Soups & Salads,"910 cal. Grilled BBQ all-natural chicken, romaine and kale, green onion, tomato, black beans and corn, cucumber, red onion, cilantro, cheddar, avocado, bacon and tortilla chips. Tossed in BBQ ranch dressing and topped with cajun-spiced onion strips."
Million Dollar Cobb Salad with Grilled Chicken,$12.75,Soups & Salads,"830 cal. Grilled all natural chicken, romaine and kale, avocado, tomato, chopped egg, smoked bacon, bleu cheese, red onion, cucumber, and cheddar cheese. Green goddess dressing on the side."
Million Dollar Cobb Salad with Flat Iron 4 oz Steak,$16.75,Soups & Salads,"790 cal. Flat iron 4 oz steak, romaine and kale, avocado, tomato, chopped egg, smoked bacon, bleu cheese, red onion, cucumber, and cheddar cheese. Green goddess dressing on the side."
Million Dollar Cobb Salad with Grilled Salmon,$16.75,Soups & Salads,"920 cal. Grilled salmon, romaine and kale, avocado, tomato, chopped egg, smoked bacon, bleu cheese, red onion, cucumber, and cheddar cheese. Green goddess dressing on the side."
Seasonal Strawberry Fields Salad,$10.75,Soups & Salads,"610 cal. Fresh balsamic-marinated strawberries, mixed greens, shaved parmesan, goat cheese and glazed pecans tossed with balsamic vinaigrette dressing."
Seasonal Strawberry Fields with Grilled Chicken Salad,$12.75,Soups & Salads,"810 cal. Fresh balsamic-marinated strawberries, mixed greens, shaved parmesan, goat cheese and glazed pecans tossed with balsamic vinaigrette dressing."
Seasonal Strawberry Fields with 4 oz Flat Iron Steak Salad,$15.75,Soups & Salads,"780 cal. Fresh balsamic-marinated strawberries, mixed greens, shaved parmesan, goat cheese and glazed pecans tossed with balsamic vinaigrette dressing."
Seasonal Strawberry Fields with Grilled Salmon Salad,$16.75,Soups & Salads,"890 cal. Fresh balsamic-marinated strawberries, mixed greens, shaved parmesan, goat cheese and glazed pecans tossed with balsamic vinaigrette dressing."
French Onion Soup,$6.50,Soups & Salads,310 cal. Caramelized onions simmered in a rich sherry au jus topped with baked crostinis and melted Swiss cheese.
White Cheddar Broccoli Cheese Soup,$6.50,Soups & Salads,280 cal. A creamy blend pf white cheddar cheeses with broccoli.
Tomato Basil Soup,$6.50,Soups & Salads,300 cal.
Clam Chowder,$6.50,Soups & Salads,215 cal.
Side House Salad,$6.25,Soups & Salads,"210-410 cal. Chopped romaine, red cabbage, grape tomatoes, cucumber, mixed cheese and asiago croutons with choice of dressing and a hot garlic breadstick."
Side Caesar Salad,$6.25,Soups & Salads,"440 cal. Chopped romaine and kale tossed in a classic caesar dressing. Topped with shaved parmesan and romano cheese, asiago croutons and parmesan crisps. Served with grilled lemon and a hot garlic breadstick."
Basket Of Garlic Breadsticks,$2.75,Soups & Salads,780 cal.
Lemon-Butter Broccoli,$3.00,Soups & Salads,150 cal.
Chef's Vegetable Selection,$3.00,Soups & Salads,110 cal.
Coleslaw,$3.00,Soups & Salads,100 cal.
Baked Potato,$3.00,Soups & Salads,160 cal.
Cheddar Mac & Cheese,$3.00,Soups & Salads,610 cal.
Basket Of Fries,$3.00,Soups & Salads, 
Mashed Potatoes,$3.00,Soups & Salads,250 cal. Stuffed with cheddar cheese and topped with green onions.
Jack Daniel's Chicken Sandwich,$12.00,Sandwiches,"1110 cal. Grilled all natural chicken breast seasoned with hickory-smoked sea salt. Topped with Jack Daniel's glaze, hickory-smoked bacon, white cheddar, cajun-spiced crispy onion strings, lettuce, tomato, pickles and Jack Daniel's mayo."
French Dip,$12.00,Sandwiches,"800 cal. Sliced prime rib in a mushroom stout sauce on a freshly baked toasted baguette with horseradish spread, Swiss cheese, cola onions and au jus on the side."
Southern Fried Chicken Sandwich,$12.00,Sandwiches,"930 cal. Battered chicken breast, lettuce, tomato, pickles, avocado and jack cheese layered on a soft bun with spicy mayo made with tabasco chipotle pepper sauce."
Turkey and Avocado BLT,$12.00,Sandwiches,"760 cal. Whole turkey breast slices, Swiss cheese, lettuce, tomato, bacon and avocado with pesto aioli on soft focaccia bread."
