Rating,Number Of Ratings,Address
4.3/5,31 ratings,"1 Brewers Way, Milwaukee, WI 53214, USA"
Cajun Shrimp & Chicken Pasta,$16.00,Most Popular,"Sautéed all-natural chicken, shrimp and red bell peppers tossed with fettuccine ribbons in a spicy Cajun Alfredo sauce. Finished with parmesan shavings."
Brownie Obsession,$6.99,Most Popular,"A warm chocolate-fudge brownie topped with vanilla ice cream, Ghirardelli® caramel sauce and pecans."
Buffalo,$11.00,Most Popular,Traditional and classic
Jack Daniel's Burger,$11.60,Most Popular,"Signature Jack Daniel's® sauce, applewood-smoked bacon and melted provolone cheese."
Crispy Chicken Fingers,$12.30,Most Popular,"Crispy and golden brown on the outside, tender and juicy inside. Served with Honey Mustard dressing and seasoned fries."
Sizzling Chicken & Shrimp,$15.77,Most Popular,"Garlic-marinated all-natural chicken and shrimp tossed in bruschetta marinara. Served over melted cheese with onions, peppers and creamy mashed potatoes. (gluten sensitive)"
Jack Daniel's Ribs,$22.99,Most Popular,"Full rack of slow-cooked, fall-off-the-bone tender baby back pork ribs. Served with seasoned fries and coleslaw"
Classic Cheeseburger,$9.00,Most Popular,Classic fire-grilled burger topped with melted American cheese.  (gluten sensitive)
Oreo Madness,$6.99,Most Popular,"Hand-crumbled crust and premium Ghirardelli® sauce will drive you crazy. 
Cookies and Cream ice cream sandwiched between layers of Oreo® cookie crust. Garnished with Ghirardelli® chocolate sauce."
Loaded Potato Skins,$12.79,Most Popular,Melted cheddar topped with crispy applewood-smoked bacon. Served with green onion and sour cream.
Balsamic-Glazed Chicken Caesar Salad,$10.50,Soups and Salads,Grilled balsamic-marinated all-natural chicken breast served over freshly chopped romaine tossed in a Caesar Vinaigrette with shaved Parmesan and tomatoes.
Classic Wedge Salad,$7.19,Soups and Salads,"Crisp iceberg wedge with applewood-smoked bacon, diced tomato, crumbled bleu cheese and Bleu Cheese dressing. (gluten sensitive)"
Grilled Chicken Cobb Salad,$11.00,Soups and Salads,"Grilled balsamic-marinated all-natural chicken breast served over freshly chopped romaine with sliced avocado, grape tomatoes, hard-boiled egg, applewood-smoked bacon and crumbled bleu cheese with your choice of dressing. (gluten sensitive)"
House Salad,$5.10,Soups and Salads,"Freshly chopped romaine, red cabbage, grape tomato, cucumber, mixed cheese and focaccia croutons with choice of dressing and a hot garlic breadstick."
Pecan-Crusted Chicken Salad,$11.10,Soups and Salads,"Warm, crispy pecan-crusted chicken breast served over mixed greens tossed in Balsamic Vinaigrette with dried cranberries, mandarin oranges, sweetened pecans and bleu cheese."
BBQ Chicken Flatbread,$10.99,Starters,"Crispy flatbread topped with tender, pulled all-natural chicken breast in a chipotle barbecue sauce and baked with Monterey Jack cheese, cheddar, cilantro, and hand-cut red peppers and red onion."
Jack Daniel's Sampler,$16.29,Starters,"Crispy Cajun-spiced shrimp, Sesame Jack™ Chicken Strips and Jack Daniel's® glazed baby back pork ribs."
Pan-Seared Pot Stickers,$9.49,Starters,"Steamed, pan-seared pork dumplings. Served with a Szechwan dipping sauce."
Sesame Jack Chicken Strips,$12.79,Starters,Panko-crusted chicken breast strips tossed in a Jack Daniel's® glaze
Spinach Florentine Flatbread,$8.60,Starters,"Crisp, oven-baked flatbread topped with spinach & artichoke heart spread and a bruschetta mix of diced tomatoes, garlic, fresh basil and a hint of crushed red pepper and oregano."
Tuscan Spinach Dip,$10.99,Starters,"Spinach, artichoke hearts, sautéed onions and bell peppers blended with Parmigiano and Romano cheeses. Served hot with crisp tostada strips."
Warm Pretzels with Craft Beer-Cheese Dipping Sauce,$12.19,Starters,"Thick, warm pretzels served with our creamy craft beer-cheese dipping sauce made with regionally crafted beer. Garnished with crispy applewood-smoked bacon and green onions."
Loaded Potato Skins,$12.79,Starters,Melted cheddar topped with crispy applewood-smoked bacon. Served with green onion and sour cream.
Mozzarella Sticks,$12.19,Starters,Golden mozzarella blended with Asiago then topped with Parmesan and Romano cheeses. Served with marinara sauce
Crispy Green Bean Fries,$7.90,Starters,Breaded and served with Cucumber-Wasabi Ranch
Buffalo,$11.00,Wings,Traditional and classic
Sriracha Buffalo,$11.00,Wings,Traditional kicked up a notch with spicy Sriracha pepper
Memphis BBQ,$10.20,Wings,Tangy Tennessee barbecue sauce and sweet Memphis rub
Garlic Parmesan,$11.49,Wings,Mild and creamy with sharp garlic and parmesan
Cider Glaze,$9.70,Wings,Sweet cider glaze with a hint of cayenne heat
Jack Daniel's Chicken,$14.99,Jack Daniel's Grill,Two all-natural chicken breasts. Served with two choice sides.
Jack Daniel's Chicken & Shrimp,$18.99,Jack Daniel's Grill,All-natural chicken breast paired with crispy shrimp. Served with two choice sides.
Jack Daniel's Flat Iron,$15.99,Jack Daniel's Grill,"A hand-trimmed 8-ounce top blade steak with deep, rich flavor."
Jack Daniel's Ribs,$22.99,Jack Daniel's Grill,"Full rack of slow-cooked, fall-off-the-bone tender baby back pork ribs. Served with seasoned fries and coleslaw"
New York Strip,$21.49,Jack Daniel's Grill, 
Jack Daniel's Rib-Eye and Shrimp,$23.40,Jack Daniel's Grill,10 oz of our most tender cut with generous marbling and succulent flavor paired with crispy shrimp
Sirloin,$13.99,Jack Daniel's Grill, 
Baby Back Ribs,$20.40,From the Grill,"Slow-cooked baby back pork ribs basted in Tennessee BBQ sauce, then fire-grilled. Served with seasoned fries and coleslaw"
Rib-Eye Steak,$20.49,From the Grill, 
Bourbon Barrel Mahi Mahi,$17.80,From the Grill,Perfectly seasoned with hickory-smoked sea salt fire-grilled over bourbon-soaked plans for a smoky vanilla sweetness that brings out the natural flavor in every bite.
Memphis-Rubbed Ribs,$21.00,From the Grill,"A full rack of baby back ribs glazed with BBQ sauce, then rubbed in our sweet Memphis rub of brown sugar, chipotle pepper, garlic and onion"
Bruschetta Chicken Pasta,$14.95,Sizzling & Main Entrees,"Fettuccine tossed in garlic, basil and Roma tomato marinara.  Topped with strips of garlic-marinated all-natural chicken breast.  Finished with Balsamic glaze and parmesan shavings"
Cajun Shrimp & Chicken Pasta,$16.00,Sizzling & Main Entrees,"Sautéed all-natural chicken, shrimp and red bell peppers tossed with fettuccine ribbons in a spicy Cajun Alfredo sauce. Finished with parmesan shavings."
Crispy Chicken Fingers,$12.30,Sizzling & Main Entrees,"Crispy and golden brown on the outside, tender and juicy inside. Served with Honey Mustard dressing and seasoned fries."
Fridays Shrimp,$14.49,Sizzling & Main Entrees,"A dozen crispy, golden brown shrimp served with cheddar mac & cheese and a side of fresh tomato mozzarella salad"
Parmesan-Crusted Chicken,$11.00,Sizzling & Main Entrees,All-natural chicken served with cheddar mac & cheese and a side of fresh tomato & mozzarella salad.
Sizzling Chicken & Cheese,$14.00,Sizzling & Main Entrees,"Garlic-marinated all-natural chicken breast served over melted cheese with onions, peppers and creamy mashed potatoes. (gluten sensitive)"
Sizzling Chicken & Shrimp,$15.77,Sizzling & Main Entrees,"Garlic-marinated all-natural chicken and shrimp tossed in bruschetta marinara. Served over melted cheese with onions, peppers and creamy mashed potatoes. (gluten sensitive)"
Bruschetta Shrimp Pasta,$13.40,Sizzling & Main Entrees,"Fettuccine tossed in garlic, basil and Roma tomato marinara.  Topped with shrimp.  Finished with Balsamic glaze and parmesan shavings"
Bruschetta Salmon Pasta,$17.40,Sizzling & Main Entrees,"Fettuccine tossed in garlic, basil and Roma tomato marinara.  Topped with salmon.  Finished with Balsamic glaze and parmesan shavings"
Classic Cheeseburger,$9.00,Handcrafted Burgers,Classic fire-grilled burger topped with melted American cheese.  (gluten sensitive)
Jack Daniel's Burger,$11.60,Handcrafted Burgers,"Signature Jack Daniel's® sauce, applewood-smoked bacon and melted provolone cheese."
Sedona Black Bean Burger,$9.10,Handcrafted Burgers,"Spicy black bean patty topped with chipotle mayo, melted Monterey Jack and cheddar, balsamic-glazed onions and sliced avocado."
Turkey Burger,$11.50,Handcrafted Burgers,Seasoned ground all-natural turkey patty topped with classic garnishes. (gluten sensitive)
Brownie Obsession,$6.99,Desserts,"A warm chocolate-fudge brownie topped with vanilla ice cream, Ghirardelli® caramel sauce and pecans."
Oreo Madness,$6.99,Desserts,"Hand-crumbled crust and premium Ghirardelli® sauce will drive you crazy. 
Cookies and Cream ice cream sandwiched between layers of Oreo® cookie crust. Garnished with Ghirardelli® chocolate sauce."
Tennessee Whiskey Cake,$7.99,Desserts,Warm toffee cake topped with glazed pecans and vanilla ice cream. Served with butterscotch Jack Daniel's® Whiskey sauce.
Vanilla Bean Cheesecake,$7.79,Desserts,"Made with real vanilla beans, layered with white chocolate mousse and baked in a graham cracker crust. Topped with white chocolate shavings."
California Club,$10.40,Handhelds,"Smoked turkey breast, applewood-smoked bacon, ham and Monterey Jack cheese on a freshly baked toasted baguette with freshly chopped romaine, tomatoes, avocado and mayo."
French Dip,$11.99,Handhelds,"Sliced Prime Rib in a mushroom stout sauce on a freshly baked toasted baguette with horseradish spread, Swiss cheese, balsamic onions and au jus on the side."
Jack Daniel's Chicken Sandwich,$10.80,Handhelds,"Grilled all-natural chicken breast seasoned with hickory-smoked sea salt. Topped with Jack Daniel's® glaze, applewood-smoked bacon, mixed cheese, Cajun-spiced fried onion strings, lettuce, vine-ripened tomato, pickles and Jack Daniel's® mayo. Served on a freshly baked bun."
