Rating,Number Of Ratings,Address
4.3/5,30 ratings,"370 Peachtree Pkwy, Cumming, GA 30041, USA"
Red Robin Gourmet Cheeseburger,$9.79,Most Popular,"The one that made us famous. Featuring Red’s pickle relish, tomatoes, onions, lettuce, pickles, mayo and choice of cheese."
Bacon Cheeseburger,$10.69,Most Popular,"Bacon. It makes everything better. Even our cheeseburger, which is already tough to beat. Topped with mayo, lettuce, tomatoes and your choice of cheese."
Whiskey River BBQ,$10.99,Most Popular,"Our smoky, tangy tribute to the Wild West. We roped together our signature bourbon-infused Whiskey River® BBQ sauce, crispy onion straws, Cheddar, lettuce, tomatoes and mayo. See if you can hang on to it for eight seconds."
Cluck-A-Doodles,$5.99,Most Popular,3 breaded chicken tenders.
Prime Chophouse,$10.99,Most Popular,"A fire-grilled burger layered with horseradish-sautéed mushrooms, gourmet steak sauce, Provolone, Country Dijon and crispy onion straws on an onion bun."
Keep It Simple,$8.99,Most Popular,"For those times when less is more. Choose from our fire-grilled beef, Gardenburger® or BOCA Original Vegan Burger patty with lettuce, tomatoes, pickles and onions on the side. Served with your choice of Bottomless Steak Fries® or Bottomless Freckled Fruit® Salad."
Chicken Tortilla Soup,$5.39,Most Popular,"Hearty chicken and vegetables, topped with Cheddar, sour cream and tortilla strips."
Royal Red Robin,$11.09,Most Popular,"Which came first, the bacon or the egg?* Who cares? You can have them both at once! Plus melted American cheese, tomatoes, lettuce and mayo."
Soft Drink,$2.99,Most Popular,Coca-Cola® products.
Steak Fries,$1.99,Most Popular, 
BBQ Pork Loaded Chips,$9.00,Appetizers,"BBQ pulled pork with queso, diced red onions and parsley piled high on a plate of housemade Yukon kettle chips and served with a side of pickles."
French Onion Soup,$5.09,Soups,Say “oui” to this fresh favorite topped with melted Provolone and Parmesan. Served with garlic toast.
Clamdigger's Clam Chowder,$5.39,Soups,"Roll up your pants and dig your soup spoon into this traditional, creamy New England-style clam chowder. Served with garlic toast."
Chicken Tortilla Soup,$5.39,Soups,"Hearty chicken and vegetables, topped with Cheddar, sour cream and tortilla strips."
Red's Chili Chili™,$5.59,Soups,"Try our meaty blend of beans, spices and hearty peppers. Topped with Cheddar, onions and tortilla strips."
Simply Grilled Chicken Salad,$7.99,Fresh Salad,"Our juicy grilled chicken breast, Cheddar cheese, tomatoes and cucumbers on a bed of mixed greens. Served with garlic toast and choice of dressing."
Avo-Cobb-O,$8.89,Fresh Salad,"Grilled chicken breast, hardwood-smoked bacon, Bleu cheese, hard-boiled egg, tomatoes and, of course, avocado on mixed greens. Served with garlic toast and choice of dressing."
Crispy Chicken Tender,$7.99,Fresh Salad,"Your favorite finger food tossed with hard-boiled eggs, hardwood-smoked bacon, tomatoes and Cheddar over mixed greens. Served with garlic toast and choice of dressing."
Mighty Caesar Salad,$7.49,Fresh Salad,"The king of all salads. Fresh, crisp romaine lettuce and shredded Parmesan cheese tossed with creamy Caesar dressing, topped with grilled chicken breast. Served with a lemon wedge on the side."
Southwest Sombrero,$8.49,Fresh Salad,"A Southwest classic with a twist–Ancho-grilled chicken breast, black beans, avocado, fried jalapeño coins, red bell peppers, onions, roasted corn, cilantro and lime on a bed of mixed greens. Topped with a crunchy tostada sombrero with Cheddar cheese and jalapeño spread. Tossed with Salsa-ranch dressing."
Soup & Salad Combo-House Salad,$9.49,Fresh Salad,Your favorite bowl of soup served with a crisp mixed greens house salad.
Soup & Salad Combo-Traditional Caesar,$9.49,Fresh Salad,Your favorite bowl of soup served with a crisp mixed greens house salad.
House Salad,$4.79,Fresh Salad, 
Side Traditional Caesar,$4.79,Fresh Salad, 
