status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares
84917689333_10156158490959334,"WHISKY BACON BURGER  Had one of these yesterday! Well worth the $7.99 and add a Bahama Mama for $1.00
This burger is stacked with a Fireball Whisky-infused steak sauce, loaded with bacon and topped with crispy onions.",,status,,2018-02-22 15:23:14,0,0,0
84917689333_10156158447894334,Not that you need an excuse to order our Perfect Margaritabut its National Margarita Day!,,video,https://www.facebook.com/applebees/videos/10156158447894334/,2018-02-22 15:04:21,634,173,146
84917689333_10156158144269334,,,photo,https://www.facebook.com/photo.php?fbid=10150986291674995&set=p.10150986291674995&type=3,2018-02-22 12:59:10,0,0,0
84917689333_10156156430114334,Why send me a coupon that doesnt work for my area? ,,photo,https://www.facebook.com/photo.php?fbid=1595164790536766&set=p.1595164790536766&type=3,2018-02-21 20:02:24,0,1,0
84917689333_10156156427204334,Cut the cost and skip the trip. With a DollarMama the tropics are just a sip away.,Timeline Photos,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10156156427204334/?type=3,2018-02-21 20:00:01,194,18,40
84917689333_10156153194529334,Why decide? Get both for the price of one with half-priced apps!,Timeline Photos,photo,https://www.facebook.com/applebees/photos/a.106500769333.92005.84917689333/10156153194529334/?type=3,2018-02-20 18:00:01,472,92,36
84917689333_10156152969624334,Simply put don't go to Applebees they have bad service and managers are way worse. They are known to have bad service on the island. Our server was friendly but just extremely forgetful of just basic things. Food was cold. Management was very rude and didn't really try to properly fix the issues. Go to Dave and busters we had amazing service there. Both server and management wise.  And no I don't want any gift cards or anything from Applebees. The bad service left that bad of a taste. I just think Applebees needs to know the rep they have is bad customer service at all 3 locations in Hawaii,,status,,2018-02-20 16:12:35,1,0,0
84917689333_10156151284354334,,,photo,https://www.facebook.com/photo.php?fbid=1986475794713022&set=p.1986475794713022&type=3,2018-02-20 01:53:29,1,0,0
84917689333_10156150756489334,"Went to the restaurant in Margate, Florida today. The hostess was a total joy and super helpful. Moreover, our server, Johnathan, was superb - highly recommended!",,status,,2018-02-19 19:46:13,3,0,0
84917689333_10156144386114334,"Applebees do better. Oddly enough, all the bad press regarding the Independence Mall location reminded me I have a gift card. I ordered car side to go to be ready at 2:31pm and paid online with a gift card. I pull in at 2:32pm with no acknowledgement. Finally at 2:46 a lady brings a bag to my car and tries to charge me. I explain that it was paid with gift card. She says, No, but let me go check inside. A couple minutes later she returns with my gift card receipt. I pull off to check my order - cold mozzarella sticks with a HAIR included on the ranch dip lid at no charge!",Photos from Rodrick Thomas's post,photo,https://www.facebook.com/photo.php?fbid=10156001078653815&set=p.10156001078653815&type=3,2018-02-17 16:03:14,0,1,0
