Rating,Number Of Ratings,Address
4.6/5,2331 ratings,"2133 Green Hills Village Dr, Nashville, TN 37215, USA"
Chinese Chicken Salad,$15.50,Most Loved,"Chicken Breast, Rice Noodles, Lettuce, Green Onions, Almonds, Crisp Wontons, Bean Sprouts, Orange and Sesame Seeds. Tossed in Our Special Chinese Plum Dressing."
Avocado Eggrolls,$11.95,Most Loved,"Avocado, Sun-Dried Tomato, Red Onion and Cilantro Fried in a Crisp Wrapper. Served with a Tamarind-Cashew Dipping Sauce."
Oreo Dream Extreme Cheesecake,$7.95,Most Loved,"Creamy Cheesecake Layered with Oreo® Cookies, Topped with Oreo® Cookie Mousse and Chocolate Icing."
Fried Macaroni and Cheese,$11.95,Most Loved,Crispy Crumb Coated Macaroni and Cheese Balls. Served over a Creamy Marinara Sauce.
Miso Salmon,$20.95,Most Loved,"Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Cajun Jambalaya Pasta,$19.50,Most Loved,"Shrimp and Chicken Sautéed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini."
Chicken Madeira,$18.95,Most Loved,Our most popular chicken dish! Sautéed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes.
Orange Chicken,$16.95,Most Loved,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Ultimate Red Velvet Cake Cheesecake™,$7.95,Most Popular,Layers of Red Velvet Cake and Cheesecake Covered in Cream Cheese Frosting. Finished with White Chocolate.
Original,$6.95,Most Popular,The One that Started it All! Our Famous Creamy Cheesecake with a Graham Cracker Crust and Sour Cream Topping.
Fettuccini Alfredo,$16.95,Most Popular,A Rich Parmesan Cream Sauce.
Soft Drink,$1.95,Most Popular, 
Reese's Peanut Butter Chocolate Cake Cheesecake,$7.95,Most Popular,Reese’s® Peanut Butter Cups in Our Original Cheesecake with Layers of Delicious Fudge Cake and Caramel.
Godiva Chocolate Cheesecake,$7.95,Most Popular,"Flourless Godiva® Chocolate Cake, Topped with Godiva® Chocolate Cheesecake and Chocolate Mousse."
Fresh Banana Cream Cheesecake,$7.95,Most Popular,Banana Cream Cheesecake Topped with Bavarian Cream and Fresh Sliced Banana.
Celebration Cheesecake,$7.95,Most Popular,"Layers of Vanilla Cake, Cheesecake, Strawberry, Chocolate and Vanilla Mousse with Cream Cheese Frosting."
