Rating,Number Of Ratings,Address
4.7/5,2062 ratings,"750 S Rampart Boulevard, Las Vegas, NV 89145, USA"
Truffle-Honey Chicken,$16.95,Specialties,"Fried Chicken Breast with Truffle-Honey, Asparagus and Mashed Potatoes."
Chicken Bellagio,$16.50,Specialties,Crispy Coated Chicken Breast over Basil Pasta and Parmesan Cream Sauce Topped with Prosciutto and Arugula Salad.
Eggplant Parmesan,$15.50,Specialties,"Eggplant Lightly Coated with Parmesan Breadcrumbs and Cooked Crisp. Covered with Mozzarella Cheese, Fontina Cheese and Marinara Sauce. Served with Pesto Pasta."
White Chicken Chili,$14.50,Specialties,"A Generous Bowl of Chicken, White Beans, Roasted Green Chiles, Onions and Garlic with a Touch of Cream. Garnished with Steamed White Rice and Fresh Salsa."
Chicken Enchiladas,$14.95,Specialties,"Covered with Our Red Chile Sauce and Melted Cheese. Served with Black Beans, Cilantro Rice and Corn Salsa."
Stuffed Chicken Tortillas,$14.95,Specialties,"Corn Tortillas Stuffed with Spicy Chicken, Covered with Melted Cheese, Green Onion, Tomatillo Sauce and Cilantro. Served with Grilled Corn Cakes, Black Beans, Salsa and Sour Cream."
"Cajun Chicken ""Littles""",$15.95,Specialties,"Boneless Breast of Chicken Pieces, Spiced, Breaded and Fried Crisp. Served with Mashed Potatoes and Fresh Corn Succotash."
Shepherd's Pie,$15.95,Specialties,"Ground Beef, Carrots, Peas, Zucchini and Onions in a Delicious Mushroom Gravy Covered with a Mashed Potato-Parmesan Cheese Crust."
Baja Chicken Tacos,$14.50,Specialties,"Soft Corn Tortillas Filled with Spicy Chicken, Cheese, Tomato, Avocado, Onion, Chipotle and Cilantro. Served with Rice and Beans."
Crispy Beer Battered Fish Tacos,$15.50,Specialties,"Soft Corn Tortillas Filled with Avocado, Tomato, Chipotle Sauce, Marinated Onions and Cilantro.  Served with Rice and Beans."
Grilled Fish Tacos,$15.50,Specialties,"Soft Corn Tortillas Filled with Avocado, Tomato, Chipotle Sauce, Marinated Onions and Cilantro.  Served with Rice and Beans"
Grilled Steak Tacos,$15.95,Specialties,"Soft Corn Tortillas, Chargrilled Steak, Avocado, Tomato, Chipotle Sauce, Crispy Onions and Cilantro. Served with Rice and Beans."
Factory Burrito Grande,$15.50,Specialties,"A Monster Burrito with Chicken, Cheese, Rice, Onions and Peppers.  Served with Guacamole, Cilantro, Sour Cream, Salsa and Black Beans."
Famous Factory Meatloaf,$17.95,Specialties,"Served with Mashed Potatoes, Mushroom Gravy, Grilled Onions and Corn Succotash."
Chicken Madeira,$18.95,Specialties,Our most popular chicken dish! Sautéed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes.
Chicken & Biscuits,$17.95,Specialties,"A Cheesecake Factory “Comfort Classic.” Sauteed Chicken Breasts Covered with a Rich Pan Gravy, Served with Our Mashed Potatoes, Mushrooms, Vegetables and Buttermilk Biscuits."
Crusted Chicken Romano,$17.50,Specialties,Breast of Chicken Coated with a Romano-Parmesan Cheese Crust. Served with Pasta in a Light Tomato Sauce.
Orange Chicken,$16.95,Specialties,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Parmesan-Herb Crusted Chicken,$17.95,Specialties,Sautéed Chicken Breasts Coated with Parmesan-Garlic Breadcrumbs and Herbs. Served with Mashed Potatoes and Green Beans.
Crispy Chicken Costoletta,$17.95,Specialties,"Chicken Breast Lightly Breaded and Sautéed to a Crisp Golden Brown. Served with Lemon Sauce, Mashed Potatoes and Fresh Asparagus."
Chicken Piccata,$17.95,Specialties,"Sautéed Chicken Breast with Lemon Sauce, Mushrooms and Capers. Served with Angel Hair Pasta."
Spicy Cashew Chicken,$16.95,Specialties,A Very Spicy Mandarin-Style Dish with Green Onions and Roasted Cashews. Served over Rice.
Lemon-Herb Roasted Chicken,$18.95,Specialties,"Fresh All Natural Half Chicken Served with Mashed Potatoes, Carrots and Watercress. Topped with a Light Lemon Garlic-Herb Sauce."
Teriyaki Chicken,$17.50,Specialties,Chicken Breast Charbroiled with Teriyaki Sauce. Served with Steamed Rice.
Chicken Marsala and Mushrooms,$19.50,Specialties,Chicken Breast Sautéed with Fresh Mushrooms in a Rich Marsala Wine Sauce. Served over Bow-Tie Pasta.
Bang-Bang Chicken and Shrimp,$19.95,Specialties,"A Spicy Thai Dish with the Flavors of Curry, Peanut, Chile and Coconut. Sautéed with Vegetables and Served over Steamed White Rice."
