Rating,Number Of Ratings,Address
4.5/5,12543 ratings,"42 The Shops Blvd, Mission Viejo, CA"
Fresh Strawberry,$8.95,Most Loved,The Original Topped with Glazed Fresh Strawberries. Our Most Popular Flavor for over 35 Years!
Chinese Chicken Salad,$15.95,Most Loved,"Chicken Breast, Rice Noodles, Lettuce, Green Onions, Almonds, Crisp Wontons, Bean Sprouts, Orange and Sesame Seeds. Tossed in Our Special Chinese Plum Dressing."
Avocado Eggrolls,$12.50,Most Loved,"Avocado, Sun-Dried Tomato, Red Onion and Cilantro Fried in a Crisp Wrapper. Served with a Tamarind-Cashew Dipping Sauce."
Oreo Dream Extreme Cheesecake,$8.50,Most Loved,"Creamy Cheesecake Layered with Oreo® Cookies, Topped with Oreo® Cookie Mousse and Chocolate Icing."
Fried Macaroni and Cheese,$11.95,Most Loved,Crispy Crumb Coated Macaroni and Cheese Balls. Served over a Creamy Marinara Sauce.
Miso Salmon,$21.50,Most Loved,"Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Chicken Madeira,$19.50,Most Loved,Our most popular chicken dish! Sautéed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes.
Cajun Jambalaya Pasta,$19.95,Most Loved,"""Shrimp and Chicken Sauteed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini (Full-size portion only)"""
Orange Chicken,$16.95,Most Loved,Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Soft Drink,$2.25,Most Popular,"Coca-Cola, Diet Coke, Coca-Cola® Zero Sugar, Barq's Root Beer, Sprite and Dr. Pepper"
Linda's Fudge Cake,$8.50,Most Popular,Layers of Rich Chocolate Cake and Fudge Frosting.
Chicken Pot Stickers,$11.50,Most Popular,Asian Dumplings Pan-Fried in the Classic Tradition. Served with Our Soy-Ginger Sesame Sauce.
Reese's Peanut Butter Chocolate Cake Cheesecake,$8.50,Most Popular,Reese’s® Peanut Butter Cups in Our Original Cheesecake with Layers of Delicious Fudge Cake and Caramel.
Kids' Fried Chicken Strips,$6.95,Most Popular,Served with Fries or Fresh Fruit.
Adam's Peanut Butter Cup Fudge Ripple,$7.95,Most Popular,"Creamy Cheesecake Swirled with Caramel, Peanut Butter, Butterfingers® and Reese’s Peanut Butter Cups"
Strawberry Lemonade,$2.95,Most Popular, 
White Chocolate Raspberry Truffle,$7.95,Most Popular,Creamy Cheesecake Swirled with White Chocolate and Raspberry.
Thai Lettuce Wraps,$14.95,Most Popular,"Create Your Own Thai Lettuce Rolls! Satay Chicken Strips, Carrots, Bean Sprouts, Coconut Curry Noodles and Lettuce Leaves with Three Delicious Spicy Thai Sauces – Peanut, Sweet Red Chili and Tamarind-Cashew."
Stuffed Mushrooms,$7.50,Small Plates & Snacks,"Fontina and Parmesan Cheese, Garlic and Herbs in a Wine Sauce."
Greek Salad,$6.95,Small Plates & Snacks,"Feta Cheese, Tomato, Cucumber, Kalamata Olives, Red Onions and Vinaigrette."
Little House Salad,$5.50,Small Plates & Snacks,Tossed in Our Vinaigrette.
Korean Fried Cauliflower,$6.95,Small Plates & Snacks,"Crispy Cauliflower Tossed with Sweet and Spicy Sauce, Toasted Sesame Seeds and Green Onion."
Chicken Taquitos,$5.50,Small Plates & Snacks,"Crispy Corn Tortillas Filled with Grilled Chicken, Green Chile, Corn, Onion, Cilantro and Cheese. Served with Avocado Cream and Salsa Verde."
"""Nashville Hot"" Chicken Nuggets",$5.50,Small Plates & Snacks,Hand Battered and Fried Crisp with Our Very Spicy Nashville Hot Sauce. Served with Ranch Dressing.
Loaded Baked Potato Tots,$6.95,Small Plates & Snacks,"Crispy Potato Tots Filled with Cheese, Bacon and Green Onion. Served with Sour Cream and Sriracha Mayo."
Beets with Goat Cheese,$6.95,Small Plates & Snacks,"Fresh Beets, Apples, Baby Arugula, Pecans and Vinaigrette."
Cheeseburger Spring Rolls,$6.95,Small Plates & Snacks,"Ground Certified Angus Beef®, Lots of Melted Cheese and Grilled Onions Rolled in a Crispy Wrapper."
Chicken Samosas,$6.95,Small Plates & Snacks,Crispy Wrappers Filled with Spiced Chicken. Served with Cilantro Dipping Sauce.
Fried Zucchini,$6.95,Small Plates & Snacks,Lightly Breaded and Topped with Parmesan Cheese. Served with Ranch Dressing.
Crispy Fried Cheese,$6.95,Small Plates & Snacks,Mozzarella and Fontina Cheeses with Marinara Sauce.
Edamame,$5.95,Small Plates & Snacks,Soy Beans Steamed in Their Pods.
Dynamite Shrimp,$7.95,Small Plates & Snacks,Crispy Tempura Shrimp with Our Spicy Dynamite Sauce.
Crispy Crab Bites,$7.95,Small Plates & Snacks,Bite-Sized Little Crab Cakes. Served with Mustard Sauce.
Ahi Tartare,$8.50,Small Plates & Snacks,Raw Tuna with Avocado and Soy-Ginger Sesame Sauce
"Fresh Basil, Tomato and Cheese Flatbread",$7.95,Small Plates & Snacks,"With Mozzarella, Fontina and Parmesan."
Roasted Pear and Blue Cheese Flatbread,$7.95,Small Plates & Snacks,"Pecans, Arugula and Caramelized Onion."
Roadside Sliders,$9.95,Appetizers,"Bite-Sized Burgers on Mini-Buns Served with Grilled Onions, Pickles and Ketchup."
Roadside Sliders With French Fries,$11.50,Appetizers, 
Chicken Pot Stickers,$11.50,Appetizers,Asian Dumplings Pan-Fried in the Classic Tradition. Served with Our Soy-Ginger Sesame Sauce.
Avocado Eggrolls,$12.50,Appetizers,"Avocado, Sun-Dried Tomato, Red Onion and Cilantro Fried in a Crisp Wrapper. Served with a Tamarind-Cashew Dipping Sauce."
Quesadilla,$10.95,Appetizers,"Grilled Flour Tortilla Filled with Melted Cheese, Green Onions and Chiles. Garnished with Guacamole, Salsa and Sour Cream."
Quesadilla with Chicken,$12.95,Appetizers,"Grilled Flour Tortilla Filled with Melted Cheese, Green Onions and Chiles. Garnished with Guacamole, Salsa and Sour Cream."
Fried Macaroni and Cheese,$11.95,Appetizers,Crispy Crumb Coated Macaroni and Cheese Balls. Served over a Creamy Marinara Sauce.
Pork Belly Sliders,$11.50,Appetizers,"Slices of Slow Roasted Smoked Pork Belly with Barbeque Sauce, Cole Slaw and Fried Pickles"
Pork Belly Sliders with French Fries,$13.00,Appetizers, 
Southern Fried Chicken Sliders,$12.50,Appetizers,"Crispy Fried Chicken Breast on Mini-Buns Served with Lettuce, Tomato and Pickles."
Southern Fried Chicken Sliders With French Fries,$14.00,Appetizers, 
Hot Spinach and Cheese Dip,$12.95,Appetizers,"Spinach, Artichoke Hearts, Shallots, Garlic and a Mixture of Cheeses Served Bubbly Hot with Tortilla Chips and Salsa. Enough for Two."
Tex Mex Eggrolls,$11.50,Appetizers,"Spicy Chicken, Corn, Black Beans, Peppers, Onions and Melted Cheese. Served with Avocado Cream and Salsa."
Fried Calamari,$12.95,Appetizers,Fried Light and Crisp. Served with Garlic Dip and Cocktail Sauce.
Buffalo Blasts,$12.95,Appetizers,"Chicken, Cheese and Our Spicy Buffalo Sauce all Stuffed in a Spiced Wrapper and Fried until Crisp. Served with Celery Sticks and Blue Cheese Dressing."
Warm Crab & Artichoke Dip,$12.95,Appetizers,"A Delicious Blend of Crab, Artichokes and Cheese Served Warm with Grilled Bread."
Sweet Corn Tamale Cakes,$11.50,Appetizers,"Topped with Sour Cream, Salsa, Cilantro, Avocado and Salsa Verde."
Eggroll Sampler,$12.50,Appetizers,"A Variety of All of Our Eggrolls with Avocado, Tex Mex, Cheeseburger Spring Rolls and Firecracker Salmon Rolls."
Thai Lettuce Wraps,$14.95,Appetizers,"Create Your Own Thai Lettuce Rolls! Satay Chicken Strips, Carrots, Bean Sprouts, Coconut Curry Noodles and Lettuce Leaves with Three Delicious Spicy Thai Sauces – Peanut, Sweet Red Chili and Tamarind-Cashew."
Cup of Soup,$6.50,Appetizers,Monday - Caramelized Onion; Tuesday - Chile Lime Chicken Tortilla; Wednesday - Wild Mushroom; Thursday - Mexican Chicken and Vegetable; Friday - Clam Chowder; Saturday - Baked Potato; Sunday - Cream of Chicken with Artichoke Hearts and Mushrooms.
Bowl of Soup,$8.50,Appetizers,Monday - Caramelized Onion; Tuesday - Chile Lime Chicken Tortilla; Wednesday - Wild Mushroom; Thursday - Mexican Chicken and Vegetable; Friday - Clam Chowder; Saturday - Baked Potato; Sunday - Cream of Chicken with Artichoke Hearts and Mushrooms.
Factory Nachos,$12.95,Appetizers,"Crisp Tortilla Chips Covered with Melted Cheeses, Guacamole, Red Chile Sauce, Sour Cream, Jalapeños, Green Onions and Salsa."
