Rating,Number Of Ratings,Address
4.2/5,960 ratings,"9015 Queens Blvd, Rego Park, NY 11374, USA"
Fresh Strawberry,$8.50,Most Loved,1010 calories.  The Original Topped with Glazed Fresh Strawberries. Our Most Popular Flavor for over 35 Years!
Chinese Chicken Salad,$15.50,Most Loved,"1760 calories.  Chicken Breast, Rice Noodles, Lettuce, Green Onions, Almonds, Crisp Wontons, Bean Sprouts, Orange and Sesame Seeds. Tossed in Our Special Chinese Plum Dressing."
Avocado Eggrolls,$11.95,Most Loved,"950 calories.  Avocado, Sun-Dried Tomato, Red Onion and Cilantro Fried in a Crisp Wrapper. Served with a Tamarind-Cashew Dipping Sauce."
Oreo Dream Extreme Cheesecake,$8.50,Most Loved,"1640 calories.  Creamy Cheesecake Layered with Oreo® Cookies, Topped with Oreo® Cookie Mousse and Chocolate Icing."
Fried Macaroni and Cheese,$11.95,Most Loved,1370 calories.  Crispy Crumb Coated Macaroni and Cheese Balls. Served over a Creamy Marinara Sauce.
Miso Salmon,$20.95,Most Loved,"1340 calories.  Fresh Miso Marinated Salmon Served with Snow Peas, White Rice and a Delicious Miso Sauce."
Cajun Jambalaya Pasta,$19.50,Most Loved,"1260 calories.   Shrimp and Chicken Sautéed with Tomato, Onions and Peppers in a Very Spicy Cajun Sauce. All on Top of Fresh Linguini."
Chicken Madeira,$18.95,Most Loved,1140 calories.  Our most popular chicken dish! Sautéed Chicken Breast Topped with Fresh Asparagus and Melted Mozzarella Cheese. Covered with Fresh Mushroom Madeira Sauce and Served with Mashed Potatoes.
Orange Chicken,$16.95,Most Loved,1800 calories.  Deep Fried Pieces of Chicken Breast Covered in a Sweet and Spicy Orange Sauce. Served with White Rice and Vegetables.
Original,$6.95,Most Popular,840 calories.  The One that Started it All! Our Famous Creamy Cheesecake with a Graham Cracker Crust and Sour Cream Topping.
Soft Drink,$2.25,Most Popular,0-130 calories.
Ultimate Red Velvet Cake Cheesecake™,$8.50,Most Popular,1590 calories.  Layers of Red Velvet Cake and Cheesecake Covered in Cream Cheese Frosting. Finished with White Chocolate.
Chicken Pot Stickers,$10.95,Most Popular,380 calories.  Asian Dumplings Pan-Fried in the Classic Tradition. Served with Our Soy-Ginger Sesame Sauce.
Godiva Chocolate Cheesecake,$7.95,Most Popular,"1250 calories.  Flourless Godiva® Chocolate Cake, Topped with Godiva® Chocolate Cheesecake and Chocolate Mousse."
Louisiana Chicken Pasta,$17.95,Most Popular,"2210 calories.  Parmesan Crusted Chicken Served Over Pasta with Mushrooms, Peppers and Onions in a Spicy New Orleans Sauce."
Four Cheese Pasta,$15.95,Most Popular,"1170 calories.  Penne Pasta, Mozzarella, Ricotta, Romano and Parmesan Cheeses, Marinara Sauce and Fresh Basil."
Chicken Taquitos,$5.50,Most Popular,"390 calories.  Crispy Corn Tortillas Filled with Grilled Chicken, Green Chile, Corn, Onion, Cilantro and Cheese. Served with Avocado Cream and Salsa Verde."
Kids' Fried Chicken Strips,$6.95,Most Popular,690 Calories. Served with Fries or Fresh Fruit.
Stuffed Mushrooms,$6.95,Small Plates & Snacks,"460 calories.  Fontina and Parmesan Cheese, Garlic and Herbs in a Wine Sauce."
